Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	2.00	1.99	1.67	0.33	0.00	0.00	0.00	2.00	2.03	1.80	1.59	0.00	0.79	0.78
49.00	2.00	2.00	1.58	0.40	0.00	0.04	0.00	2.00	1.91	1.75	0.86	0.00	0.11	0.11
50.00	1.99	1.99	1.86	1.53	0.00	0.01	0.00	2.00	1.99	1.95	1.83	0.00	0.48	0.44
51.00	2.00	1.61	1.95	0.68	0.00	0.00	0.00	1.99	2.00	1.55	0.33	0.00	0.21	0.19
52.00	2.00	2.00	1.84	1.50	0.00	0.00	0.00	2.00	2.00	1.84	1.21	0.00	0.12	0.14
53.00	1.93	1.84	1.91	1.93	0.00	0.24	0.00	2.00	2.00	1.99	1.70	0.00	0.08	0.08
54.00	1.66	1.63	1.72	1.67	0.00	0.12	0.00	2.00	1.94	1.75	1.61	0.00	0.11	0.00
55.00	2.00	2.00	1.88	0.65	0.00	0.66	0.00	2.00	1.98	1.85	1.41	0.00	0.00	0.00
56.00	1.99	2.00	1.70	0.00	0.00	0.00	0.00	2.00	1.99	1.74	0.99	0.00	0.00	0.00
57.00	2.00	2.00	1.61	0.15	0.00	0.00	0.00	1.99	1.93	1.99	1.45	0.00	0.00	0.00
58.00	2.00	1.95	1.90	0.42	0.00	0.00	0.00	2.00	2.00	1.79	1.20	0.00	0.00	0.00
59.00	1.98	1.77	1.65	0.00	0.00	0.00	0.00	2.00	1.90	1.84	1.35	0.00	0.19	0.19
60.00	2.01	2.04	1.94	1.63	0.00	0.93	0.00	2.00	2.03	2.04	0.53	0.00	0.02	0.01
61.00	1.99	1.99	1.40	1.47	0.00	0.00	0.00	2.00	1.87	1.71	0.13	0.00	0.00	0.00
62.00	1.98	1.78	1.67	1.08	0.00	0.00	0.00	2.00	1.77	1.17	0.51	0.00	0.00	0.00
63.00	1.99	1.73	1.84	0.69	0.00	0.00	0.00	1.99	1.51	1.46	0.51	0.00	0.00	0.00
64.00	2.00	1.98	1.14	0.15	0.00	0.00	0.00	2.00	2.00	1.78	0.33	0.00	0.00	0.00
65.00	2.00	1.61	2.04	0.00	0.00	0.00	0.00	2.00	1.92	0.35	0.31	0.00	0.00	0.00
66.00	2.00	2.00	2.03	1.32	0.00	0.00	0.00	2.00	1.99	1.66	1.19	0.00	0.00	0.00
67.00	1.98	1.88	1.58	0.69	0.00	0.00	0.00	2.00	1.99	1.83	0.73	0.00	0.00	0.00
68.00	2.01	1.83	1.44	0.58	0.00	0.00	0.00	2.00	1.94	0.44	0.79	0.00	0.00	0.00
69.00	1.99	1.95	1.81	0.31	0.00	0.00	0.00	1.99	1.91	2.00	0.45	0.00	0.09	0.04
70.00	1.99	1.86	1.18	0.28	0.00	0.00	0.00	2.00	1.51	1.51	0.60	0.00	0.04	0.02
71.00	2.01	1.99	1.60	0.67	0.00	0.04	0.00	2.00	2.01	1.88	0.49	0.00	0.15	0.15
72.00	2.00	2.00	1.64	0.37	0.00	0.00	0.00	2.00	2.00	1.52	1.15	0.00	0.00	0.00
73.00	1.98	1.99	2.01	1.50	0.00	0.00	0.00	2.00	2.00	1.98	0.60	0.00	0.00	0.00
74.00	2.01	1.99	1.87	0.32	0.00	0.00	0.00	2.00	1.98	1.88	1.57	0.00	0.00	0.00
75.00	2.00	1.99	0.31	1.31	0.00	0.27	0.00	1.99	1.75	1.68	1.75	0.00	0.28	0.29
76.00	2.00	1.93	1.47	0.69	0.00	0.26	0.00	2.00	1.42	1.05	0.82	0.00	0.26	0.26
77.00	2.00	2.00	1.34	0.53	0.00	0.53	0.00	2.00	2.00	1.63	1.19	0.00	0.05	0.05
78.00	2.00	1.91	1.83	1.06	0.00	0.46	0.00	2.00	1.95	1.42	1.15	0.00	0.00	0.00
79.00	1.06	1.10	0.85	0.16	0.00	0.00	0.00	2.00	0.97	0.88	0.22	0.00	0.00	0.00
80.00	2.08	2.14	1.94	1.38	0.00	0.00	0.00	2.00	2.03	2.03	0.48	0.00	0.11	0.11
81.00	1.99	2.00	1.90	0.11	0.00	0.00	0.00	1.99	2.00	1.79	0.46	0.00	0.00	0.00
82.00	2.00	2.00	1.84	0.99	0.00	0.78	0.00	2.00	2.00	2.03	1.78	0.00	0.11	0.11
83.00	1.18	2.00	1.78	0.99	0.00	0.00	0.00	2.00	2.00	2.00	0.61	0.00	0.00	0.00
84.00	2.80	1.71	1.38	0.51	0.00	0.00	0.00	2.00	1.95	1.86	0.57	0.00	0.26	0.29
85.00	2.00	2.03	1.87	1.63	0.00	0.00	0.00	2.00	2.04	1.99	0.59	0.00	0.13	0.13
86.00	1.99	2.00	1.93	2.00	0.00	0.04	0.00	2.00	1.98	1.98	1.04	0.00	0.00	0.00
87.00	1.98	1.92	1.84	1.17	0.00	0.06	0.00	1.99	1.95	1.79	0.54	0.00	0.00	0.00
88.00	2.01	1.99	1.70	0.64	0.00	0.12	0.00	2.00	1.92	1.21	0.57	0.00	0.00	0.00
89.00	1.99	1.86	1.63	0.64	0.00	0.00	0.00	2.00	1.97	1.52	0.08	0.00	0.16	0.15
90.00	1.98	2.00	1.93	0.55	0.00	0.25	0.00	2.00	2.03	1.68	0.88	0.00	0.00	0.00
91.00	2.03	1.97	1.92	1.48	0.00	0.00	0.00	2.00	2.01	2.00	1.11	0.00	0.00	0.00
92.00	1.99	2.01	1.90	0.38	0.00	0.00	0.00	2.00	1.99	2.03	0.73	0.00	0.01	0.08
93.00	2.00	1.87	1.26	0.21	0.00	0.04	0.00	1.99	1.85	1.67	1.31	0.00	0.00	0.00
94.00	1.92	1.97	1.88	0.07	0.00	0.00	0.00	2.00	1.95	1.45	1.59	0.00	0.00	0.00
95.00	2.00	1.81	1.68	1.11	0.00	0.00	0.00	2.00	1.99	1.28	1.02	0.00	0.00	0.00
96.00	2.00	2.00	1.98	1.71	0.00	0.00	0.00	2.00	2.00	1.72	1.95	0.00	0.40	0.39
97.00	1.98	1.99	1.78	1.35	0.00	0.02	0.00	2.00	2.00	1.87	0.74	0.00	0.00	0.00
98.00	1.85	1.88	1.97	1.63	0.00	1.21	0.00	2.00	1.88	1.97	0.00	0.00	0.00	0.00
99.00	1.99	1.99	1.94	0.89	0.00	0.55	0.00	2.00	1.83	1.74	1.64	0.00	0.02	0.00
100.00	2.00	1.91	1.83	1.81	0.00	0.41	0.00	1.99	1.98	1.84	1.71	0.00	0.00	0.00
101.00	1.98	1.94	1.83	1.46	0.00	0.31	0.00	2.00	2.03	1.75	0.37	0.00	0.00	0.00
102.00	2.00	2.00	1.98	1.83	0.00	0.00	0.00	2.00	2.00	1.85	1.06	0.00	0.15	0.15
103.00	2.00	2.00	1.79	1.70	0.00	0.00	0.00	2.00	1.95	1.93	0.34	0.00	0.00	0.00
104.00	1.98	1.99	1.95	1.61	0.00	0.27	0.00	2.00	1.95	1.92	0.40	0.00	0.35	0.35
105.00	1.99	1.97	1.64	1.42	0.00	0.37	0.00	2.00	2.00	1.81	0.27	0.00	0.01	0.02
106.00	2.00	1.97	1.92	0.80	0.00	0.49	0.00	1.99	1.90	1.72	0.60	0.00	0.01	0.01
