Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.913s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
56.00	0.00	1.97	0.00	2.00	0.00	2.00
57.00	0.00	1.99	0.00	1.99	0.00	2.00
58.00	0.00	1.99	0.00	2.00	0.00	2.00
59.00	0.00	1.99	0.00	2.00	0.00	2.00
60.00	0.00	1.99	0.00	2.00	0.00	2.00
61.00	0.00	2.00	0.00	2.00	0.00	1.99
62.00	0.00	1.98	0.00	2.00	0.00	2.00
63.00	0.00	2.00	0.00	1.99	0.00	2.00
64.00	0.00	2.00	0.00	2.00	0.00	2.00
65.00	0.00	1.99	0.00	2.00	0.00	2.00
66.00	0.00	1.99	0.00	2.00	0.00	2.00
67.00	0.00	2.00	0.00	2.00	0.00	1.99
68.00	0.00	1.99	0.00	2.00	0.00	2.00
69.00	0.00	2.00	0.00	1.99	0.00	2.00
70.00	0.00	2.00	0.00	2.00	0.00	2.00
71.00	0.00	2.00	0.00	2.00	0.00	2.00
72.00	0.00	1.99	0.00	2.00	0.00	2.00
73.00	0.00	2.00	0.00	2.00	0.00	1.99
74.00	0.00	1.99	0.00	2.00	0.00	2.00
75.00	0.00	2.00	0.00	1.99	0.00	2.00
76.00	0.00	2.00	0.00	2.00	0.00	2.00
77.00	0.00	2.00	0.00	2.00	0.00	2.00
78.00	0.00	2.00	0.00	2.00	0.00	2.00
79.00	0.00	1.99	0.00	2.00	0.00	1.99
80.00	0.00	1.99	0.00	2.00	0.00	2.00
81.00	0.00	2.00	0.00	1.99	0.00	2.00
82.00	0.00	2.00	0.00	2.00	0.00	2.00
83.00	0.00	2.00	0.00	2.00	0.00	2.00
84.00	0.00	2.00	0.00	2.00	0.00	2.00
85.00	0.00	1.98	0.00	2.00	0.00	2.00
86.00	0.00	1.98	0.00	2.00	0.00	1.99
87.00	0.00	2.00	0.00	1.99	0.00	2.00
88.00	0.00	2.00	0.00	2.00	0.00	2.00
89.00	0.00	1.99	0.00	2.00	0.00	2.00
90.00	0.00	2.00	0.00	2.00	0.00	2.00
91.00	0.00	1.99	0.00	2.00	0.00	2.00
92.00	0.00	1.99	0.00	2.00	0.00	1.99
