Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.234s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
81.00	2.00	2.00	0.00	0.00	1.99	0.00	0.00	0.00
82.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
83.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
84.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
85.00	2.01	1.95	0.00	0.00	2.00	0.00	0.00	0.00
86.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
87.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
88.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
89.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
90.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
91.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
92.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
93.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
94.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
95.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
96.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
97.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
98.00	1.99	1.98	0.00	0.00	2.00	0.00	0.00	0.00
99.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
100.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
101.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
102.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
103.00	1.99	2.00	0.00	0.00	2.00	0.00	0.00	0.00
104.00	2.00	1.97	0.00	0.00	2.00	0.00	0.00	0.00
105.00	2.00	1.98	0.00	0.00	2.00	0.00	0.00	0.00
106.00	2.00	1.98	0.00	0.00	1.99	0.00	0.00	0.00
107.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
108.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
109.00	1.99	1.99	0.00	0.00	2.00	0.00	0.00	0.00
110.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
111.00	0.09	2.01	0.00	0.00	2.00	0.00	0.00	0.00
112.00	0.00	1.99	0.00	0.00	1.99	0.00	0.00	0.00
113.00	2.61	2.00	0.38	0.39	2.00	0.00	0.39	0.00
114.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
115.00	1.99	1.99	1.84	1.87	2.00	1.52	1.86	1.54
116.00	2.00	2.00	2.00	2.00	2.00	2.00	2.01	2.00
117.00	2.00	1.99	2.00	2.00	2.00	1.99	1.99	1.99
118.00	2.00	2.00	2.00	2.00	1.99	1.99	2.00	2.00
119.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00	1.99
120.00	2.00	2.00	2.01	2.00	2.00	2.00	2.00	2.00
121.00	1.99	0.52	0.89	0.99	2.00	1.88	1.07	0.54
