Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.406s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	0.00	2.00	1.84	0.00	1.28	0.16	0.00	2.00	2.00	2.07	1.19	0.06	0.12	0.15
49.00	0.00	1.94	1.73	0.00	0.54	0.20	0.00	2.00	1.98	1.87	1.21	0.00	0.15	0.20
50.00	0.00	1.99	1.80	0.00	0.00	0.00	0.00	2.00	1.52	1.44	0.06	0.00	0.00	0.00
51.00	0.00	2.00	2.00	0.00	0.31	0.00	0.00	1.99	1.60	1.45	0.91	0.00	0.00	0.00
52.00	0.00	2.00	2.00	0.00	1.54	0.00	0.00	2.00	2.00	1.87	1.59	0.00	0.00	0.00
53.00	0.00	1.30	1.75	0.00	0.85	0.05	0.00	2.00	1.93	1.88	0.78	0.01	0.05	0.05
54.00	0.00	1.91	1.84	0.00	0.00	0.09	0.00	2.00	2.00	1.90	0.00	0.00	0.12	0.09
55.00	0.00	1.97	1.85	0.00	1.34	0.08	0.00	2.00	1.99	2.08	1.71	0.00	0.07	0.08
56.00	0.00	1.97	2.10	0.00	0.45	0.00	0.00	2.00	2.00	1.87	1.85	0.00	0.00	0.00
57.00	0.00	2.00	2.00	0.00	0.59	0.00	0.00	1.99	1.99	1.98	1.15	0.00	0.00	0.00
58.00	0.00	2.00	1.98	0.00	0.00	0.00	0.00	2.00	2.00	1.91	0.22	0.00	0.00	0.00
59.00	0.00	1.99	2.01	0.00	1.48	0.15	0.00	2.00	2.00	1.98	1.10	0.00	0.12	0.14
