Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.339s)
CreateVariables () DONE !!!
Creating 12 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
55.00	1.65	0.00	1.45	1.79	0.00	1.28	2.00	1.40	0.16	1.33	1.60	0.67
56.00	1.87	0.00	0.87	1.74	0.00	1.94	2.00	0.41	0.08	1.71	2.00	1.84
57.00	0.49	0.00	0.85	0.49	0.00	1.05	1.99	1.79	0.05	1.67	1.73	1.41
58.00	0.51	0.00	1.41	1.47	0.00	1.66	2.00	1.51	0.86	0.57	1.88	1.41
59.00	0.48	0.00	0.84	1.24	0.00	1.42	2.00	0.13	0.01	1.18	1.75	1.28
60.00	0.12	0.00	2.26	2.23	0.00	1.73	2.00	1.81	0.98	1.86	2.01	1.31
61.00	0.49	0.00	0.15	0.47	0.00	1.74	2.00	0.24	1.74	2.03	1.22	1.68
62.00	1.40	0.00	0.28	0.00	0.00	1.92	2.00	0.31	1.79	1.53	1.30	0.42
63.00	1.39	0.00	1.26	0.86	0.00	1.60	1.99	1.57	1.51	1.78	0.31	0.61
64.00	0.69	0.00	1.07	0.27	0.00	1.10	2.00	1.10	0.72	1.28	1.31	0.88
65.00	0.51	0.00	1.39	0.47	0.00	1.70	2.00	1.34	0.40	1.24	1.31	0.68
66.00	0.39	0.00	0.61	0.79	0.00	1.64	2.00	1.12	0.38	0.60	0.05	0.98
67.00	0.94	0.00	0.85	1.11	0.00	1.84	2.00	1.80	0.78	0.85	1.74	0.28
68.00	0.00	0.00	0.68	1.32	0.00	1.53	2.00	1.55	0.18	1.48	1.70	1.54
69.00	0.57	0.00	1.99	0.00	0.00	2.00	1.99	1.97	0.55	2.00	1.87	1.83
70.00	0.80	0.00	1.48	0.79	0.00	1.50	2.00	1.05	0.77	0.99	1.17	0.73
71.00	0.00	0.00	1.98	1.37	0.00	1.98	2.00	1.54	1.26	1.52	1.80	1.41
72.00	0.07	0.00	1.78	1.65	0.00	1.98	2.00	1.60	0.34	1.77	1.64	0.19
73.00	1.78	0.00	1.85	1.72	0.00	2.04	2.00	1.59	1.98	2.00	1.68	0.84
74.00	1.25	0.00	1.91	1.71	0.00	1.68	2.00	1.86	0.41	1.59	1.33	1.12
75.00	1.32	0.00	1.91	1.79	0.00	1.64	1.99	1.73	0.05	1.71	1.72	0.45
76.00	2.12	0.00	1.72	1.87	0.00	1.80	2.00	1.47	0.74	1.30	1.79	1.47
77.00	0.54	0.00	1.13	1.83	0.00	1.28	2.00	1.25	0.24	0.69	1.32	1.42
78.00	1.08	0.00	0.88	0.97	0.00	1.22	2.00	1.42	0.00	0.80	1.19	0.94
79.00	0.31	0.00	0.00	0.21	0.00	1.05	2.00	0.75	0.29	1.08	0.78	0.33
80.00	0.09	0.00	1.73	0.78	0.00	1.50	2.00	1.80	0.22	0.64	1.13	0.92
81.00	0.00	0.00	0.89	1.24	0.00	1.13	1.99	1.45	0.34	1.45	1.08	1.72
82.00	0.37	0.00	1.22	0.47	0.00	1.85	2.00	1.30	2.23	1.74	0.55	1.53
83.00	0.08	0.00	1.41	1.22	0.00	1.00	2.00	1.61	1.35	0.97	1.32	1.61
84.00	0.06	0.00	0.59	0.38	0.00	1.99	2.00	0.69	0.67	1.95	1.41	1.35
85.00	0.00	0.00	1.67	0.08	0.00	1.60	2.00	1.28	0.06	0.44	1.20	0.45
86.00	0.61	0.00	1.12	0.31	0.00	1.13	2.00	1.44	0.59	2.32	1.53	1.22
87.00	0.28	0.00	1.54	0.85	0.00	1.55	1.99	1.78	1.59	1.60	1.80	1.04
88.00	0.71	0.00	2.00	2.00	0.00	0.71	2.00	2.00	0.71	2.00	2.00	2.00
