Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.325s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
38.00	0.00	0.00	1.14	0.14	0.40	0.57	0.00	0.00	0.00	1.99	0.53	0.00	0.00	0.00	0.99	0.39	0.77	0.38
39.00	0.00	0.00	0.91	0.59	0.27	0.48	0.00	0.00	0.00	2.00	0.40	0.00	0.00	0.00	0.78	0.95	1.08	0.00
40.00	0.00	0.00	0.39	0.26	0.08	0.21	0.00	0.00	0.00	2.00	0.64	0.00	0.00	0.00	0.52	0.31	0.28	0.06
41.00	0.00	0.00	0.48	1.72	1.52	1.06	0.00	0.00	0.00	2.00	1.08	0.00	0.00	0.00	0.85	0.86	1.13	0.27
42.00	0.00	0.00	0.61	0.97	1.19	0.64	0.00	0.00	0.00	2.00	1.08	0.00	0.00	0.00	0.59	0.79	0.31	0.09
43.00	0.00	0.00	1.07	0.40	0.75	0.00	0.00	0.00	0.00	2.00	0.32	0.00	0.00	0.00	1.18	1.17	1.07	0.31
44.00	0.00	0.00	1.59	0.71	1.17	0.09	0.00	0.00	0.00	1.99	0.73	0.00	0.00	0.00	0.53	1.87	1.58	0.57
45.00	0.00	0.00	0.72	2.01	0.09	0.00	0.00	0.00	0.00	2.00	1.22	0.00	0.00	0.00	1.60	1.72	1.44	0.25
46.00	0.00	0.00	0.51	0.89	1.19	0.34	0.00	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.73	1.18	0.78	0.00
47.00	0.00	0.00	1.26	1.20	1.45	0.06	0.00	0.00	0.00	2.00	1.48	0.00	0.00	0.00	0.31	2.07	1.20	0.08
48.00	0.00	0.00	1.06	0.92	0.27	0.67	0.00	0.00	0.00	2.00	1.31	0.00	0.00	0.00	1.02	1.05	0.81	0.71
49.00	0.00	0.00	0.07	0.95	0.44	0.09	0.00	0.00	0.00	2.00	0.75	0.00	0.00	0.00	0.00	0.85	1.80	0.38
50.00	0.00	0.00	0.00	1.77	1.17	0.00	0.00	0.00	0.00	2.00	0.49	0.00	0.00	0.00	0.85	0.61	1.08	0.12
51.00	0.00	0.00	0.48	1.58	0.61	0.00	0.00	0.32	0.00	1.99	1.28	0.00	0.00	0.00	1.41	1.84	1.13	0.12
52.00	0.00	0.00	0.86	0.84	0.98	0.33	0.00	0.00	0.00	2.00	1.20	0.00	0.00	0.00	0.80	1.04	0.99	0.85
53.00	0.00	0.00	1.97	2.00	0.98	0.27	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.61	1.91	1.50	0.54
54.00	0.00	0.00	1.44	1.41	1.25	0.00	0.00	0.00	0.00	2.00	1.37	0.00	0.00	0.00	0.31	1.51	1.58	0.89
55.00	0.00	0.00	1.31	1.48	1.15	0.00	0.00	0.00	0.00	2.00	0.67	0.00	0.00	0.00	0.51	0.62	0.64	0.39
56.00	0.00	0.00	1.17	1.13	0.19	0.00	0.00	0.00	0.00	2.00	1.34	0.00	0.00	0.00	0.87	1.48	1.63	0.28
57.00	0.00	0.00	0.78	1.93	0.61	0.44	0.00	0.00	0.00	1.99	1.66	0.00	0.00	0.00	0.33	1.88	1.46	0.31
58.00	0.00	0.00	1.85	0.16	0.42	0.32	0.00	0.00	0.00	2.00	0.60	0.00	0.00	0.00	1.31	1.58	0.62	0.35
59.00	0.00	0.00	0.72	0.91	0.52	0.00	0.00	0.00	0.00	2.00	0.99	0.00	0.00	0.00	0.72	1.13	0.59	0.00
60.00	0.00	0.00	0.29	1.20	1.24	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	1.27	0.61	0.71	1.01
61.00	0.00	0.00	0.00	1.04	0.89	1.74	0.00	0.00	0.00	2.00	1.10	0.00	0.00	0.00	0.60	1.08	1.15	0.40
62.00	0.00	0.00	0.74	1.08	0.68	0.00	0.00	0.00	0.00	2.00	0.97	0.00	0.00	0.00	0.31	1.63	0.78	0.14
