Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.417s)
CreateVariables () DONE !!!
Creating 18 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
38.00	0.00	0.00	0.61	1.14	0.00	0.00	0.00	0.00	0.14	1.99	0.42	0.22	0.00	0.00	0.79	0.85	0.00	0.00
39.00	0.00	0.00	1.64	1.55	0.00	0.00	0.00	0.00	0.41	2.00	0.25	0.00	0.00	0.85	1.13	1.91	0.22	0.00
40.00	0.00	0.00	0.71	0.48	0.00	0.00	0.00	0.00	0.61	2.00	1.14	0.78	0.00	0.49	0.41	0.72	0.87	0.91
41.00	0.00	0.00	0.41	0.27	0.00	0.00	0.00	0.00	0.15	2.00	0.87	0.75	0.00	0.48	1.13	1.52	0.00	0.49
42.00	0.00	0.00	0.32	0.11	0.00	0.00	0.00	0.00	0.59	2.00	0.52	0.34	0.00	0.09	0.00	0.12	0.19	0.00
43.00	0.00	0.00	0.61	1.33	0.00	0.00	0.00	0.00	0.06	2.00	0.27	0.04	0.00	0.14	0.26	0.38	0.00	0.26
44.00	0.00	0.00	0.21	0.53	0.00	0.00	0.00	0.00	0.40	1.99	0.42	0.31	0.00	0.00	0.52	0.48	0.16	0.09
45.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.00	1.25	2.00	0.00	1.53	0.00	0.13	1.22	1.21	0.00	0.00
46.00	0.00	0.00	0.49	1.48	0.00	0.00	0.00	0.00	1.58	2.00	0.71	0.02	0.00	0.81	1.65	1.21	0.68	0.00
47.00	0.00	0.00	0.71	1.01	0.00	0.00	0.00	0.00	0.21	2.00	0.61	0.89	0.00	0.00	0.00	0.39	0.32	0.00
48.00	0.00	0.00	1.21	1.53	0.00	0.00	0.00	0.00	1.11	2.00	1.53	0.24	0.00	0.00	1.46	1.67	0.67	0.95
49.00	0.00	0.00	0.55	0.72	0.00	0.00	0.00	0.00	0.00	2.00	0.78	0.16	0.00	0.09	0.00	1.47	0.62	0.14
50.00	0.00	0.00	0.18	1.52	0.00	0.00	0.00	0.00	0.82	2.00	0.02	0.78	0.00	0.47	0.91	0.67	0.00	0.28
51.00	0.00	0.00	0.33	1.61	0.00	0.00	0.00	0.00	1.07	1.99	1.50	0.66	0.00	0.58	0.29	1.24	0.00	0.26
52.00	0.00	0.00	0.67	0.54	0.00	0.00	0.00	0.00	0.64	2.00	0.93	0.00	0.00	0.31	0.41	1.05	0.13	1.06
53.00	0.00	0.00	0.22	1.22	0.00	0.00	0.00	0.00	0.49	2.00	1.10	2.24	0.00	0.00	1.42	1.35	0.00	0.64
54.00	0.00	0.00	0.52	1.57	0.00	0.00	0.00	0.00	1.52	2.00	0.67	0.39	0.00	1.20	1.39	1.95	1.08	0.52
55.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.93	2.00	0.14	0.61	0.00	0.06	0.15	1.50	0.09	0.13
56.00	0.00	0.00	0.98	0.66	0.00	0.00	0.00	0.00	0.29	2.00	0.54	0.35	0.00	0.18	1.04	0.92	0.26	0.02
