Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.364s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	1.86	1.90	1.57	0.32	0.00	0.22	0.00	0.00	2.00	1.77	1.66	0.00	0.00	0.00	0.18	0.18
43.00	1.99	1.98	1.71	1.26	0.00	0.00	0.00	0.00	2.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00
44.00	1.97	1.77	2.05	0.00	1.53	0.00	0.00	0.00	1.99	1.85	0.58	0.00	0.00	0.00	0.00	0.00
45.00	1.86	2.03	1.87	0.99	0.00	0.00	0.00	0.00	2.00	1.86	0.31	0.00	0.00	0.00	0.00	0.00
46.00	2.00	1.94	1.65	0.00	0.00	0.09	0.00	0.00	2.00	2.00	2.34	0.00	0.00	0.00	0.11	0.11
47.00	2.00	2.00	1.80	0.31	0.00	0.00	0.00	0.00	2.00	2.00	1.22	0.00	0.00	0.00	0.00	0.00
48.00	2.00	1.98	1.92	2.08	0.31	0.18	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.15	0.14
49.00	1.99	1.93	1.66	0.29	0.00	0.00	0.00	0.00	2.00	1.99	1.57	0.00	0.00	0.00	0.00	0.00
50.00	1.99	1.91	0.97	1.51	0.82	0.20	0.00	0.00	2.00	1.86	1.18	0.00	0.00	0.00	0.15	0.14
51.00	1.53	2.06	1.98	0.61	0.73	0.00	0.00	0.00	1.99	1.79	0.53	0.00	0.00	0.00	0.00	0.00
52.00	1.99	1.99	1.79	1.41	0.85	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
53.00	2.01	1.83	1.52	1.17	0.08	0.07	0.00	0.00	2.00	1.92	1.37	0.00	0.00	0.00	0.07	0.07
54.00	2.00	2.08	2.04	1.97	0.00	0.00	0.00	0.00	2.00	2.08	0.94	0.00	0.00	0.00	0.00	0.00
55.00	1.91	1.98	1.95	1.83	0.00	0.00	0.00	0.00	2.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00
56.00	1.97	2.00	1.79	1.31	0.98	0.00	0.00	0.00	2.00	1.85	1.61	0.00	0.00	0.00	0.00	0.00
57.00	1.93	1.63	1.78	1.71	0.18	0.00	0.00	0.00	1.99	1.79	0.00	0.00	0.00	0.00	0.00	0.00
58.00	2.00	2.00	1.88	1.28	0.31	0.12	0.00	0.00	2.00	2.00	1.63	0.00	0.00	0.00	0.12	0.12
59.00	2.00	1.84	1.80	1.44	0.21	0.08	0.00	0.00	2.00	1.95	0.61	0.00	0.00	0.00	0.09	0.09
60.00	2.00	2.13	1.94	1.91	0.00	0.07	0.00	0.00	2.00	2.01	1.32	0.00	0.00	0.00	0.07	0.07
61.00	1.90	1.91	1.57	0.64	0.00	0.00	0.00	0.00	2.00	1.99	0.34	0.00	0.00	0.00	0.00	0.00
62.00	2.01	2.00	1.97	0.32	0.25	0.11	0.00	0.00	2.00	1.99	2.00	0.00	0.00	0.00	0.11	0.09
63.00	1.99	2.00	2.00	0.28	0.00	0.14	0.00	0.00	1.99	2.00	2.00	0.00	0.00	0.00	0.13	0.13
64.00	2.00	2.00	2.00	0.33	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
65.00	1.98	1.84	1.80	0.49	0.00	0.00	0.00	0.00	2.00	1.87	0.66	0.00	0.00	0.00	0.00	0.00
66.00	2.00	2.00	1.99	1.01	0.00	0.20	0.00	0.00	2.00	1.86	1.17	0.00	0.00	0.00	0.20	0.20
67.00	2.00	1.99	1.95	1.41	0.00	0.20	0.00	0.00	2.00	2.00	2.16	0.00	0.00	0.00	0.00	0.00
68.00	1.97	2.00	1.84	0.20	0.00	0.00	0.00	0.00	2.00	1.85	0.71	0.00	0.00	0.00	0.00	0.00
69.00	1.94	1.97	1.68	1.24	0.61	0.51	0.00	0.00	1.99	1.81	1.81	0.00	0.00	0.00	0.00	0.00
70.00	2.00	1.94	1.64	1.12	0.00	1.40	0.00	0.00	2.00	1.98	1.20	0.00	0.00	0.00	0.14	0.14
71.00	2.00	1.99	1.44	0.58	0.59	0.13	0.00	0.00	2.00	1.91	0.99	0.00	0.00	0.00	0.00	0.00
72.00	2.00	1.99	1.91	1.87	0.00	0.00	0.00	0.00	2.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00
73.00	2.00	1.99	0.91	0.55	0.21	0.19	0.00	0.00	2.00	1.95	0.55	0.00	0.00	0.00	0.21	0.21
74.00	0.78	1.50	1.63	2.13	0.00	0.00	0.00	0.00	2.00	1.92	1.71	0.00	0.00	0.00	0.00	0.00
75.00	2.96	2.00	1.88	1.91	0.00	0.00	0.00	0.00	1.99	1.93	1.92	0.00	0.00	0.00	0.00	0.00
76.00	2.00	1.92	1.52	1.13	0.00	0.39	0.00	0.00	2.00	1.99	2.00	0.00	0.00	0.00	0.29	0.24
77.00	1.98	1.88	0.31	1.17	0.59	0.00	0.00	0.00	2.00	2.00	1.02	0.00	0.00	0.00	0.00	0.00
78.00	1.48	1.73	0.49	0.00	0.00	0.00	0.00	0.00	2.00	1.73	2.68	0.00	0.00	0.00	0.00	0.00
79.00	1.93	1.41	0.84	0.82	0.11	0.25	0.00	0.00	2.00	1.59	1.55	0.00	0.00	0.00	0.19	0.18
80.00	2.03	2.00	2.10	1.83	0.00	0.02	0.00	0.00	2.00	1.99	1.98	0.00	0.00	0.00	0.00	0.00
81.00	1.25	1.12	1.87	1.70	0.00	0.05	0.00	0.00	1.99	1.95	1.92	0.00	0.00	0.00	0.04	0.04
82.00	2.58	2.57	1.75	1.72	0.00	0.19	0.00	0.00	2.00	2.00	2.01	0.00	0.00	0.00	0.11	0.11
83.00	1.99	1.99	2.00	1.97	0.00	0.00	0.00	0.00	2.00	1.99	1.93	0.00	0.00	0.00	0.00	0.00
84.00	2.01	1.99	1.91	1.77	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
85.00	2.00	1.90	1.83	1.54	0.78	0.09	0.00	0.00	2.00	2.01	1.64	0.00	0.00	0.00	0.11	0.11
86.00	0.34	1.84	1.86	0.94	0.00	0.00	0.00	0.00	2.00	1.98	1.73	0.00	0.00	0.00	0.00	0.00
87.00	2.27	1.85	1.98	1.12	0.00	0.00	0.00	0.00	1.99	2.00	0.85	0.00	0.00	0.00	0.00	0.00
88.00	2.00	1.92	1.83	0.15	0.31	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00
89.00	1.98	1.90	1.50	0.97	0.53	0.00	0.00	0.00	2.00	1.94	1.78	0.00	0.00	0.00	0.00	0.00
90.00	2.00	1.78	1.61	0.09	0.00	0.31	0.00	0.00	2.00	1.91	1.21	0.00	0.00	0.00	0.28	0.31
91.00	1.88	1.88	1.73	0.00	0.00	0.00	0.00	0.00	2.00	1.88	0.31	0.00	0.00	0.00	0.00	0.00
92.00	2.01	2.00	1.78	0.92	0.31	0.15	0.00	0.00	2.00	2.00	0.75	0.00	0.00	0.00	0.16	0.15
93.00	1.99	1.99	1.54	1.22	0.31	0.09	0.00	0.00	1.99	1.94	1.13	0.00	0.00	0.00	0.08	0.08
94.00	1.94	2.00	1.92	0.77	0.00	0.00	0.00	0.00	2.00	1.79	1.79	0.00	0.00	0.00	0.00	0.00
95.00	1.92	1.88	1.72	0.07	0.22	0.00	0.00	0.00	2.00	1.84	1.80	0.00	0.00	0.00	0.00	0.00
96.00	2.03	2.00	1.64	1.72	0.00	0.00	0.00	0.00	2.00	2.01	1.77	0.00	0.00	0.00	0.00	0.00
97.00	1.99	1.87	1.53	0.79	0.00	0.08	0.00	0.00	2.00	1.99	1.79	0.00	0.00	0.00	0.08	0.07
