Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.425s)
CreateVariables () DONE !!!
Creating 28 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27
110.00	0.14	0.39	0.06	0.00	0.00	0.00	0.00	0.33	0.88	0.00	0.00	0.00	0.00	0.00	2.00	1.13	0.00	0.00	0.00	0.00	0.00	0.71	0.58	0.33	0.00	0.00	0.00	0.00
111.00	1.52	1.33	0.00	0.00	0.00	0.00	0.00	1.27	1.07	0.00	0.00	0.00	0.00	0.00	2.00	1.44	0.00	0.00	0.00	0.00	0.00	1.86	0.60	0.00	0.00	0.00	0.00	0.00
112.00	0.82	0.74	0.26	0.00	0.00	0.00	0.00	1.21	1.33	0.00	0.00	0.00	0.00	0.00	1.99	1.20	0.00	0.00	0.00	0.00	0.00	1.39	0.99	0.00	0.00	0.00	0.00	0.00
113.00	1.64	0.74	0.15	0.00	0.00	0.00	0.00	1.81	2.10	0.00	0.00	0.00	0.00	0.00	2.00	1.77	0.00	0.00	0.00	0.00	0.00	1.98	1.32	0.34	0.00	0.00	0.00	0.00
114.00	1.19	1.13	0.00	0.00	0.00	0.00	0.00	1.37	1.24	0.00	0.00	0.00	0.00	0.00	2.00	1.48	0.00	0.00	0.00	0.00	0.00	1.57	1.31	0.31	0.00	0.00	0.00	0.00
115.00	0.98	1.32	0.26	0.00	0.00	0.00	0.00	1.94	1.53	0.00	0.00	0.00	0.00	0.00	2.00	1.64	0.00	0.00	0.00	0.00	0.00	1.70	1.51	0.12	0.00	0.00	0.00	0.00
116.00	0.51	0.21	0.00	0.00	0.00	0.00	0.00	1.46	0.57	0.00	0.00	0.00	0.00	0.00	2.00	0.87	0.00	0.00	0.00	0.00	0.00	1.58	0.47	0.00	0.00	0.00	0.00	0.00
117.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	1.40	1.80	0.00	0.00	0.00	0.00	0.00	2.00	1.05	0.00	0.00	0.00	0.00	0.00	2.00	0.92	0.26	0.00	0.00	0.00	0.00
118.00	0.45	0.92	0.00	0.00	0.00	0.00	0.00	1.47	1.22	0.00	0.00	0.00	0.00	0.00	1.99	1.77	0.00	0.00	0.00	0.00	0.00	1.47	0.82	0.00	0.00	0.00	0.00	0.37
119.00	0.00	1.57	0.00	0.00	0.00	0.00	0.00	1.35	2.18	0.00	0.00	0.00	0.00	0.00	2.00	1.95	0.00	0.00	0.00	0.00	0.00	0.94	0.92	0.00	0.00	0.00	0.00	0.18
120.00	0.45	1.13	0.00	0.00	0.00	0.00	0.00	1.73	0.64	0.00	0.00	0.00	0.00	0.00	2.00	1.55	0.00	0.00	0.00	0.00	0.00	2.28	1.24	0.00	0.00	0.00	0.00	0.00
121.00	0.67	0.06	0.02	0.00	0.00	0.00	0.00	1.78	1.80	0.00	0.00	0.00	0.00	0.00	2.00	1.58	0.00	0.00	0.00	0.00	0.00	1.87	0.52	0.49	0.00	0.00	0.00	0.00
122.00	1.22	0.49	0.00	0.00	0.00	0.00	0.00	1.21	1.41	0.00	0.00	0.00	0.00	0.00	2.00	1.71	0.00	0.00	0.00	0.00	0.00	1.94	1.86	0.47	0.00	0.00	0.00	0.00
123.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.67	1.79	0.00	0.00	0.00	0.00	0.00	2.00	1.37	0.00	0.00	0.00	0.00	0.00	1.94	1.04	0.00	0.00	0.00	0.00	0.00
124.00	0.28	0.61	0.53	0.00	0.00	0.00	0.00	0.77	0.12	0.00	0.00	0.00	0.00	0.00	1.99	1.83	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00
125.00	0.74	0.28	0.00	0.00	0.00	0.00	0.00	0.72	0.87	0.00	0.00	0.00	0.00	0.00	2.00	0.95	0.00	0.00	0.00	0.00	0.00	1.94	1.67	0.00	0.00	0.00	0.00	0.01
126.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	1.65	0.00	0.00	0.00	0.00	0.00	2.00	0.60	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00
127.00	1.15	0.61	0.00	0.00	0.00	0.00	0.00	1.64	1.73	0.00	0.00	0.00	0.00	0.14	2.00	1.22	0.00	0.00	0.00	0.00	0.00	1.21	0.45	0.00	0.00	0.00	0.00	0.00
128.00	0.98	0.32	0.00	0.00	0.00	0.00	0.00	1.38	2.19	0.00	0.00	0.00	0.00	0.00	2.00	1.46	0.00	0.00	0.00	0.00	0.00	2.12	0.19	0.00	0.00	0.00	0.00	0.00
129.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00	1.99	0.39	0.00	0.00	0.00	0.00	0.22
130.00	0.24	1.18	0.00	0.00	0.00	0.00	0.00	1.73	1.60	0.00	0.00	0.00	0.00	0.00	1.99	1.02	0.00	0.00	0.00	0.00	0.00	1.61	0.98	0.00	0.00	0.00	0.00	0.00
131.00	0.00	0.86	0.41	0.00	0.00	0.00	0.00	1.55	1.94	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	0.00	1.75	0.92	0.00	0.00	0.00	0.00	0.01
132.00	1.48	0.99	0.42	0.00	0.00	0.00	0.00	2.19	2.05	0.00	0.00	0.00	0.00	0.38	2.00	2.32	0.00	0.00	0.00	0.00	0.24	1.45	0.93	0.00	0.00	0.00	0.00	0.00
133.00	1.26	0.99	0.49	0.00	0.00	0.00	0.00	1.20	1.12	0.00	0.00	0.00	0.00	0.00	2.00	1.80	0.00	0.00	0.00	0.00	0.00	2.08	2.23	0.00	0.00	0.00	0.00	0.21
134.00	0.34	1.91	0.02	0.00	0.00	0.00	0.00	1.81	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.70	0.00	0.00	0.00	0.00	0.00	1.98	1.57	0.00	0.00	0.00	0.00	0.05
135.00	0.57	1.58	0.00	0.00	0.00	0.00	0.00	1.85	0.51	0.00	0.00	0.00	0.00	0.00	2.00	1.66	0.00	0.00	0.00	0.00	0.00	1.63	1.40	0.31	0.00	0.00	0.00	0.00
136.00	0.72	0.31	0.00	0.00	0.00	0.00	0.00	1.24	0.94	0.00	0.00	0.00	0.00	0.04	1.99	1.54	0.00	0.00	0.00	0.00	0.02	1.86	1.27	0.18	0.00	0.00	0.00	0.00
137.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.86	0.00	0.00	0.00	0.00	0.00	2.00	0.37	0.00	0.00	0.00	0.00	0.00	2.04	0.97	0.57	0.00	0.00	0.00	0.00
138.00	0.58	0.31	0.00	0.00	0.00	0.00	0.00	0.88	0.98	0.00	0.00	0.00	0.00	0.00	2.00	1.30	0.00	0.00	0.00	0.00	0.00	1.92	2.21	0.00	0.00	0.00	0.00	0.00
139.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.41	0.92	0.00	0.00	0.00	0.00	0.11	2.00	1.75	0.00	0.00	0.00	0.00	0.12	1.98	1.50	0.27	0.00	0.00	0.00	0.00
140.00	0.49	1.41	0.61	0.00	0.00	0.00	0.00	1.72	2.14	0.00	0.00	0.00	0.00	0.05	2.00	1.61	0.00	0.00	0.00	0.00	0.04	1.94	1.50	0.12	0.00	0.00	0.00	0.00
141.00	0.87	0.47	0.00	0.00	0.00	0.00	0.00	1.80	1.13	0.00	0.00	0.00	0.00	0.00	2.00	1.20	0.00	0.00	0.00	0.00	0.00	2.01	0.87	0.00	0.00	0.00	0.00	0.00
142.00	0.99	0.46	0.00	0.00	0.00	0.00	0.00	1.38	0.81	0.00	0.00	0.00	0.00	0.01	2.00	1.64	0.00	0.00	0.00	0.00	0.00	1.88	1.53	0.00	0.00	0.00	0.00	0.01
143.00	1.25	0.99	0.26	0.00	0.00	0.00	0.00	1.19	1.44	0.00	0.00	0.00	0.00	0.00	1.99	1.32	0.00	0.00	0.00	0.00	0.00	1.78	1.13	0.00	0.00	0.00	0.00	0.00
144.00	0.91	0.40	0.00	0.00	0.00	0.00	0.00	1.39	0.67	0.00	0.00	0.00	0.00	0.00	2.00	1.71	0.00	0.00	0.00	0.00	0.00	2.03	1.97	0.00	0.00	0.00	0.00	0.00
145.00	0.59	0.38	0.13	0.00	0.00	0.00	0.00	1.25	1.45	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	1.99	1.75	0.29	0.00	0.00	0.00	0.00
146.00	0.46	0.92	0.00	0.00	0.00	0.00	0.00	1.35	1.13	0.00	0.00	0.00	0.00	0.00	2.00	1.21	0.00	0.00	0.00	0.00	0.00	1.44	0.69	0.00	0.00	0.00	0.00	0.00
147.00	0.15	1.00	1.22	0.00	0.00	0.00	0.00	1.61	1.52	0.00	0.00	0.00	0.00	0.02	2.00	1.38	0.00	0.00	0.00	0.00	0.00	1.40	1.47	0.19	0.00	0.00	0.00	0.05
148.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.98	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.73	0.00	0.00	0.00	0.00
149.00	0.45	0.72	0.57	0.00	0.00	0.00	0.00	1.78	2.04	0.00	0.00	0.00	0.00	0.01	1.99	1.75	0.00	0.00	0.00	0.00	0.00	1.93	1.75	0.00	0.00	0.00	0.00	0.31
150.00	1.19	0.55	0.00	0.00	0.00	0.00	0.00	1.48	1.51	0.00	0.00	0.00	0.00	0.00	2.00	1.81	0.00	0.00	0.00	0.00	0.00	2.00	1.98	0.00	0.00	0.00	0.14	0.15
151.00	1.98	0.61	0.00	0.00	0.00	0.00	0.00	2.03	1.65	0.00	0.00	0.00	0.00	0.02	2.00	1.63	0.00	0.00	0.00	0.00	0.00	2.00	1.72	0.00	0.00	0.00	0.14	0.14
152.00	1.59	0.61	0.00	0.00	0.00	0.00	0.00	2.01	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	0.00	1.79	1.28	0.62	0.00	0.00	0.01	0.18
153.00	1.93	2.47	0.00	0.00	0.00	0.00	0.00	2.00	1.86	0.00	0.00	0.00	0.00	0.00	2.00	2.11	0.00	0.00	0.00	0.00	0.00	2.08	1.88	0.00	0.00	0.00	0.01	0.15
154.00	1.79	0.54	0.05	0.00	0.00	0.00	0.00	1.79	1.90	0.00	0.00	0.00	0.00	0.00	2.00	1.57	0.00	0.00	0.00	0.00	0.00	1.68	1.63	0.25	0.00	0.00	0.32	0.00
155.00	0.00	0.48	0.88	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.71	0.00	0.00	0.00	0.00	0.00	1.59	1.41	1.44	0.00	0.00	0.00	0.00
156.00	0.49	0.57	0.00	0.00	0.00	0.00	0.00	1.99	3.07	0.00	0.00	0.00	0.00	0.00	2.00	1.78	0.00	0.00	0.00	0.00	0.00	1.78	1.57	0.00	0.00	0.00	0.34	0.02
157.00	0.92	0.04	0.00	0.00	0.00	0.00	0.00	1.38	1.27	0.00	0.00	0.00	0.00	0.00	2.00	1.53	0.00	0.00	0.00	0.00	0.00	1.99	1.46	0.00	0.00	0.00	0.02	0.16
158.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.24	1.19	0.00	0.00	0.00	0.00	0.00	2.00	1.11	0.00	0.00	0.00	0.00	0.00	1.98	1.74	0.00	0.00	0.00	0.00	0.00
159.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.12	0.00	0.00	0.00	0.00	0.00	2.00	1.41	0.00	0.00	0.00	0.00	0.00	1.85	1.55	0.00	0.00	0.00	0.00	0.00
160.00	0.80	1.17	0.58	0.00	0.00	0.00	0.00	1.55	2.06	0.00	0.00	0.00	0.00	0.11	2.00	1.52	0.00	0.00	0.00	0.00	0.08	1.99	1.98	0.00	0.00	0.00	0.00	0.00
161.00	0.28	1.47	0.02	0.00	0.00	0.00	0.00	1.18	1.15	0.00	0.00	0.00	0.00	0.00	1.99	1.27	0.00	0.00	0.00	0.00	0.00	0.94	0.87	0.31	0.00	0.00	0.21	0.05
162.00	1.22	1.25	0.04	0.00	0.00	0.00	0.00	1.68	1.00	0.00	0.00	0.00	0.00	0.00	2.00	1.52	0.00	0.00	0.00	0.00	0.00	2.24	1.90	0.00	0.00	0.00	0.00	0.00
163.00	0.46	0.69	0.00	0.00	0.00	0.00	0.00	1.31	0.66	0.00	0.00	0.00	0.00	0.00	2.00	2.05	0.00	0.00	0.00	0.00	0.00	1.73	1.57	0.00	0.00	0.00	0.00	0.00
164.00	0.32	1.71	0.00	0.00	0.00	0.00	0.00	1.88	0.86	0.00	0.00	0.00	0.00	0.01	2.00	1.45	0.00	0.00	0.00	0.00	0.01	0.89	0.46	0.00	0.00	0.00	0.13	0.00
165.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.75	0.00	0.00	0.00	0.00	0.00	2.00	1.68	0.00	0.00	0.00	0.00	0.00	1.95	1.87	0.00	0.00	0.00	0.00	0.00
166.00	1.59	0.12	0.00	0.00	0.00	0.00	0.00	1.27	0.72	0.00	0.00	0.00	0.00	0.00	2.00	1.72	0.00	0.00	0.00	0.00	0.00	2.01	1.22	0.61	0.00	0.00	0.00	0.00
167.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.02	1.14	0.00	0.00	0.00	0.00	0.00	1.99	1.26	0.00	0.00	0.00	0.00	0.00	1.98	1.58	0.00	0.00	0.00	0.00	0.00
168.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.69	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	1.95	2.20	0.00	0.00	0.00	0.00	0.00
169.00	0.33	1.18	0.00	0.00	0.00	0.00	0.01	1.42	0.97	0.00	0.00	0.00	0.00	0.01	2.00	1.64	0.00	0.00	0.00	0.00	0.00	2.00	1.92	0.00	0.00	0.00	0.01	0.04
170.00	0.35	0.81	0.00	0.00	0.00	0.00	0.00	1.72	0.94	0.00	0.00	0.00	0.00	0.00	2.00	1.57	0.00	0.00	0.00	0.00	0.00	1.99	1.68	0.00	0.00	0.00	0.00	0.15
171.00	1.34	0.16	0.00	0.00	0.00	0.00	0.00	1.95	2.11	0.00	0.00	0.00	0.00	0.00	2.00	1.80	0.00	0.00	0.00	0.00	0.00	1.64	1.11	0.44	0.00	0.00	0.00	0.00
172.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.46	0.00	0.00	0.00	0.00	0.00	2.00	1.07	0.00	0.00	0.00	0.00	0.00	1.66	1.28	0.55	0.00	0.00	0.00	0.00
173.00	2.56	0.51	0.34	0.00	0.00	0.00	0.00	2.05	1.05	0.00	0.00	0.00	0.00	0.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00	1.98	1.77	0.00	0.00	0.00	0.00	0.00
174.00	0.79	1.22	0.00	0.00	0.00	0.00	0.00	0.88	0.55	0.00	0.00	0.00	0.00	0.00	2.00	0.58	0.00	0.00	0.00	0.00	0.00	1.53	0.52	0.80	0.00	0.00	0.00	0.00
175.00	1.28	0.85	0.01	0.00	0.00	0.00	0.00	2.07	0.57	0.00	0.00	0.00	0.00	0.15	2.00	1.64	0.00	0.00	0.00	0.00	0.15	1.99	2.14	0.00	0.00	0.00	0.00	0.04
176.00	1.58	1.78	0.00	0.00	0.00	0.00	0.00	1.68	2.05	0.00	0.00	0.00	0.00	0.00	2.00	1.38	0.00	0.00	0.00	0.00	0.00	1.91	1.67	0.00	0.00	0.00	0.00	1.15
177.00	0.37	0.92	0.14	0.00	0.00	0.00	0.00	0.77	1.59	0.00	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	1.97	0.79	0.00	0.00	0.00	0.00	0.09
178.00	0.75	0.11	0.04	0.00	0.00	0.00	0.00	1.72	0.87	0.00	0.00	0.00	0.00	0.00	2.00	1.40	0.00	0.00	0.00	0.00	0.00	0.59	2.16	0.00	0.00	0.00	0.00	0.01
179.00	1.30	0.82	0.31	0.00	0.00	0.00	0.00	1.05	1.02	0.00	0.00	0.00	0.00	0.00	1.99	1.44	0.00	0.00	0.00	0.00	0.00	2.94	1.72	0.48	0.00	0.00	0.00	0.18
10.1.1.1	0.77	139842.61
10.1.1.2	0.29	203009.11
10.1.1.3	0.05	812087.39
10.1.1.4	0	0
10.1.1.5	0	0
10.1.1.6	0	0
10.1.1.7	0	6065177.00
10.1.1.8	1.63	41444.94
10.1.1.9	0.53	116469.56
10.1.1.10	0	0
10.1.1.11	0	0
10.1.1.12	0	805404.00
10.1.1.13	0	0
10.1.1.14	0.04	621069.59
10.2.1.2	2.04	8.18
10.1.1.16	1.62	69090.73
10.1.1.17	0	0
10.1.1.18	0	0
10.1.1.19	0	0
10.1.1.20	0	0
10.1.1.21	0.03	807090.41
10.1.1.22	1.87	17437.92
10.1.1.23	1.52	60179.89
10.1.1.24	0.06	1021375.42
10.1.1.25	0	0
10.1.1.26	0	0
10.1.1.27	0.01	1113769.09
10.1.1.28	0.08	498226.82
