Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.425s)
CreateVariables () DONE !!!
Creating 28 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26	ap-27
25.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.12	2.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
26.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.39	1.99	1.71	0.00	0.00	0.00	0.00	0.41	1.64	0.54	0.00	0.00	0.00	0.01	0.00
27.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	1.67	2.13	0.00	0.00	0.00	0.00	0.00
28.00	0.73	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.14	2.00	1.90	0.00	0.00	0.00	0.00	0.13	1.87	1.07	0.00	0.00	0.00	0.00	0.09
29.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00
30.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.28	2.00	1.78	0.00	0.00	0.00	0.00	0.27	1.95	1.66	0.00	0.00	0.00	0.00	0.00
31.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.16	0.00	0.00	0.00	0.00	0.00	1.60	1.67	0.00	0.00	0.00	0.00	0.15
32.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.00	0.00	0.00	0.00	0.00	0.34	1.99	0.08	0.00	0.00	0.00	0.00	0.00	1.87	1.35	0.00	0.00	0.00	0.00	0.01
33.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.07	2.00	4.05	0.00	0.00	0.00	0.00	0.06	1.63	1.38	0.00	0.00	0.00	0.00	0.05
34.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.51	0.00	0.00	0.00	0.00	0.00	0.19	0.93	0.00	0.00	0.00	0.00	0.00
35.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.14	0.00	0.00	0.00	0.00	0.00	1.08	1.00	0.00	0.00	0.00	0.00	0.00
36.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.11	2.00	1.77	0.00	0.00	0.00	0.00	0.12	2.04	1.98	0.00	0.00	0.00	0.00	0.06
37.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.04	2.00	1.46	0.00	0.00	0.00	0.00	0.04	1.85	1.68	0.00	0.00	0.00	0.00	0.00
38.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.72	0.00	0.00	0.00	0.00	0.00	1.64	1.61	0.00	0.00	0.00	0.00	0.00
39.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.53	0.00	0.00	0.00	0.00	0.00	1.53	1.35	0.00	0.00	0.00	0.00	0.24
40.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.65	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
41.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.06	2.00	2.05	0.00	0.00	0.00	0.00	0.01	1.99	1.72	0.00	0.00	0.00	0.00	0.09
42.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00
43.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
44.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.25	0.00	0.00	0.00	0.00	0.00	1.99	1.84	0.00	0.00	0.00	0.00	0.00
45.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.27	0.00	0.00	0.00	0.00	0.00	2.00	1.90	0.00	0.00	0.00	0.00	0.22
46.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.21	2.00	1.18	0.00	0.00	0.00	0.00	0.07	1.48	1.31	0.00	0.00	0.00	0.00	0.00
47.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.00	0.00	0.00	0.21	2.00	2.01	0.00	0.00	0.00	0.00	0.09	1.98	1.02	0.00	0.00	0.00	0.02	0.40
48.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.05	2.00	1.78	0.00	0.00	0.00	0.00	0.28	1.97	0.99	0.00	0.00	0.00	0.00	0.07
49.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.53	0.00	0.00	0.00	0.00	0.00	2.05	1.20	0.00	0.00	0.00	0.00	0.29
50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	1.84	1.11	0.00	0.00	0.00	0.00	0.08
51.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.15	0.00	0.00	0.00	0.00	0.00	1.84	2.23	0.00	0.00	0.00	0.00	0.00
52.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.34	2.00	1.90	0.00	0.00	0.00	0.00	0.42	2.10	0.31	0.00	0.00	0.00	0.00	0.00
53.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00	1.87	1.93	0.00	0.00	0.00	0.00	0.07
54.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.64	0.00	0.00	0.00	0.00	0.00	1.94	1.83	0.00	0.00	0.00	0.00	0.00
55.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.00	0.11	2.00	2.00	0.00	0.00	0.00	0.00	0.05	1.72	2.01	0.00	0.00	0.00	0.01	0.00
56.00	0.79	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.16	2.00	2.00	0.00	0.00	0.00	0.00	0.14	1.99	1.74	0.00	0.00	0.00	0.00	0.00
57.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.41	0.00	0.00	0.00	0.00	0.00	1.92	0.98	0.00	0.00	0.00	0.00	0.06
58.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.00	0.00	0.00	0.18	2.00	2.19	0.00	0.00	0.00	0.00	0.53	2.00	1.59	0.00	0.00	0.00	0.00	0.69
59.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.02	2.00	1.86	0.00	0.00	0.00	0.00	0.00	2.00	1.20	0.00	0.00	0.00	0.00	0.16
60.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	0.00	1.88	1.26	0.00	0.00	0.00	0.00	0.31
61.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	0.05	2.00	1.70	0.00	0.00	0.00	0.00	0.07	1.92	1.55	0.00	0.00	0.00	0.00	0.27
62.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.18	2.00	1.54	0.00	0.00	0.00	0.00	0.16	1.46	0.59	0.00	0.00	0.00	0.00	0.01
63.00	2.04	0.00	0.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00	0.00	1.99	1.87	0.00	0.00	0.00	0.00	0.00	1.99	2.01	0.00	0.00	0.00	0.00	0.00
64.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.67	0.00	0.00	0.00	0.00	0.00	2.01	1.47	0.00	0.00	0.00	0.00	0.53
65.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.04	2.00	1.18	0.00	0.00	0.00	0.00	0.04	2.00	2.05	0.00	0.00	0.00	0.08	0.34
66.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.61	0.00	0.00	0.00	0.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00
67.00	2.04	0.00	0.00	0.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.65	0.00	0.00	0.00	0.00	0.00	1.99	1.86	0.00	0.00	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.85	0.00	0.00	0.00	0.00	0.00	2.00	1.94	0.00	0.00	0.00	0.15	0.24
