Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.255s)
CreateVariables () DONE !!!
Creating 10 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	1.78	1.57	1.44	1.08	0.00	2.00	1.44	1.81	0.73	0.34
66.00	1.90	1.79	1.61	0.06	0.00	2.00	1.91	0.75	0.01	0.25
67.00	2.00	2.01	1.48	0.00	0.00	2.00	2.10	1.86	0.02	0.28
68.00	2.00	1.99	2.25	1.54	0.29	2.00	1.99	2.04	0.65	0.00
69.00	1.99	2.00	1.85	0.79	0.18	1.99	1.95	1.58	0.25	0.00
70.00	2.00	2.00	1.12	0.24	0.00	2.00	1.06	1.91	0.40	0.00
71.00	2.00	1.97	1.94	0.41	0.49	2.00	2.00	0.93	2.13	0.00
72.00	2.00	1.97	1.14	0.46	0.51	2.00	1.93	1.37	0.87	0.00
73.00	1.98	1.86	1.02	0.78	0.32	2.00	1.97	1.70	0.00	0.00
74.00	1.99	1.71	1.50	0.19	0.04	2.00	1.99	1.45	0.00	0.00
75.00	2.00	2.10	1.65	0.58	0.00	1.99	2.00	1.92	0.00	0.57
76.00	2.00	1.99	1.95	0.00	0.00	2.00	2.00	1.90	0.00	1.93
77.00	2.00	2.00	2.01	0.07	0.11	2.00	2.00	2.07	0.00	1.64
78.00	2.00	2.00	1.97	0.09	0.09	2.00	2.00	1.88	0.00	0.94
79.00	1.99	1.99	0.51	0.00	0.00	2.00	1.93	1.68	0.00	0.05
80.00	2.00	1.99	1.77	0.00	0.29	2.00	2.00	1.78	0.00	0.00
81.00	1.97	1.90	1.54	0.68	0.26	1.99	1.97	1.74	0.78	0.13
82.00	2.00	1.99	1.66	0.32	0.35	2.00	2.00	1.90	0.82	0.33
83.00	1.99	1.97	1.86	1.00	0.24	2.00	1.99	1.80	0.34	0.79
84.00	2.00	1.88	1.53	0.29	0.00	2.00	1.88	1.39	0.29	0.00
85.00	2.00	1.97	1.80	0.38	0.29	2.00	2.03	1.79	0.77	0.00
86.00	2.00	1.99	1.93	0.99	0.00	2.00	1.99	1.80	0.46	0.13
87.00	1.99	2.00	1.31	0.38	0.00	1.99	1.86	1.71	0.31	0.00
88.00	2.00	2.00	0.00	2.00	0.00	2.00	2.00	1.93	2.00	0.00
89.00	2.00	1.77	1.66	1.57	0.38	2.00	1.91	1.65	1.27	0.07
90.00	1.98	1.99	2.04	0.57	0.00	2.00	2.03	1.90	1.41	0.44
91.00	1.99	1.97	1.45	0.34	0.00	2.00	1.97	1.81	0.18	0.07
92.00	2.03	2.03	1.95	1.80	0.00	2.00	1.95	1.58	2.00	0.00
93.00	1.99	0.58	0.74	0.07	0.00	1.99	1.92	1.70	0.58	0.00
94.00	2.00	0.04	1.67	1.44	0.26	2.00	2.00	2.00	1.68	1.08
95.00	2.00	1.78	1.42	0.54	0.00	2.00	1.83	1.40	0.40	0.42
96.00	1.99	1.95	1.79	0.00	0.00	2.00	1.85	0.78	0.31	0.00
97.00	2.00	1.98	1.61	0.68	0.25	2.00	2.00	2.36	0.11	0.04
98.00	2.01	2.00	0.74	0.93	0.80	2.00	2.04	1.77	1.00	0.00
99.00	1.99	1.99	1.79	1.37	0.55	2.00	1.98	1.77	0.92	0.00
100.00	2.00	2.00	1.94	1.05	0.00	1.99	2.00	1.79	1.06	0.29
101.00	2.00	1.99	1.77	0.33	0.00	2.00	1.94	1.79	0.45	0.28
102.00	2.00	1.79	0.49	0.29	0.00	2.00	1.98	1.46	0.00	0.00
103.00	0.29	0.31	0.14	0.00	0.21	2.00	2.00	0.31	1.05	0.00
104.00	0.00	0.00	1.94	0.00	0.00	2.00	2.00	0.00	1.75	0.00
105.00	0.00	0.00	1.99	0.44	0.47	2.00	1.99	0.69	1.59	0.00
106.00	0.00	0.00	1.51	0.00	0.25	1.99	1.88	0.82	0.91	0.67
107.00	0.00	0.00	0.74	0.12	0.00	2.00	1.92	0.00	0.40	0.49
108.00	0.00	0.00	0.00	0.19	0.00	2.00	2.00	0.11	0.14	0.00
109.00	0.00	1.38	0.86	0.42	0.00	2.00	2.00	1.46	0.15	0.00
110.00	0.00	1.98	0.61	0.00	0.00	2.00	1.77	1.78	1.17	0.00
111.00	1.24	1.63	1.22	1.27	0.49	2.00	1.95	1.59	0.81	0.13
112.00	2.00	2.00	1.27	0.25	0.33	1.99	1.92	1.61	0.75	0.18
113.00	2.00	1.39	1.06	0.46	0.00	2.00	1.98	1.30	0.00	0.00
114.00	2.00	2.31	1.06	0.07	0.12	2.00	2.01	1.47	0.57	0.25
115.00	2.00	1.92	0.65	1.10	0.00	2.00	2.00	1.63	0.61	0.07
116.00	2.00	2.00	0.00	0.61	0.00	2.00	1.92	1.88	0.61	0.00
117.00	2.00	1.71	0.00	1.04	0.84	2.00	1.92	1.60	0.79	0.00
118.00	1.52	2.27	0.00	1.92	0.14	1.99	1.58	1.66	1.55	0.00
119.00	1.79	2.00	0.29	0.02	0.00	2.00	1.79	1.77	0.48	0.00
120.00	2.00	1.92	0.00	0.92	0.00	2.00	2.00	1.88	1.84	0.00
121.00	2.00	1.86	1.64	0.38	0.00	2.00	1.98	1.34	0.98	0.51
122.00	1.87	1.42	1.05	1.91	0.00	2.00	1.84	0.98	0.00	0.00
123.00	1.85	1.51	1.68	0.00	0.00	2.00	1.90	1.41	1.34	0.00
124.00	1.99	1.94	0.47	0.26	0.00	1.99	1.97	1.25	0.19	0.00
125.00	2.00	1.74	2.10	0.18	0.00	2.00	1.91	2.12	0.44	0.00
126.00	1.85	1.64	1.25	0.11	0.31	2.00	1.80	1.24	0.41	0.00
