Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.201s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
81.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
82.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
83.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
84.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
85.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
86.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
87.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
88.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
89.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
90.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
91.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
92.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
93.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
94.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
95.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
96.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
97.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
98.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
99.00	1.99	2.00	0.00	0.00	2.00	0.00	0.00	0.00
100.00	2.00	2.00	0.00	0.00	1.99	0.00	0.00	0.00
101.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
102.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
103.00	1.98	1.99	0.00	0.00	2.00	0.00	0.00	0.00
104.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
105.00	1.99	2.00	0.00	0.00	2.00	0.00	0.00	0.00
106.00	2.00	2.00	0.00	0.00	1.99	0.00	0.00	0.00
107.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
108.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
109.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
110.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
111.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
112.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
113.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
114.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
115.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
116.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
117.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
118.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
119.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
120.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
121.00	1.99	2.00	0.00	0.00	2.00	0.00	0.00	0.00
122.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
123.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
124.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
125.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
126.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
127.00	1.78	1.78	0.85	0.88	2.00	0.00	0.91	0.22
128.00	2.00	1.99	0.00	0.00	2.00	0.00	0.00	0.00
129.00	2.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00
130.00	1.99	2.00	0.00	0.00	1.99	0.00	0.00	0.00
131.00	2.00	2.00	1.02	0.88	2.00	1.11	0.98	0.85
132.00	2.00	2.00	2.00	1.95	2.00	2.00	1.99	1.99
133.00	1.99	1.98	1.99	1.95	2.00	1.99	2.00	2.00
134.00	2.00	1.99	2.00	1.99	2.00	2.01	1.98	2.00
135.00	1.99	1.99	0.71	1.98	2.00	2.00	1.99	1.98
136.00	2.00	2.00	0.00	1.91	1.99	1.98	2.00	1.98
137.00	2.00	2.00	0.00	1.93	2.00	2.00	1.98	1.98
138.00	2.00	2.00	0.00	1.94	2.00	1.99	1.99	1.99
139.00	1.99	2.00	0.00	1.92	2.00	2.00	1.97	1.98
140.00	2.00	2.00	0.00	1.97	2.00	2.00	2.00	2.00
141.00	2.00	1.99	0.00	1.94	2.00	1.99	1.99	1.99
142.00	1.99	2.00	0.00	1.99	2.00	2.00	1.98	2.00
143.00	2.00	2.00	0.00	1.88	1.99	1.99	1.98	2.00
144.00	2.00	2.00	0.00	1.90	2.00	2.00	1.99	1.99
145.00	2.00	2.00	0.00	1.98	2.00	2.00	1.98	1.99
146.00	2.00	2.00	0.00	1.97	2.00	2.00	1.97	2.00
147.00	2.00	2.00	0.00	1.94	2.00	2.00	1.97	1.98
148.00	1.99	1.99	0.00	1.99	2.00	1.99	1.98	2.00
149.00	2.00	1.99	1.32	1.94	1.99	2.00	2.00	2.00
150.00	2.00	2.00	2.00	1.95	2.00	2.00	1.98	1.99
151.00	2.00	1.99	2.00	1.98	2.00	2.00	1.97	1.98
152.00	2.00	2.00	1.99	1.98	2.00	2.00	1.99	2.00
153.00	2.00	1.99	2.00	1.99	2.00	1.99	1.99	2.00
154.00	2.00	1.99	2.00	1.99	2.00	2.00	1.93	2.00
155.00	1.99	2.00	2.00	1.99	1.99	2.00	1.98	2.00
156.00	1.99	2.00	1.99	1.95	2.00	2.00	2.00	1.98
157.00	2.00	2.00	2.01	1.97	2.00	2.00	1.94	1.99
158.00	2.00	2.00	1.99	1.95	2.00	1.99	1.99	2.00
159.00	2.00	1.98	2.00	1.97	2.00	2.00	1.98	2.00
160.00	2.00	1.98	2.00	1.88	2.00	2.00	1.95	2.00
161.00	1.97	1.99	2.00	1.88	1.99	2.00	1.95	2.00
162.00	2.00	1.97	1.99	1.97	2.00	2.00	1.99	2.00
163.00	2.00	1.99	2.00	1.93	2.00	2.00	1.94	1.98
164.00	2.00	1.99	2.00	2.00	2.00	1.99	1.99	2.00
165.00	1.99	2.01	2.00	1.95	2.00	1.99	1.98	2.00
166.00	1.99	1.98	2.00	1.99	2.00	1.99	2.00	1.99
167.00	1.99	2.00	1.65	1.73	1.99	1.87	1.79	1.68
168.00	2.00	2.00	2.00	2.01	2.00	2.00	2.00	2.06
169.00	1.99	2.00	2.00	1.99	2.00	2.00	2.01	2.00
170.00	2.00	1.99	1.99	2.00	2.00	1.99	1.99	1.99
171.00	2.00	2.00	1.99	1.99	2.00	2.00	2.00	2.00
172.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
173.00	1.94	1.87	1.91	1.88	1.99	1.93	1.93	1.33
174.00	2.01	2.01	2.01	2.01	2.00	2.00	2.00	0.00
175.00	1.98	1.99	1.75	1.77	2.00	1.95	1.87	0.00
176.00	2.00	1.92	1.06	0.80	2.00	1.99	1.99	0.04
177.00	2.00	2.00	1.47	0.00	2.00	1.99	1.86	0.00
178.00	2.00	1.99	2.00	1.86	2.00	2.00	1.93	0.00
179.00	1.99	2.00	2.00	2.00	1.99	2.00	1.98	1.87
10.2.1.2	2.04	7.98
10.1.1.1	2.03	642.59
10.1.1.2	2.03	2154.01
10.1.1.3	0.70	6339.35
10.1.1.6	0.87	3785.52
10.1.1.7	0.87	5688.47
10.1.1.4	0.78	8480.94
10.1.1.8	0.80	6813.95
