Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 21 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
33.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.01	1.44	2.00	1.48	0.60	0.00	0.00	0.00	0.00	1.58	1.39	0.00	0.38
34.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.32	0.99	2.00	0.91	0.93	0.00	0.00	0.00	0.00	0.88	0.51	0.00	0.46
35.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.00	1.38	2.00	0.34	0.00	0.00	0.00	0.00	0.00	0.61	0.45	0.00	0.00
36.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	0.33	1.58	2.00	0.18	0.15	0.00	0.00	0.00	0.00	1.33	0.65	0.00	0.61
37.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.06	0.88	2.00	1.05	0.52	0.00	0.00	0.00	0.00	0.72	0.92	0.00	0.44
38.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00	0.00	0.61	0.99	1.99	1.20	0.49	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.09
39.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.06	1.87	2.00	0.92	0.87	0.00	0.00	0.00	0.00	1.06	0.29	0.00	0.53
40.00	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.29	1.64	2.00	1.42	1.41	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.00
41.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.29	1.39	2.00	0.53	0.46	0.01	0.00	0.00	0.00	1.41	0.88	0.00	0.06
42.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	1.30	2.00	0.91	0.40	0.00	0.00	0.00	0.00	0.51	0.31	0.00	0.31
43.00	0.00	0.00	0.00	0.84	0.00	0.00	0.00	0.00	0.71	1.35	2.00	1.65	0.00	0.00	0.00	0.00	0.00	0.51	1.12	0.00	0.42
44.00	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.00	0.86	1.40	1.99	1.15	0.00	0.00	0.00	0.00	0.00	0.39	1.01	0.00	0.58
45.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	1.13	0.00	2.00	0.57	0.33	0.00	0.00	0.04	0.00	1.45	1.22	0.00	0.00
46.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.26	1.51	2.00	0.71	0.62	0.00	0.00	0.00	0.00	1.00	0.40	0.00	0.00
47.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.99	1.22	2.00	0.86	0.91	0.00	0.00	0.00	0.00	0.61	1.05	0.00	0.02
48.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.46	0.46	2.00	1.99	0.55	0.00	0.00	0.00	0.00	2.04	1.42	0.00	0.00
49.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.49	1.51	2.00	1.17	0.00	0.00	0.00	0.00	0.00	1.25	1.46	0.00	0.37
50.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.34	1.67	2.00	1.61	1.33	0.00	0.00	0.00	0.00	2.00	0.21	0.00	0.39
51.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	1.31	1.44	1.99	1.00	0.73	0.00	0.00	0.00	0.00	1.45	0.31	0.00	0.00
52.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.78	1.14	2.00	0.74	0.00	0.00	0.00	0.00	0.00	0.62	0.67	0.00	0.45
53.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.14	1.37	2.00	0.51	0.27	0.00	0.00	0.00	0.00	1.14	0.61	0.00	0.80
54.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00	0.00	1.08	0.53	2.00	1.46	0.74	0.01	0.00	0.00	0.00	0.73	0.79	0.00	0.31
55.00	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	1.10	0.99	2.00	0.32	0.00	0.00	0.00	0.01	0.00	0.85	0.91	0.00	0.25
56.00	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.61	0.60	2.00	1.79	1.64	0.00	0.00	0.00	0.00	0.07	0.28	0.00	0.14
57.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.85	1.99	0.98	1.10	0.00	0.00	0.00	0.00	2.01	0.46	0.00	0.11
58.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.49	0.00	2.00	0.62	0.12	0.00	0.00	0.00	0.00	0.09	0.32	0.00	0.19
59.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00	0.29	1.85	2.00	1.59	1.11	0.00	0.00	0.00	0.00	1.34	1.66	0.00	0.31
60.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.29	1.06	2.00	0.66	0.27	0.07	0.00	0.00	0.00	1.50	0.64	0.00	1.68
61.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.25	1.22	2.00	0.73	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.45
62.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.84	2.00	0.37	0.00	0.00	0.00	0.00	0.00	0.51	0.61	0.00	0.22
63.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00	1.01	0.72	1.99	0.53	0.82	0.00	0.00	0.00	0.00	1.27	0.60	0.00	0.00
64.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.97	2.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
65.00	0.00	0.00	0.00	1.47	0.00	0.00	0.00	0.00	0.92	0.82	2.00	0.81	0.00	0.00	0.00	0.00	0.00	1.51	0.91	0.00	0.31
66.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.21	0.82	2.00	1.79	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00
67.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.88	2.00	0.57	0.73	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00
68.00	0.00	0.00	0.00	0.81	0.00	0.00	0.00	0.00	0.89	1.30	2.00	0.95	1.06	0.00	0.00	0.00	0.00	1.00	0.54	0.00	0.00
69.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.53	0.54	1.99	1.14	0.00	0.00	0.00	0.00	0.00	1.14	0.12	0.00	0.91
