Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.371s)
CreateVariables () DONE !!!
Creating 15 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	0.25	0.06	0.58	0.80	0.00	0.00	1.02	2.00	0.61	0.66	0.00	2.33	0.68	0.97	0.69
46.00	1.02	0.13	0.47	0.98	0.00	0.00	0.78	2.00	0.21	0.06	0.00	1.37	1.46	0.08	0.05
47.00	0.61	1.98	1.53	1.67	0.00	0.00	1.99	2.00	1.77	0.25	0.00	0.53	2.00	0.04	0.25
48.00	0.07	1.17	1.20	1.17	0.00	0.00	0.29	2.00	1.18	0.18	0.00	0.00	0.18	0.06	0.16
49.00	0.00	0.58	0.69	0.41	0.00	0.00	1.61	2.00	0.93	0.40	0.00	0.00	0.78	0.61	0.00
50.00	0.00	1.35	1.02	1.50	0.00	0.00	0.93	2.00	1.12	0.00	0.00	1.50	0.80	0.61	0.00
51.00	0.07	0.60	0.46	1.60	0.00	0.00	0.80	1.99	1.38	0.15	0.00	0.73	0.64	1.07	0.15
52.00	0.06	0.89	0.51	0.95	0.00	0.00	1.04	2.00	1.35	0.00	0.00	0.87	1.31	0.99	0.00
53.00	0.00	0.25	1.57	0.21	0.00	0.00	1.04	2.00	1.74	0.00	0.00	0.51	1.41	1.42	0.00
54.00	0.28	0.31	1.33	1.10	0.00	0.00	0.01	2.00	1.07	0.25	0.00	0.61	0.93	1.07	0.58
55.00	1.01	0.00	1.05	1.55	0.00	0.00	0.80	2.00	0.65	0.46	0.00	1.28	1.26	0.24	0.46
56.00	0.00	0.99	0.64	0.59	0.00	0.00	1.22	2.00	0.57	0.04	0.00	1.24	1.01	0.04	0.01
57.00	0.69	0.81	1.26	0.49	0.00	0.00	0.62	1.99	1.53	0.22	0.00	0.62	1.11	0.66	0.22
58.00	0.01	0.94	0.32	0.92	0.00	0.00	1.21	2.00	1.00	0.27	0.00	0.61	1.05	0.08	0.27
59.00	0.60	0.99	1.45	2.04	0.00	0.00	1.05	2.00	0.92	0.09	0.00	0.00	0.77	0.81	0.08
60.00	0.15	0.15	0.79	1.19	0.00	0.00	0.11	2.00	1.14	0.53	0.00	0.54	0.62	0.57	0.60
61.00	0.00	0.79	0.26	0.16	0.00	0.00	2.00	2.00	1.41	0.12	0.00	1.54	1.19	1.12	0.13
