Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.349s)
CreateVariables () DONE !!!
Creating 20 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
34.00	0.00	1.27	0.00	0.00	0.14	1.30	0.00	0.61	0.00	0.00	2.00	0.98	0.08	0.00	1.30	0.00	0.00	0.00	1.40	0.00
35.00	0.00	1.30	0.00	0.00	0.04	0.71	0.31	0.62	0.00	0.14	2.00	2.23	0.00	0.00	0.62	0.00	0.00	0.00	0.72	0.00
36.00	0.00	1.68	0.00	0.00	1.42	1.75	0.00	1.60	0.00	0.00	2.00	1.88	1.41	0.00	0.85	0.00	0.00	0.00	0.99	0.00
37.00	0.00	0.73	0.00	0.00	0.00	0.87	0.61	0.00	0.00	0.20	2.00	1.60	0.61	0.00	0.00	0.00	0.00	0.00	1.46	0.00
38.00	0.00	0.93	0.00	0.00	0.40	1.66	1.71	0.60	0.00	0.29	1.99	1.87	0.00	0.00	1.27	0.00	0.00	0.00	1.22	0.05
39.00	0.00	0.31	0.00	0.00	0.19	2.48	0.31	0.00	0.00	0.18	2.00	1.24	0.64	0.00	0.57	0.00	0.00	0.00	0.58	0.82
40.00	0.00	1.30	0.00	0.00	0.00	1.33	0.00	0.59	0.00	0.00	2.00	0.84	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00
41.00	0.00	1.31	0.00	0.00	0.22	1.44	1.65	0.48	0.44	0.27	2.00	0.80	0.31	0.00	0.22	0.00	0.00	0.00	0.18	0.00
42.00	0.00	0.42	0.00	0.00	0.42	1.47	0.67	0.22	0.09	0.00	2.00	0.53	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43.00	0.00	1.42	0.00	0.00	0.00	0.27	0.00	0.86	0.00	0.00	2.00	1.70	0.00	0.00	0.34	0.00	0.00	0.00	1.08	0.21
44.00	0.00	0.52	0.00	0.00	0.95	0.53	0.00	1.05	0.00	0.12	1.99	1.65	0.22	0.00	0.28	0.00	0.00	0.00	0.29	0.00
45.00	0.00	2.18	0.00	0.00	0.20	1.58	1.01	0.52	0.00	0.15	2.00	1.44	0.00	0.00	0.14	0.00	0.00	0.00	0.12	0.00
46.00	0.00	0.57	0.00	0.00	0.00	0.69	0.87	0.41	0.01	0.13	2.00	2.27	1.46	0.00	0.00	0.00	0.00	0.00	0.75	0.18
47.00	0.00	0.06	0.00	0.00	0.00	1.17	0.92	0.61	0.00	0.02	2.00	1.55	0.00	0.00	0.31	0.00	0.00	0.00	1.15	0.00
48.00	0.00	1.31	0.00	0.00	0.28	1.99	0.45	1.48	0.00	0.19	2.00	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00
49.00	0.00	0.00	0.00	0.00	0.25	1.58	1.38	1.19	0.00	0.00	2.00	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
50.00	0.00	0.93	0.00	0.00	0.14	1.95	0.58	1.18	0.28	0.18	2.00	1.68	0.00	0.00	0.72	0.00	0.00	0.00	0.87	0.00
51.00	0.00	0.92	0.00	0.00	0.00	1.60	0.00	1.05	0.00	0.00	1.99	1.99	0.55	0.00	0.00	0.00	0.00	0.00	0.61	0.00
52.00	0.00	1.35	0.00	0.00	0.00	2.01	1.70	1.04	0.41	0.00	2.00	1.94	0.00	0.00	0.05	0.00	0.00	0.00	0.06	0.00
53.00	0.00	1.92	0.00	0.00	0.00	1.88	0.33	0.00	1.14	0.15	2.00	1.27	0.00	0.00	0.14	0.00	0.00	0.00	0.13	0.00
54.00	0.00	0.93	0.00	0.00	0.00	1.31	2.08	0.29	0.00	0.00	2.00	1.10	0.00	0.00	0.25	0.00	0.00	0.00	0.29	0.08
55.00	0.00	1.58	0.00	0.00	0.75	1.72	0.18	0.00	0.00	0.34	2.00	1.22	0.00	0.00	1.24	0.00	0.00	0.00	0.61	0.01
56.00	0.00	0.86	0.00	0.00	0.54	1.48	0.29	0.55	0.67	0.26	2.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00
57.00	0.00	1.41	0.00	0.00	0.00	1.61	0.62	0.22	0.02	0.00	1.99	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00
58.00	0.00	0.87	0.00	0.00	0.00	1.63	0.00	1.47	0.00	0.19	2.00	1.25	0.14	0.00	0.61	0.00	0.00	0.00	0.69	0.00
59.00	0.00	0.42	0.00	0.00	0.04	1.59	0.04	0.48	0.00	0.46	2.00	1.88	0.48	0.00	0.00	0.00	0.00	0.00	0.05	0.00
60.00	0.00	0.01	0.00	0.00	0.09	2.17	0.91	0.00	0.00	0.00	2.00	0.97	0.31	0.00	0.00	0.00	0.00	0.00	0.27	0.19
61.00	0.00	0.34	0.00	0.00	0.59	0.51	0.00	0.71	0.00	0.00	2.00	1.38	0.25	0.00	0.26	0.00	0.00	0.00	0.38	0.06
62.00	0.00	1.68	0.00	0.00	0.57	2.32	1.32	0.00	0.00	0.07	2.00	1.75	0.35	0.00	0.72	0.00	0.00	0.00	0.99	0.00
63.00	0.00	2.01	0.00	0.00	0.14	1.99	1.26	0.99	0.04	0.05	1.99	1.90	1.64	0.00	1.00	0.00	0.00	0.00	0.42	0.00
64.00	0.00	1.70	0.00	0.00	0.28	1.57	1.38	0.00	0.00	0.07	2.00	1.74	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
65.00	0.00	1.37	0.00	0.00	0.00	0.79	0.66	1.12	0.00	0.00	2.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
66.00	0.00	1.33	0.00	0.00	0.06	1.95	0.15	0.69	0.00	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00	0.00	1.78	0.00
67.00	0.00	1.06	0.00	0.00	0.00	0.99	0.00	0.81	0.00	0.00	2.00	1.59	0.00	0.00	0.16	0.00	0.00	0.00	0.73	0.00
68.00	0.00	0.58	0.00	0.00	0.00	1.84	0.51	1.00	0.00	0.00	2.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
69.00	0.00	0.65	0.00	0.25	0.07	1.66	0.54	0.64	0.00	0.02	1.99	1.42	0.00	0.00	0.40	0.00	0.00	0.00	1.19	0.00
70.00	0.00	1.86	0.00	0.00	0.00	2.27	1.45	0.49	0.31	0.00	2.00	1.60	0.92	0.00	0.26	0.00	0.00	0.00	0.35	0.00
71.00	0.00	1.44	0.00	0.21	0.00	1.61	1.46	0.00	0.00	0.16	2.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.51	0.00
72.00	0.00	1.97	0.00	0.00	0.00	2.11	1.94	1.66	0.00	0.00	2.00	2.08	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
73.00	0.00	1.17	0.00	0.00	0.00	1.75	1.61	0.88	0.00	0.00	2.00	1.70	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00
74.00	0.00	2.03	0.00	0.00	0.25	1.99	1.68	0.12	0.00	0.04	2.00	1.73	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00
75.00	0.00	0.00	0.00	0.00	0.21	0.62	1.24	0.00	0.00	0.04	1.99	1.72	0.00	0.00	0.65	0.00	0.00	0.00	0.60	0.00
76.00	0.00	0.55	0.00	0.00	0.01	3.25	2.25	2.67	0.15	0.00	2.00	1.93	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.57
77.00	0.00	0.93	0.00	0.00	0.01	2.01	0.97	1.05	0.05	0.00	2.00	1.61	0.09	0.00	0.41	0.00	0.00	0.00	0.64	0.00
78.00	0.00	1.40	0.00	0.00	0.31	1.59	1.99	1.28	0.00	0.47	2.00	1.91	1.57	0.00	0.15	0.00	0.00	0.00	0.65	0.00
79.00	0.00	1.39	0.00	0.00	0.00	2.33	1.70	0.79	0.00	0.00	2.00	2.01	0.26	0.00	0.71	0.00	0.00	0.00	0.88	0.00
80.00	0.00	0.60	0.00	0.00	0.33	1.61	1.47	0.32	0.00	0.13	2.00	1.58	1.70	0.00	0.26	0.00	0.00	0.00	0.29	0.00
81.00	0.00	0.59	0.00	0.00	0.24	0.93	1.13	0.48	0.00	0.00	1.99	1.17	0.00	0.00	0.08	0.00	0.00	0.00	0.16	0.00
82.00	0.00	0.69	0.00	0.00	0.00	1.33	0.92	0.52	0.00	0.00	2.00	1.21	0.00	0.00	0.27	0.00	0.00	0.00	0.04	0.00
83.00	0.00	1.46	0.00	0.00	0.00	1.77	0.79	0.47	0.00	0.00	2.00	1.39	0.00	0.00	0.02	0.00	0.00	0.00	0.06	0.00
84.00	0.00	1.24	0.00	0.00	0.34	1.98	1.73	1.27	0.00	0.00	2.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
85.00	0.00	0.24	0.00	0.00	0.04	1.61	0.58	0.61	0.00	0.00	2.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00
86.00	0.00	0.45	0.00	0.00	0.20	1.92	0.68	0.93	0.00	0.11	2.00	1.47	0.00	0.00	0.04	0.00	0.00	0.00	1.00	0.00
87.00	0.00	0.81	0.00	0.00	0.22	1.30	0.15	0.08	0.00	0.00	1.99	0.81	0.00	0.00	0.35	0.00	0.00	0.00	1.33	0.00
88.00	0.00	0.26	0.00	0.00	0.25	1.45	0.98	0.00	0.00	0.04	2.00	0.09	0.92	0.00	0.14	0.00	0.00	0.00	0.37	0.00
89.00	0.00	0.31	0.00	0.00	0.18	1.74	1.99	0.02	0.00	0.12	2.00	0.62	0.53	0.00	0.00	0.00	0.00	0.00	0.45	0.00
90.00	0.00	1.17	0.00	0.00	0.25	1.39	1.80	0.05	0.00	0.06	2.00	0.69	0.31	0.00	0.00	0.00	0.00	0.00	0.25	0.00
91.00	0.00	0.54	0.00	0.00	0.00	1.05	0.11	0.28	0.00	0.00	2.00	3.46	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	0.00	1.58	0.00	0.00	0.91	1.87	2.31	2.05	0.00	0.00	2.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	0.00	0.74	0.00	0.00	0.57	1.38	1.40	0.67	0.00	0.16	1.99	1.25	0.00	0.00	0.35	0.00	0.00	0.00	0.78	0.00
94.00	0.00	0.41	0.00	0.00	0.08	0.95	1.22	0.84	0.00	0.04	2.00	2.57	0.00	0.00	0.04	0.00	0.00	0.00	0.64	0.00
95.00	0.00	0.39	0.00	0.00	0.00	0.11	0.68	0.67	0.00	0.11	2.00	1.02	0.00	0.00	0.31	0.00	0.00	0.00	0.61	0.00
96.00	0.00	0.42	0.00	0.00	0.00	2.01	1.65	0.99	0.28	0.00	2.00	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
97.00	0.00	0.87	0.00	0.00	0.00	1.84	1.87	0.78	0.77	0.00	2.00	2.00	0.58	0.00	0.01	0.00	0.00	0.00	0.02	0.00
98.00	0.00	1.66	0.00	0.00	0.24	2.00	1.14	1.12	0.06	0.00	2.00	1.28	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
99.00	0.00	0.26	0.00	0.00	0.08	0.69	0.49	0.11	0.00	0.01	2.00	1.78	0.20	0.00	0.14	0.00	0.00	0.00	0.15	0.00
100.00	0.00	1.15	0.00	0.00	0.00	1.41	1.30	0.00	0.16	0.00	1.99	1.40	0.00	0.00	0.26	0.00	0.00	0.00	0.47	0.00
101.00	0.00	0.29	0.00	0.00	0.04	0.87	1.18	0.00	0.00	0.00	2.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
102.00	0.00	1.80	0.00	0.00	0.31	2.00	1.79	0.62	0.00	0.06	2.00	1.81	1.15	0.00	0.18	0.00	0.00	0.00	0.27	0.31
103.00	0.00	2.03	0.00	0.00	0.00	2.00	1.97	0.68	0.61	0.29	2.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
104.00	0.00	1.32	0.00	0.00	0.00	2.00	1.11	0.91	0.00	0.08	2.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.21
105.00	0.00	1.34	0.00	0.00	0.42	1.40	1.35	0.00	0.00	0.00	2.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00
106.00	0.85	1.42	0.00	0.00	0.28	0.51	1.64	0.38	0.00	0.37	1.99	2.17	0.99	0.00	0.00	0.00	0.00	0.00	0.26	0.00
107.00	0.80	0.98	0.00	0.00	0.02	1.07	0.91	0.04	0.00	0.07	2.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.31
108.00	0.79	0.45	0.00	0.00	0.00	1.27	0.65	0.00	0.00	0.00	2.00	1.37	1.17	0.00	0.74	0.00	0.00	0.00	0.73	0.00
109.00	0.00	0.65	0.00	0.00	0.00	1.02	1.17	0.00	0.01	0.00	2.00	0.40	0.00	0.00	0.02	0.00	0.00	0.00	0.02	0.00
110.00	0.28	1.51	0.00	0.00	0.09	2.00	1.78	0.47	0.00	0.00	2.00	1.57	0.00	0.00	0.15	0.00	0.00	0.00	0.51	0.00
111.00	1.48	1.21	0.00	0.00	0.40	0.99	1.33	0.91	0.00	0.00	2.00	1.55	0.49	0.00	0.00	0.00	0.00	0.00	0.31	0.00
