Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.394s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	1.24	0.00
4.00	0.00	0.00	2.00	0.00
5.00	1.37	1.53	2.00	0.00
6.00	2.00	1.99	2.00	1.57
7.00	1.99	2.00	2.00	1.99
8.00	2.00	2.00	1.99	1.98
9.00	2.00	2.00	2.00	1.97
10.00	2.00	2.00	2.00	1.99
11.00	2.00	2.00	2.00	2.00
12.00	2.00	1.99	2.00	1.99
13.00	1.99	2.00	2.00	1.99
14.00	2.00	2.00	1.99	1.99
15.00	2.00	2.00	2.00	2.00
16.00	2.00	1.99	2.00	1.99
17.00	2.00	2.00	2.00	1.98
18.00	2.00	1.99	2.00	1.97
19.00	2.00	2.00	2.00	1.98
20.00	1.99	2.00	1.99	2.00
21.00	2.00	2.00	2.00	1.99
22.00	2.00	2.00	2.00	2.00
23.00	2.00	2.00	2.00	2.00
24.00	2.00	2.00	2.00	1.99
25.00	2.00	1.99	2.00	1.99
26.00	1.99	2.00	1.99	1.99
27.00	2.00	2.00	2.00	1.98
28.00	2.00	2.00	2.00	1.99
29.00	2.00	2.00	2.00	1.99
30.00	2.00	2.00	2.00	1.99
31.00	2.00	1.99	2.00	1.98
32.00	1.99	2.00	1.99	2.00
33.00	2.00	2.00	2.00	1.98
34.00	2.00	2.00	2.00	1.99
35.00	2.00	2.00	2.00	1.99
36.00	2.00	2.00	2.00	2.00
37.00	2.00	1.99	2.00	1.97
38.00	1.99	2.00	1.99	1.99
39.00	2.00	2.00	2.00	1.98
40.00	2.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00	1.99
42.00	2.00	1.99	2.00	1.98
43.00	2.00	2.00	2.00	1.97
44.00	1.99	2.00	1.99	1.98
45.00	2.00	1.99	2.00	2.00
46.00	2.00	2.00	2.00	1.97
47.00	2.00	2.00	2.00	1.99
48.00	2.00	2.00	2.00	1.99
49.00	2.00	1.99	2.00	2.00
50.00	1.99	2.00	2.00	1.98
51.00	2.00	2.00	1.99	1.97
52.00	2.00	2.00	2.00	1.99
53.00	2.00	1.99	2.00	1.95
54.00	2.00	2.00	2.00	1.98
55.00	2.00	1.99	2.00	1.98
56.00	1.99	1.98	2.00	2.00
57.00	2.00	2.00	1.99	2.00
58.00	2.00	2.00	2.00	2.00
59.00	2.00	1.99	2.00	1.97
60.00	2.00	2.00	2.00	1.99
61.00	2.00	1.98	2.00	1.98
62.00	2.00	2.00	2.00	1.98
63.00	1.99	2.00	1.99	1.98
64.00	2.00	2.00	2.00	1.99
65.00	2.00	2.00	2.00	2.00
66.00	2.00	2.00	2.00	2.00
67.00	2.00	1.98	2.00	2.00
68.00	2.00	2.00	2.00	1.97
69.00	1.99	2.00	1.99	2.00
70.00	2.00	2.00	2.00	1.99
71.00	2.00	2.00	2.00	1.97
72.00	2.00	2.00	2.00	1.98
73.00	2.00	1.99	2.00	1.97
74.00	2.00	2.00	2.00	2.00
75.00	1.99	1.98	1.99	1.99
76.00	2.00	1.99	2.00	1.99
77.00	2.00	2.00	2.00	2.00
78.00	2.00	2.00	2.00	2.00
79.00	2.00	2.00	2.00	2.00
80.00	2.00	1.99	2.00	1.99
81.00	1.99	2.00	1.99	2.00
82.00	2.00	2.00	2.00	1.98
83.00	2.00	2.00	2.00	1.99
84.00	2.00	2.00	2.00	2.00
85.00	2.00	2.00	2.00	1.97
86.00	2.00	1.99	2.00	1.99
87.00	1.99	1.98	1.99	1.99
88.00	2.00	2.00	2.00	1.98
89.00	2.00	2.00	2.00	1.99
90.00	2.00	2.00	2.00	1.99
91.00	2.00	2.00	2.00	1.98
92.00	2.00	1.99	2.00	1.98
93.00	1.99	1.99	1.99	1.99
94.00	2.00	2.00	2.00	2.00
95.00	2.00	2.00	2.00	1.99
96.00	2.00	2.00	2.00	2.00
97.00	2.00	2.00	2.00	1.98
98.00	2.00	1.99	2.00	1.97
99.00	1.99	2.00	2.00	1.99
100.00	2.00	2.00	1.99	1.99
101.00	2.00	2.00	2.00	1.99
102.00	2.00	2.00	2.00	1.97
103.00	2.00	2.00	2.00	2.00
104.00	2.00	1.99	2.00	1.95
105.00	2.00	2.00	2.00	1.99
106.00	1.99	2.00	1.99	2.00
107.00	2.00	2.00	2.00	2.00
108.00	2.00	2.00	2.00	2.00
109.00	2.00	2.00	2.00	2.00
110.00	2.00	1.99	2.00	2.00
111.00	2.00	2.00	2.00	1.99
112.00	1.99	2.00	1.99	2.00
113.00	2.00	2.00	2.00	2.00
114.00	2.00	2.00	2.00	2.00
115.00	2.00	2.00	2.00	2.00
116.00	2.00	1.99	2.00	2.00
117.00	2.00	2.00	2.00	1.99
118.00	1.99	2.00	1.99	2.00
119.00	2.00	2.00	2.00	2.00
120.00	2.00	2.00	2.00	2.00
121.00	2.00	2.00	2.00	2.00
122.00	2.00	2.00	2.00	2.00
123.00	2.00	1.99	2.00	1.99
124.00	1.99	2.00	1.99	2.00
125.00	2.00	2.00	2.00	2.00
126.00	2.00	2.00	2.00	2.00
127.00	2.00	2.00	2.00	2.00
128.00	2.00	2.00	2.00	2.00
129.00	2.00	1.99	2.00	1.99
130.00	1.99	2.00	1.99	2.00
131.00	2.00	2.00	2.00	2.00
132.00	2.00	2.00	2.00	2.00
133.00	2.00	2.00	2.00	2.00
134.00	2.00	2.00	2.00	2.00
135.00	2.00	1.99	2.00	2.00
136.00	1.99	2.00	1.99	1.99
137.00	2.00	2.00	2.00	2.00
138.00	2.00	2.00	2.00	2.00
139.00	2.00	2.00	2.00	2.00
140.00	2.00	2.00	2.00	2.00
141.00	2.00	1.99	2.00	2.00
142.00	1.99	2.00	2.00	1.99
143.00	2.00	2.00	1.99	2.00
144.00	2.00	2.00	2.00	2.00
145.00	2.00	2.00	2.00	2.00
146.00	2.00	1.99	2.00	2.00
147.00	2.00	1.99	2.00	2.00
148.00	2.00	2.00	2.00	1.99
149.00	1.99	2.00	1.99	2.00
150.00	2.00	2.00	2.00	2.00
