Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.260s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	2.04	2.03	1.66	1.34	0.39	0.00	0.00	2.00	1.85	1.64	0.00	0.00	0.16	0.00
49.00	2.00	1.98	1.84	0.13	0.25	0.64	0.00	2.00	2.08	1.88	0.00	0.00	0.21	0.40
50.00	1.86	1.80	1.42	0.00	0.09	0.00	0.00	2.00	1.91	0.73	0.00	0.00	0.32	0.00
51.00	2.07	2.10	1.41	0.94	0.85	0.31	0.39	1.99	2.00	1.80	0.00	0.00	0.15	0.31
52.00	1.38	1.47	1.34	0.25	0.05	0.31	0.00	2.00	1.88	1.27	0.00	0.00	0.00	0.00
53.00	2.33	2.04	0.34	0.62	0.60	0.53	0.00	2.00	2.00	1.25	0.00	0.00	0.57	0.00
54.00	1.83	1.84	0.00	0.84	0.28	0.46	0.00	2.00	2.00	1.64	0.00	0.00	0.28	0.00
55.00	1.97	1.91	1.41	0.67	0.86	0.01	0.26	2.00	1.99	1.81	0.00	0.00	0.28	0.00
56.00	2.00	1.65	1.41	1.41	1.24	0.00	0.22	2.00	2.00	2.06	0.00	0.00	0.00	0.31
57.00	1.98	1.52	1.00	1.35	0.06	0.00	0.00	1.99	1.92	1.35	0.00	0.00	0.00	0.00
58.00	2.00	2.00	1.70	1.10	0.33	0.00	0.00	2.00	2.00	1.79	0.00	0.00	0.00	0.00
59.00	2.00	2.00	1.92	1.90	0.31	0.00	0.00	2.00	2.00	1.97	0.00	0.00	0.00	0.00
60.00	2.00	2.00	1.55	1.63	0.05	0.00	0.67	2.00	1.63	1.64	0.00	0.00	0.00	0.00
61.00	1.94	1.88	1.48	1.14	0.02	0.00	0.09	2.00	1.72	1.65	0.00	0.00	0.00	0.25
62.00	2.00	1.99	1.98	1.80	0.00	0.04	0.44	2.00	2.00	1.92	0.00	0.00	0.00	0.11
63.00	1.99	0.73	1.97	1.58	0.72	0.72	0.13	1.99	0.73	1.93	0.00	0.00	0.15	0.16
64.00	2.00	0.00	1.67	1.64	1.12	0.00	0.00	2.00	0.00	1.71	0.00	0.00	0.40	0.40
65.00	1.99	0.00	1.60	0.49	0.45	0.00	0.00	2.00	0.00	1.57	0.00	0.00	0.00	0.00
66.00	2.01	0.32	1.02	1.11	0.00	0.00	0.00	2.00	0.00	1.74	0.00	0.00	0.00	0.00
67.00	1.97	1.68	1.95	1.05	0.14	0.07	0.08	2.00	1.47	1.61	0.00	0.00	0.53	0.22
68.00	1.99	1.99	2.00	0.07	0.38	0.00	0.00	2.00	1.98	1.87	0.00	0.00	0.27	0.11
69.00	2.00	2.00	1.93	1.21	0.41	0.19	0.19	1.99	2.00	1.60	0.00	0.00	0.54	0.22
70.00	1.99	1.95	1.93	1.84	0.40	0.08	0.00	2.00	1.92	1.74	0.00	0.00	0.04	0.27
71.00	1.98	2.01	1.66	1.54	1.12	0.11	0.53	2.00	2.06	1.84	0.00	0.00	0.69	0.22
72.00	2.00	1.98	1.94	1.07	0.52	0.00	0.00	2.00	2.00	1.17	0.26	0.00	0.00	0.00
73.00	0.44	1.87	1.58	0.85	0.00	0.00	0.00	2.00	1.98	1.61	0.41	0.00	0.39	0.04
74.00	0.00	2.01	1.98	1.25	0.42	0.00	0.00	2.00	1.97	1.91	0.00	0.00	0.15	0.00
75.00	1.45	1.95	0.27	0.44	0.00	0.00	0.61	1.99	1.97	1.67	0.00	0.00	0.00	0.00
76.00	1.86	1.93	0.00	1.87	1.21	0.22	0.00	2.00	2.00	1.58	0.00	0.00	0.00	0.21
77.00	2.00	1.98	0.00	1.50	1.68	0.28	0.00	2.00	2.00	1.14	0.00	0.00	0.04	0.00
78.00	2.00	2.00	0.00	1.46	1.40	0.00	0.00	2.00	2.00	1.91	0.00	0.00	0.00	0.00
79.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.80	0.00	0.00	0.92	0.00
80.00	2.01	2.00	0.04	0.93	0.91	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.68	0.00
81.00	1.99	2.00	0.00	0.84	0.21	0.05	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00
82.00	2.00	2.00	0.00	0.86	0.39	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.39	0.42
83.00	1.99	1.98	1.41	1.61	0.35	0.25	0.00	2.00	1.99	0.00	0.00	0.00	0.29	0.29
84.00	2.00	2.03	1.44	1.74	0.77	0.12	0.00	2.00	1.94	0.00	0.00	0.00	0.00	0.00
85.00	1.99	1.86	1.90	1.58	0.32	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
86.00	2.00	1.98	1.88	0.69	0.40	0.00	0.00	2.00	2.01	0.00	0.00	0.00	0.00	0.00
87.00	2.00	1.98	1.17	0.66	1.02	0.14	0.00	1.99	1.95	0.00	0.00	0.00	0.00	0.00
88.00	2.00	2.00	1.95	1.06	1.84	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
89.00	0.65	0.66	0.66	0.66	0.67	0.00	0.00	2.00	0.65	0.00	0.00	0.00	0.00	0.00
90.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
91.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
92.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
93.00	1.40	0.00	1.39	0.00	0.97	0.22	0.00	1.99	0.00	0.00	0.00	0.00	0.69	0.72
94.00	2.00	0.00	1.93	0.00	0.79	0.19	0.00	2.00	0.00	0.00	0.00	0.00	1.19	1.19
95.00	2.00	0.00	1.94	0.00	0.31	0.28	0.00	2.00	0.00	0.37	0.00	0.00	0.39	0.38
96.00	0.82	0.00	2.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
97.00	0.49	0.00	1.68	0.00	0.54	0.65	0.02	2.00	0.00	2.61	0.00	0.00	0.05	0.02
98.00	1.67	0.00	2.00	0.00	0.22	0.71	0.00	2.00	0.00	1.84	0.00	0.00	0.07	0.04
99.00	1.99	0.00	1.99	0.00	0.86	0.07	0.00	2.00	0.00	1.93	0.00	0.00	0.09	0.08
100.00	2.00	0.00	1.73	0.00	1.11	0.05	0.00	1.99	0.00	1.74	0.00	0.00	0.00	0.00
101.00	1.99	0.00	1.53	0.00	0.81	0.31	0.00	2.00	0.00	1.78	0.00	0.00	0.35	0.27
102.00	2.00	0.00	1.99	0.00	1.02	0.33	0.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00
103.00	0.40	0.00	2.01	0.00	1.48	1.26	0.00	2.00	0.00	2.00	0.00	0.00	0.84	0.00
104.00	0.00	0.00	1.94	0.00	0.58	0.47	0.00	2.00	0.00	1.94	0.00	0.00	0.29	0.31
105.00	0.00	0.00	1.67	0.00	0.45	0.54	0.00	2.00	0.00	1.91	0.00	0.00	0.00	0.00
106.00	0.00	0.00	1.65	0.00	1.00	0.51	0.08	1.99	0.00	1.52	0.00	0.00	0.77	0.37
107.00	0.00	0.00	2.00	1.27	0.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	0.62	0.00
108.00	0.00	0.00	1.94	1.47	1.37	1.41	0.00	2.00	0.00	1.66	0.00	0.00	0.07	0.48
109.00	0.00	0.00	1.75	1.63	0.84	1.26	0.00	2.00	0.00	1.91	0.54	0.00	0.05	0.35
