Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.787s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 30.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	67.53	7.17	10.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.72
3.00	67.71	4.37	8.10	4.33	0.00	2.99	0.21	3.58	0.43	0.39	4.41
4.00	67.71	5.04	7.17	7.20	0.00	3.45	0.24	3.91	0.19	0.20	4.57
5.00	67.71	4.54	7.31	7.66	0.00	5.40	0.19	3.76	0.27	0.22	4.53
6.00	67.72	5.06	7.75	8.32	0.00	6.01	0.31	5.02	0.18	0.09	4.53
7.00	67.71	5.14	7.09	6.45	2.49	5.18	0.28	3.60	0.01	0.00	2.12
8.00	67.71	4.53	6.72	7.46	4.54	4.75	0.01	4.29	0.40	0.00	0.00
9.00	67.71	5.23	7.20	7.43	4.18	4.21	0.00	5.01	0.43	0.00	0.00
10.00	67.71	6.09	6.58	6.79	4.69	4.87	0.01	5.01	0.28	0.00	0.00
11.00	67.72	5.47	8.32	6.54	4.95	5.05	0.01	5.81	0.15	0.00	0.00
12.00	67.71	5.20	8.12	6.68	5.24	4.45	0.01	5.62	0.00	0.00	0.00
13.00	67.71	1.17	7.50	0.38	0.38	5.94	0.02	7.02	0.00	0.00	0.00
14.00	67.71	0.58	5.94	0.27	0.45	4.98	0.03	5.45	0.00	0.00	0.00
15.00	67.71	0.00	7.24	3.87	1.70	5.93	0.26	6.64	0.00	0.00	0.00
16.00	67.72	0.00	8.49	8.68	5.86	5.90	0.02	7.47	0.00	0.00	1.46
17.00	67.71	0.00	9.31	9.14	6.17	5.91	0.01	5.53	0.00	0.00	4.78
18.00	67.71	4.32	9.21	9.95	6.35	8.16	0.00	6.36	0.00	0.00	6.81
19.00	67.71	7.39	9.42	8.09	5.88	7.13	0.00	6.61	0.00	0.00	6.60
20.00	67.72	6.33	9.20	8.34	4.44	6.74	0.00	4.92	0.00	0.00	5.38
21.00	67.71	7.21	6.52	9.75	3.04	5.85	0.10	6.96	0.00	0.00	3.75
22.00	67.71	7.42	10.17	11.14	0.00	7.56	0.00	8.04	0.00	0.00	7.15
23.00	67.71	8.73	10.94	10.64	0.00	8.38	0.00	6.42	0.00	0.00	7.25
24.00	67.71	9.23	10.43	10.43	0.00	8.14	0.00	7.34	0.00	0.00	6.95
25.00	67.72	8.78	11.07	9.96	0.00	7.87	0.00	7.59	0.00	0.00	6.45
26.00	67.71	8.24	10.60	10.88	0.00	6.82	0.00	7.27	0.00	0.00	8.28
27.00	67.71	8.00	11.13	7.67	0.00	3.62	0.00	3.86	0.00	0.00	0.70
28.00	67.71	0.00	10.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	67.72	0.00	9.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
