Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.632s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	41.64	37.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	41.96	37.20	0.00	0.43	2.99	0.00	0.80	0.00	0.00	5.22	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
4.00	41.97	37.20	3.89	0.53	7.45	3.22	0.17	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	41.96	37.20	5.86	0.11	6.84	4.33	0.07	0.01	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	41.97	37.20	7.75	0.10	8.31	4.08	0.16	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	41.96	37.18	4.12	0.10	7.94	6.13	0.11	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	41.96	37.20	6.50	0.17	9.19	3.25	0.00	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	41.97	37.20	5.15	0.15	7.68	5.75	0.00	0.02	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	41.96	37.20	5.06	0.06	8.79	7.73	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	41.97	37.20	8.94	0.00	11.25	6.54	0.00	3.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	41.96	37.20	6.63	0.00	8.52	6.40	0.00	3.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	41.96	37.18	6.97	0.07	10.69	5.90	0.00	4.92	0.00	0.30	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
14.00	41.97	37.20	6.56	0.19	9.76	5.23	0.00	5.38	0.00	0.75	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
15.00	41.96	37.20	6.42	0.19	10.11	6.09	0.00	4.39	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	41.97	37.20	4.92	0.18	8.49	5.71	0.00	0.74	0.00	0.47	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
17.00	41.96	37.20	4.46	0.10	6.68	5.68	0.00	0.00	0.00	0.31	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
18.00	41.97	37.20	8.84	0.06	11.44	8.33	0.00	0.00	0.00	0.30	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
19.00	41.96	37.18	8.15	0.00	9.32	8.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	41.96	37.20	4.25	0.06	7.17	6.52	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	41.97	37.20	4.78	0.12	7.65	6.59	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	41.96	37.20	4.92	0.04	6.68	5.97	0.00	0.00	0.00	0.43	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
23.00	41.97	37.20	4.53	0.16	5.93	4.77	0.00	0.22	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	41.96	37.20	3.57	0.08	6.92	4.80	0.00	0.38	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	41.97	37.18	6.60	0.00	9.88	7.29	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	41.96	37.20	6.96	0.00	9.13	3.80	0.00	0.22	0.00	1.61	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
27.00	41.96	37.20	7.92	0.00	11.57	5.38	0.01	0.01	0.00	1.13	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
28.00	41.97	37.20	5.96	0.00	8.60	5.49	0.00	0.00	0.00	1.97	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
29.00	41.96	37.20	0.00	0.00	7.37	6.90	0.00	0.04	0.00	0.51	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
30.00	41.97	37.18	0.00	0.15	5.79	5.39	0.00	0.02	0.00	0.67	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
31.00	41.96	37.20	0.01	0.07	6.09	5.32	0.00	0.33	0.00	0.33	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
32.00	41.96	37.20	1.67	0.12	7.63	4.49	0.00	0.24	0.00	0.71	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
33.00	41.97	37.20	4.51	0.53	6.57	2.65	0.00	0.13	0.00	1.72	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
34.00	41.96	37.20	4.21	0.15	6.60	3.86	0.00	0.10	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	41.97	37.20	5.22	0.07	7.65	4.56	0.00	0.00	0.00	0.63	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
36.00	41.96	37.18	5.27	0.21	7.59	5.37	0.00	0.00	0.06	0.64	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
