Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.609s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	39.96	0.00	0.00	14.46	0.00	2.89	5.13	0.00	0.00	0.00	0.00
3.00	40.06	0.00	0.15	10.89	0.12	6.55	0.33	0.00	1.67	0.00	0.00
4.00	40.05	0.00	0.10	9.33	1.07	3.98	0.00	0.00	0.92	0.00	0.00
5.00	40.06	0.00	0.06	9.13	0.88	4.12	0.00	0.00	0.62	0.00	0.00
6.00	40.05	0.00	0.00	8.50	0.57	3.46	0.00	0.00	0.75	0.00	0.00
7.00	40.06	0.00	0.00	7.23	0.64	3.09	0.16	0.03	0.54	0.00	0.00
8.00	40.06	0.00	0.00	7.85	0.51	4.39	0.49	0.20	0.19	0.00	0.00
9.00	40.05	0.00	0.00	8.59	0.00	5.75	0.53	0.19	0.00	0.03	0.01
10.00	40.06	0.00	0.00	8.42	0.00	5.03	0.34	0.02	0.01	0.04	0.02
11.00	40.05	0.00	0.73	5.15	0.18	1.62	0.19	0.07	0.28	0.01	0.02
12.00	40.06	0.00	0.00	5.17	0.64	2.52	0.01	0.00	0.22	0.00	0.00
13.00	40.06	0.00	0.00	7.85	0.29	4.41	0.39	0.12	0.21	0.02	0.01
14.00	40.05	0.00	0.00	7.63	0.00	4.69	0.39	0.04	0.00	0.04	0.00
15.00	40.06	0.00	0.00	8.64	0.00	5.87	0.54	0.15	0.00	0.07	0.01
16.00	40.05	0.00	0.00	8.70	0.40	4.93	0.60	0.31	0.00	0.04	0.01
17.00	40.06	0.00	0.00	9.23	0.48	4.95	0.71	0.16	0.00	0.06	0.00
18.00	40.05	0.00	0.00	8.45	0.69	3.66	0.91	0.18	0.00	0.08	0.00
19.00	40.06	0.00	0.00	7.20	0.63	3.84	0.30	0.17	0.00	0.01	0.00
20.00	40.06	0.00	0.00	7.98	0.71	3.98	0.33	0.10	0.00	0.01	0.03
21.00	40.05	0.00	0.00	7.63	0.61	3.69	0.27	0.11	0.00	0.02	0.01
22.00	40.06	0.00	0.00	9.34	0.54	3.17	0.63	0.22	0.00	0.06	0.02
23.00	40.05	0.00	0.00	10.10	0.38	6.45	0.13	0.03	0.00	0.02	0.00
24.00	40.06	0.00	0.00	9.25	0.00	5.19	0.00	0.00	1.21	0.00	0.00
25.00	40.06	0.00	0.00	8.94	0.00	5.15	0.00	0.00	0.90	0.00	0.00
26.00	40.05	0.00	0.00	8.59	0.00	4.63	0.03	0.03	0.73	0.00	0.00
27.00	40.06	0.00	0.00	7.40	0.00	4.25	0.34	0.04	0.51	0.03	0.02
28.00	40.05	0.00	0.00	8.56	0.00	1.80	0.45	0.24	0.17	0.00	0.01
29.00	40.06	0.00	0.00	7.48	0.38	2.23	0.31	0.18	0.10	0.04	0.02
30.00	40.06	0.00	0.00	7.63	0.31	3.69	0.38	0.08	0.44	0.01	0.00
31.00	40.05	0.00	0.00	7.83	0.00	5.05	0.18	0.10	0.00	0.00	0.01
32.00	40.06	0.00	0.00	10.28	0.00	6.56	0.09	0.03	0.00	0.02	0.00
33.00	40.05	0.00	0.00	8.75	0.00	4.87	0.16	0.00	0.00	0.00	0.00
34.00	40.06	0.00	0.00	9.25	0.00	5.86	0.09	0.07	0.00	0.01	0.00
35.00	40.05	0.00	0.00	8.58	0.00	5.50	0.30	0.09	0.00	0.00	0.02
36.00	40.06	0.00	0.00	15.44	0.00	0.25	1.64	0.38	0.00	0.15	0.12
37.00	40.06	0.00	0.00	9.87	0.00	0.00	0.69	0.17	0.00	0.07	0.02
38.00	40.05	0.00	0.00	10.30	0.00	0.00	0.46	0.19	0.00	0.04	0.04
39.00	40.06	0.00	0.00	16.43	0.00	0.00	1.03	0.45	0.00	0.00	0.09
