Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.736s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	39.91	38.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	40.06	39.10	20.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	39.09	9.71	12.44	0.00	0.00	0.00	1.33	0.88	0.01
5.00	40.06	39.10	11.02	4.67	0.00	0.00	0.00	0.37	0.26	0.16
6.00	40.05	39.10	13.03	3.59	0.00	0.00	0.00	0.35	0.33	0.19
7.00	40.06	39.09	11.26	1.27	0.00	0.00	0.00	0.08	0.11	0.07
8.00	40.06	39.10	10.89	3.08	0.00	0.00	0.00	0.39	0.00	0.07
9.00	40.05	39.10	12.07	3.17	0.00	0.00	0.00	0.30	0.00	0.09
10.00	40.06	39.09	10.37	1.85	0.00	0.00	0.00	0.15	0.00	0.09
11.00	40.05	39.10	10.33	2.25	0.00	0.00	0.00	0.15	0.00	0.08
12.00	40.06	39.10	13.17	3.17	0.00	0.00	0.00	0.19	0.00	0.09
13.00	40.06	39.09	13.22	2.80	0.00	0.00	0.00	0.19	0.00	0.09
14.00	40.05	39.10	11.87	2.30	0.00	0.00	0.00	0.15	0.00	0.09
15.00	40.06	39.10	10.47	3.93	0.00	0.00	0.00	0.38	0.00	0.17
16.00	40.05	39.09	8.12	7.43	0.00	0.00	0.00	0.44	0.00	0.13
17.00	40.06	39.10	7.85	7.36	0.00	0.00	0.00	0.29	0.00	0.04
18.00	40.05	39.10	4.62	6.38	0.00	0.00	0.00	0.16	0.00	0.00
19.00	40.06	39.09	3.66	7.97	0.00	0.00	0.00	0.19	0.00	0.03
20.00	40.06	39.10	10.47	8.12	0.00	0.00	0.00	0.33	0.00	0.16
21.00	40.05	39.10	14.13	1.13	0.00	0.00	0.00	0.29	0.00	0.07
22.00	40.06	39.09	15.17	3.17	0.00	0.00	0.00	0.47	0.00	0.00
23.00	40.05	39.10	16.50	2.62	0.00	0.00	0.00	0.42	0.00	0.00
24.00	40.06	39.10	15.69	3.02	0.00	0.00	0.00	0.34	0.00	0.00
25.00	40.06	39.09	15.97	2.53	0.00	0.00	0.00	0.19	0.00	0.00
26.00	40.05	39.10	18.37	2.64	0.00	0.00	0.00	0.00	0.00	0.00
27.00	40.06	39.10	17.77	3.01	0.00	0.00	0.00	0.00	0.00	0.00
28.00	40.05	39.09	17.35	2.58	0.00	0.00	0.00	0.00	0.00	0.00
29.00	40.06	39.10	11.94	2.49	0.00	0.00	0.00	0.00	0.00	0.00
30.00	40.06	39.10	9.44	1.74	0.00	0.00	0.00	0.00	0.00	0.00
31.00	40.05	39.09	10.05	1.99	0.00	0.00	0.00	0.00	0.00	0.00
32.00	40.06	39.10	8.31	0.34	0.00	0.00	0.00	0.00	0.00	0.00
33.00	40.05	39.10	11.13	0.67	0.00	0.00	0.00	0.00	0.00	0.00
34.00	40.06	39.09	9.85	1.77	0.00	0.00	0.00	0.00	0.00	0.00
35.00	40.05	39.10	9.83	1.53	0.00	0.00	0.00	0.00	0.00	0.00
36.00	40.06	39.10	9.75	1.74	0.00	0.00	0.00	0.00	0.00	0.00
37.00	40.06	39.09	10.06	2.56	0.00	0.00	0.00	0.00	0.00	0.00
38.00	40.05	39.10	8.94	2.27	0.00	0.00	0.00	0.00	0.00	0.00
39.00	40.06	39.10	9.93	1.49	0.00	0.00	0.00	0.00	0.00	0.00
