Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.600s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
30.00	35.29	32.42	26.69	0.43	3.92	0.00	6.26	0.00	5.38	0.00	0.25	0.00	5.68	3.20	0.89	0.00	0.03	0.00	0.00	0.00	0.00	0.00
31.00	35.29	32.43	26.71	5.26	2.17	0.01	6.51	0.00	3.62	0.00	0.00	0.00	5.86	2.85	0.71	0.00	0.03	0.00	0.00	0.00	0.00	0.00
32.00	35.29	32.42	26.71	4.67	0.00	0.00	8.30	0.01	7.42	0.00	0.00	0.06	0.25	1.45	0.16	0.00	0.06	0.00	0.00	0.00	0.00	0.00
33.00	35.29	32.42	26.71	5.11	0.00	0.04	6.93	0.00	5.24	0.00	0.00	0.04	0.00	3.74	0.84	0.00	0.31	0.00	0.00	0.00	0.00	0.00
34.00	35.29	32.42	26.69	4.14	0.00	0.00	5.40	0.00	5.30	0.00	0.00	0.12	0.00	4.60	0.88	0.00	0.35	0.00	0.00	0.00	0.00	0.00
35.00	35.29	32.43	26.71	5.64	0.00	0.00	8.54	0.00	7.72	0.00	0.00	0.07	0.00	4.46	0.51	0.00	0.12	0.00	0.00	0.00	0.00	0.00
36.00	35.29	32.42	26.71	6.97	0.28	0.00	8.96	0.00	8.73	0.00	0.00	0.02	0.00	5.63	0.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00
37.00	35.29	32.42	26.69	5.27	3.96	0.00	8.37	0.00	5.01	0.00	0.00	0.04	0.00	3.25	1.29	0.00	0.18	0.00	0.00	0.00	0.00	0.00
38.00	35.29	32.42	26.71	5.23	2.92	0.00	7.97	0.00	5.49	0.00	0.00	0.08	0.00	3.07	0.86	0.00	0.28	0.00	0.00	0.00	0.00	0.00
39.00	35.29	32.42	26.71	4.74	4.28	0.00	7.28	0.00	2.94	0.00	0.00	0.01	0.00	1.93	0.57	0.00	0.18	0.00	0.00	0.00	0.00	0.00
