Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.616s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	33.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	36.24	0.00	13.43	14.72	0.00	0.00	2.46	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	36.24	0.00	16.10	16.62	0.00	0.00	5.21	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	36.24	0.00	18.55	17.86	0.00	0.00	1.86	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	36.24	0.00	19.20	19.62	0.00	0.00	3.81	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	36.24	0.00	15.13	14.90	0.00	0.00	4.92	0.00	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	36.24	0.00	14.27	12.07	0.00	0.00	5.18	0.00	3.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	36.24	0.00	17.03	15.24	0.00	0.00	6.24	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	36.23	0.00	20.85	21.01	0.00	0.00	7.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	36.24	0.00	16.99	15.58	0.00	0.00	2.79	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00
