Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.217s)
CreateVariables () DONE !!!
Creating 7 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00
4.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
5.00	0.00	0.00	0.00	2.00	1.97	0.41	0.58
6.00	1.78	1.79	1.94	2.00	1.02	0.84	0.84
7.00	2.00	1.94	1.99	2.00	1.99	1.95	1.99
8.00	2.00	1.93	2.00	1.99	2.00	1.92	2.00
9.00	2.00	1.92	2.00	2.00	2.00	1.98	2.00
10.00	2.00	1.92	2.00	2.00	2.00	1.92	2.00
11.00	1.97	1.92	2.00	2.00	2.00	1.94	1.97
12.00	2.00	1.90	2.00	2.00	2.00	1.95	1.99
13.00	1.99	1.93	2.00	2.00	1.99	1.94	1.99
14.00	2.00	1.94	1.99	1.99	2.00	1.87	2.00
15.00	1.99	1.92	2.00	2.00	1.99	1.90	1.99
16.00	2.00	1.93	2.00	2.00	1.99	1.93	1.98
17.00	1.97	1.92	2.00	2.00	2.00	1.90	1.99
18.00	2.00	1.87	2.00	2.00	2.00	1.93	2.00
19.00	2.00	1.95	2.00	2.00	1.99	1.94	1.99
20.00	2.00	1.92	1.99	1.99	2.00	1.92	2.00
21.00	1.99	1.95	2.00	2.00	2.00	1.97	1.98
22.00	2.00	1.93	2.00	2.00	1.99	1.94	2.00
23.00	2.00	1.92	2.00	2.00	2.00	1.94	1.99
24.00	1.99	1.85	2.00	2.00	2.00	1.90	2.00
25.00	2.00	1.93	2.00	2.00	1.97	1.90	2.00
26.00	2.00	1.94	1.99	1.99	1.99	1.92	1.99
27.00	1.99	1.92	2.00	2.00	2.00	1.97	1.99
28.00	2.00	1.93	2.00	2.00	1.99	1.94	2.00
29.00	1.99	1.88	2.00	2.00	2.00	1.94	1.97
30.00	1.99	1.94	2.00	2.00	1.98	1.92	2.00
31.00	1.99	1.98	2.00	2.00	2.01	1.92	2.00
32.00	2.00	1.90	1.99	1.99	1.99	1.94	2.00
33.00	2.00	1.93	2.00	2.00	2.00	1.95	2.00
34.00	2.00	1.90	2.00	2.00	2.00	1.92	2.00
35.00	1.99	1.94	2.00	2.00	1.99	1.95	1.99
36.00	1.97	1.93	2.00	2.00	1.99	1.93	1.98
37.00	2.00	1.90	2.00	2.00	2.00	1.95	1.99
38.00	2.00	1.91	1.99	1.99	2.00	1.92	2.00
39.00	1.99	1.94	2.00	2.00	2.00	1.91	2.00
40.00	2.00	1.91	2.00	2.00	2.00	1.93	2.00
41.00	1.98	1.92	2.00	2.00	2.00	1.95	2.00
42.00	2.00	1.93	2.00	2.00	1.99	1.88	1.99
43.00	2.00	1.91	2.00	2.00	1.99	1.97	2.00
44.00	2.00	1.94	1.99	1.99	2.00	1.91	2.00
45.00	1.99	1.92	2.00	2.00	2.00	1.93	2.00
46.00	2.00	1.95	2.00	2.00	2.00	1.93	2.00
47.00	1.99	1.97	2.00	2.00	2.00	1.97	2.00
48.00	1.99	1.90	2.00	2.00	2.00	1.91	1.99
49.00	1.99	1.92	2.00	2.00	1.99	1.97	1.99
50.00	2.00	1.93	1.99	2.00	1.98	1.92	2.00
51.00	2.00	1.91	2.00	1.99	1.99	1.94	1.99
52.00	2.00	1.93	2.00	2.00	2.00	1.91	2.00
53.00	1.99	1.92	2.00	2.00	2.00	1.97	1.99
54.00	2.00	1.90	2.00	2.00	1.99	1.95	1.99
55.00	1.98	1.88	2.00	2.00	2.01	1.93	2.00
56.00	2.00	1.95	2.00	2.00	1.99	1.94	1.98
57.00	1.99	1.94	1.99	1.99	2.00	1.92	2.00
58.00	2.00	1.92	2.00	2.00	2.00	1.97	2.00
59.00	1.99	1.91	2.00	2.00	2.00	1.93	2.00
60.00	2.00	1.93	2.00	2.00	2.00	1.88	1.99
61.00	1.95	1.90	2.00	2.00	1.99	1.94	1.98
62.00	2.00	1.94	2.00	2.00	2.00	1.93	2.00
63.00	1.98	1.95	1.99	1.99	2.00	1.94	1.99
64.00	2.00	1.93	2.00	2.00	2.00	1.94	2.00
65.00	1.98	1.92	2.00	2.00	2.00	1.92	1.98
66.00	1.99	1.93	2.00	2.00	2.00	1.93	1.98
67.00	1.99	1.92	2.00	2.00	2.00	1.92	2.00
68.00	2.00	1.90	2.00	2.00	1.99	1.94	2.00
