Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.311s)
CreateVariables () DONE !!!
Creating 14 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	2.00	1.92	0.74	0.33	0.25	0.00	0.00	2.00	1.81	0.00	0.25	0.00	0.00	0.00
49.00	1.87	1.61	1.54	0.00	0.00	0.00	0.00	2.00	1.97	0.68	0.00	0.00	0.00	0.00
50.00	2.00	1.81	0.52	0.79	0.57	0.00	0.00	2.00	1.92	0.00	0.34	0.07	0.00	0.00
51.00	1.90	1.83	0.48	0.60	0.08	0.00	0.00	1.99	1.64	2.25	0.55	0.00	0.00	0.00
52.00	2.01	1.97	1.87	0.52	0.94	0.00	0.00	2.00	2.01	1.71	0.95	0.00	0.00	0.00
53.00	1.60	1.85	1.54	1.02	0.31	0.00	0.00	2.00	2.00	0.99	0.58	0.41	0.00	0.00
54.00	2.30	2.03	1.80	0.84	0.14	0.00	0.00	2.00	1.95	1.94	1.46	0.27	0.00	0.00
55.00	2.00	1.98	1.71	0.27	0.00	0.00	0.00	2.00	1.81	1.07	1.57	0.75	0.00	0.00
56.00	1.86	1.85	1.53	0.00	0.85	0.00	0.00	2.00	1.99	0.68	0.73	0.00	0.00	0.15
57.00	1.99	2.07	1.65	0.94	0.21	0.00	0.00	1.99	1.99	0.00	0.80	0.34	0.00	0.42
58.00	1.41	1.81	1.52	0.74	0.00	0.00	0.00	2.00	1.97	0.02	0.47	0.05	0.00	0.04
59.00	2.03	1.90	1.46	0.82	0.67	0.00	0.00	2.00	1.93	0.33	0.54	0.86	0.00	0.00
60.00	1.67	1.75	1.08	0.35	0.02	0.00	0.00	2.00	1.59	0.31	0.67	0.31	0.00	0.00
61.00	2.00	1.87	2.08	1.19	0.00	0.00	0.00	2.00	1.81	0.16	0.31	0.00	0.00	0.00
62.00	1.85	1.51	0.38	0.00	0.00	0.00	0.00	2.00	1.72	0.05	0.20	0.00	0.00	0.00
63.00	1.86	1.75	1.99	0.29	0.05	0.00	0.00	1.99	2.00	0.33	0.42	0.00	0.00	0.02
64.00	2.14	2.08	1.63	0.72	0.82	0.00	0.00	2.00	1.99	0.26	0.53	0.18	0.00	0.14
65.00	1.90	1.95	1.20	0.44	0.00	0.00	0.00	2.00	1.42	1.02	0.00	0.00	0.00	0.01
66.00	0.75	1.81	1.58	0.15	0.13	0.00	0.00	2.00	2.14	2.63	0.46	0.00	0.00	0.00
67.00	3.09	1.88	1.58	0.31	0.25	0.00	0.00	2.00	1.98	1.59	0.19	0.13	0.00	0.00
68.00	2.00	1.63	1.18	0.79	0.04	0.00	0.00	2.00	1.75	1.48	0.53	0.34	0.00	0.00
69.00	1.98	1.78	1.13	0.78	0.00	0.00	0.00	1.99	1.93	0.29	0.91	0.75	0.00	0.00
70.00	2.01	1.66	1.15	0.59	0.00	0.00	0.00	2.00	1.60	1.95	0.44	0.42	0.00	0.00
71.00	2.00	2.03	1.86	1.08	0.62	0.00	0.00	2.00	2.00	0.00	0.55	0.46	0.00	0.00
72.00	2.00	1.99	1.95	0.42	0.08	0.00	0.00	2.00	2.00	0.33	0.28	0.00	0.00	0.00
73.00	1.99	2.00	1.88	0.35	0.00	0.00	0.00	2.00	2.00	0.00	0.33	0.00	0.00	0.00
74.00	0.58	1.87	0.52	0.48	0.46	0.00	0.00	2.00	0.65	0.66	0.48	0.35	0.00	0.69
75.00	2.86	1.93	1.94	0.22	0.58	0.00	0.00	1.99	1.64	1.02	0.54	0.33	0.00	0.00
76.00	1.98	1.72	0.60	0.00	0.00	0.00	0.00	2.00	1.34	0.31	0.00	0.00	0.00	0.00
77.00	2.01	1.99	2.32	2.56	0.00	0.00	0.00	2.00	2.34	0.97	0.33	0.45	0.00	0.00
78.00	2.01	2.01	1.01	0.41	0.24	0.00	0.00	2.00	2.00	1.37	0.40	0.41	0.00	0.00
79.00	1.80	1.81	0.94	0.00	0.00	0.00	0.00	2.00	1.61	0.53	0.00	0.00	0.00	0.00
80.00	2.00	1.92	1.52	0.32	0.00	0.00	0.00	2.00	1.81	0.66	0.21	0.11	0.00	0.00
81.00	2.00	1.99	1.39	0.89	0.00	0.00	0.00	1.99	2.00	0.33	0.28	0.51	0.00	0.00
82.00	1.97	1.81	1.52	1.15	0.00	0.00	0.00	2.00	1.81	0.31	0.20	0.11	0.00	0.00
83.00	1.99	1.99	1.33	0.73	0.15	0.00	0.00	2.00	1.99	0.33	1.14	0.80	0.00	0.18
84.00	1.92	0.92	1.61	0.75	0.14	0.00	0.00	2.00	1.81	0.60	0.34	0.00	0.00	0.24
85.00	2.04	1.94	2.11	1.10	0.00	0.00	0.00	2.00	2.00	0.00	1.22	0.00	0.00	0.00
86.00	1.95	1.87	1.91	0.46	0.00	0.00	0.00	2.00	1.95	0.00	1.25	0.75	0.00	0.01
87.00	1.92	1.77	1.53	0.00	0.00	0.00	0.00	1.99	1.87	1.58	0.19	0.00	0.00	0.00
88.00	2.00	2.00	2.01	0.05	0.04	0.00	0.00	2.00	2.00	0.00	0.07	0.00	0.00	0.00
89.00	1.85	1.52	0.67	0.35	0.00	0.00	0.00	2.00	1.75	0.99	0.46	0.35	0.00	0.00
90.00	1.88	1.95	1.68	0.46	0.00	0.00	0.00	2.00	1.20	1.99	0.00	0.00	0.00	0.00
91.00	2.00	1.90	1.37	0.75	0.00	0.00	0.00	2.00	1.78	1.04	1.07	0.20	0.00	0.00
92.00	1.97	1.92	1.39	0.32	0.00	0.00	0.00	2.00	1.78	1.39	0.00	0.00	0.00	0.00
93.00	1.51	2.07	1.75	1.38	0.00	0.00	0.00	1.99	1.42	0.62	0.85	0.80	0.00	0.24
94.00	2.00	1.94	1.58	1.28	0.00	0.00	0.00	2.00	2.00	0.02	0.82	0.86	0.00	0.15
95.00	2.00	1.20	1.61	0.81	0.00	0.00	0.00	2.00	1.97	0.58	0.94	0.00	0.00	0.00
96.00	1.98	2.04	0.97	1.33	0.49	0.00	0.00	2.00	2.04	0.94	0.69	0.34	0.00	0.00
97.00	1.99	1.99	0.57	0.69	0.60	0.00	0.00	2.00	1.99	0.00	0.88	0.47	0.00	0.00
98.00	2.01	2.00	1.42	0.91	0.00	0.00	0.00	2.00	2.01	0.35	0.91	0.00	0.00	0.00
99.00	1.95	1.87	1.40	0.75	0.32	0.00	0.00	2.00	1.93	1.39	1.01	0.00	0.00	0.00
100.00	1.84	1.72	1.04	0.86	0.53	0.00	0.00	1.99	1.75	0.48	0.44	0.14	0.00	0.12
101.00	2.00	1.98	1.98	0.44	0.00	0.00	0.00	2.00	1.99	0.72	0.00	0.00	0.00	0.00
102.00	2.00	1.94	1.81	0.94	0.27	0.00	0.00	2.00	1.84	0.39	0.32	0.54	0.00	0.08
103.00	1.99	1.99	2.06	1.35	0.29	0.00	0.00	2.00	1.88	0.00	0.28	0.05	0.00	0.35
104.00	2.01	1.91	1.84	0.29	0.11	0.00	0.00	2.00	1.94	0.00	0.59	0.29	0.00	0.00
105.00	1.91	1.70	1.42	0.00	0.00	0.00	0.00	2.00	1.91	0.00	0.01	0.00	0.00	0.00
106.00	2.01	1.92	2.20	0.85	0.69	0.00	0.00	1.99	2.01	2.01	0.11	0.00	0.00	0.00
107.00	2.00	1.92	1.58	0.31	0.37	0.00	0.00	2.00	2.00	0.45	0.54	0.53	0.00	0.45
108.00	1.99	1.84	1.45	0.55	0.08	0.00	0.00	2.00	1.98	0.97	0.31	0.08	0.00	0.07
109.00	2.01	2.00	1.83	1.44	0.00	0.00	0.00	2.00	2.00	0.62	0.00	0.00	0.00	0.00
110.00	2.00	1.99	1.32	0.84	0.00	0.00	0.00	2.00	1.93	0.53	0.94	0.24	0.00	0.12
111.00	1.87	1.86	1.39	0.29	0.00	0.00	0.00	2.00	2.06	1.44	0.00	0.00	0.00	0.00
112.00	1.99	1.99	2.01	0.94	0.00	0.00	0.00	1.99	1.94	0.00	0.06	0.08	0.00	0.26
113.00	2.00	1.93	1.59	0.02	0.00	0.00	0.00	2.00	1.99	1.21	0.00	0.00	0.00	0.00
114.00	1.98	1.99	0.94	0.91	0.00	0.00	0.00	2.00	2.00	1.00	0.37	0.22	0.00	0.00
115.00	1.95	1.61	0.91	0.69	0.00	0.00	0.00	2.00	1.84	1.33	0.57	0.00	0.00	0.00
116.00	1.83	0.59	1.20	0.55	0.53	0.00	0.00	2.00	1.61	0.00	0.77	0.00	0.00	0.00
117.00	1.97	0.31	1.80	1.59	0.00	0.00	0.00	2.00	1.99	0.00	0.32	0.29	0.00	0.00
118.00	2.00	1.25	1.44	0.53	0.00	0.00	0.00	1.99	2.00	0.95	1.25	0.86	0.00	0.00
119.00	2.00	1.19	1.75	1.22	0.00	0.00	0.00	2.00	1.99	0.69	1.04	1.04	0.00	0.00
120.00	1.84	1.20	1.78	1.01	0.00	0.00	0.00	2.00	2.00	1.17	0.33	0.00	0.00	0.00
121.00	1.58	1.74	1.05	0.05	1.81	0.00	0.00	2.00	1.30	0.00	0.89	0.32	0.00	0.00
122.00	2.00	1.83	1.85	0.26	0.44	0.00	0.00	2.00	2.19	0.42	0.40	0.40	0.00	0.00
123.00	1.93	1.97	1.20	0.24	0.11	0.00	0.00	2.00	2.05	0.97	0.57	0.27	0.00	0.18
124.00	2.06	1.86	1.86	0.81	0.00	0.00	0.00	1.99	1.91	1.88	0.00	0.00	0.00	0.00
125.00	1.99	1.27	1.46	0.32	0.46	0.00	0.00	2.00	1.93	0.00	0.58	0.00	0.00	0.00
126.00	1.97	2.14	1.17	0.29	0.00	0.00	0.00	2.00	2.00	2.40	0.15	0.16	0.00	0.00
127.00	2.03	2.04	1.87	0.00	0.00	0.00	0.00	2.00	2.03	0.05	1.37	0.49	0.00	0.00
128.00	1.98	1.92	1.46	0.00	0.00	0.00	0.00	2.00	1.80	0.26	1.28	0.00	0.00	0.00
129.00	1.78	1.33	1.00	0.99	0.00	0.00	0.00	2.00	2.03	0.61	0.00	0.00	0.00	0.00
130.00	2.16	1.93	1.30	0.00	0.00	0.00	0.00	1.99	1.86	0.78	0.00	0.00	0.00	0.00
131.00	2.00	1.94	1.75	1.53	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
132.00	2.00	1.98	1.81	0.00	0.00	0.00	0.00	2.00	2.00	0.51	0.31	0.00	0.00	0.00
133.00	2.00	2.01	1.54	0.00	0.00	0.00	0.00	2.00	2.00	1.91	0.00	0.00	0.00	0.00
134.00	1.85	1.98	0.95	0.00	0.00	0.00	0.00	2.00	1.74	0.58	0.21	0.00	0.00	0.00
135.00	1.83	1.94	1.63	0.00	0.82	0.00	0.00	2.00	1.84	0.02	0.60	0.01	0.00	0.00
136.00	1.99	1.90	1.61	0.28	0.26	0.00	0.00	1.99	1.64	0.49	0.81	0.44	0.00	0.39
137.00	1.99	1.99	1.67	0.60	0.20	0.00	0.00	2.00	1.99	0.05	0.46	0.00	0.00	0.00
138.00	2.00	1.98	1.53	0.38	0.11	0.00	0.00	2.00	2.01	1.51	0.45	0.37	0.00	0.00
139.00	2.01	1.94	1.66	0.58	0.33	0.00	0.00	2.00	1.86	0.24	0.44	0.00	0.00	0.00
140.00	1.99	1.93	1.39	0.05	0.00	0.00	0.00	2.00	1.88	0.00	0.35	0.31	0.00	0.00
141.00	1.97	1.92	1.66	0.05	0.00	0.00	0.00	2.00	1.79	0.31	0.52	0.06	0.00	0.00
142.00	2.00	1.93	0.49	0.32	0.00	0.00	0.00	2.00	1.84	1.41	0.29	0.29	0.00	0.00
143.00	1.94	1.81	0.25	0.00	0.00	0.00	0.00	1.99	1.92	1.60	0.00	0.00	0.00	0.00
144.00	2.04	2.05	1.85	0.14	0.00	0.00	0.00	2.00	2.03	0.38	0.52	0.38	0.00	0.00
145.00	2.00	1.93	1.07	0.59	0.00	0.00	0.00	2.00	1.74	1.01	0.00	0.00	0.00	0.00
146.00	1.81	1.79	1.11	0.98	0.00	0.00	0.00	2.00	1.79	0.94	0.54	0.33	0.00	0.00
147.00	1.99	2.01	1.55	0.91	0.00	0.00	0.00	2.00	1.66	1.80	0.31	0.47	0.00	0.29
148.00	1.75	1.95	0.95	1.01	0.00	0.00	0.00	2.00	2.01	1.86	0.21	0.07	0.00	0.00
149.00	2.21	1.94	1.93	1.01	0.00	0.00	0.00	1.99	2.00	1.33	0.80	0.00	0.00	0.00
150.00	2.00	1.99	1.78	1.10	0.13	0.00	0.00	2.00	2.00	0.64	0.26	0.16	0.00	0.61
151.00	2.00	1.14	0.81	0.46	0.32	0.00	0.00	2.00	1.61	0.31	0.57	0.00	0.00	0.00
152.00	1.81	1.41	0.92	0.38	0.00	0.00	0.00	2.00	1.77	0.80	0.14	0.13	0.00	0.00
153.00	2.03	1.87	2.08	0.46	0.13	0.00	0.00	2.00	1.97	1.95	0.01	0.00	0.00	0.00
154.00	0.78	1.37	0.45	0.00	0.00	0.00	0.00	2.00	0.84	0.22	0.00	0.00	0.00	0.00
155.00	1.77	1.83	0.65	0.48	0.24	0.00	0.00	1.99	2.05	1.95	0.07	0.00	0.00	0.00
156.00	2.00	1.90	1.32	0.01	0.00	0.00	0.00	2.00	1.95	0.04	0.13	0.48	0.00	0.00
157.00	1.99	1.21	1.75	0.45	0.00	0.00	0.00	2.00	1.99	0.00	0.16	0.15	0.00	0.00
158.00	1.94	1.90	1.72	0.29	0.00	0.00	0.00	2.00	1.88	2.50	0.39	0.38	0.00	0.00
159.00	1.24	1.31	1.28	0.89	0.00	0.00	0.00	2.00	1.78	0.82	0.52	0.52	0.00	0.00
160.00	2.00	1.99	1.75	0.91	0.00	0.00	0.00	2.00	1.97	0.78	0.00	0.00	0.00	0.00
161.00	1.88	1.93	1.40	0.93	0.00	0.00	0.00	1.99	1.53	0.68	0.00	0.00	0.00	0.00
162.00	2.00	1.88	2.00	0.20	0.01	0.00	0.00	2.00	1.98	0.97	1.00	0.37	0.00	0.07
163.00	2.00	2.00	1.35	0.67	0.00	0.00	0.00	2.00	1.80	1.55	0.00	0.00	0.00	0.00
164.00	2.00	1.85	1.26	0.08	0.00	0.00	0.00	2.00	2.06	1.90	0.22	0.19	0.00	0.00
165.00	1.98	1.81	0.92	0.00	0.00	0.00	0.00	2.00	1.99	1.37	0.31	0.00	0.00	0.00
166.00	2.00	1.90	1.14	0.38	0.53	0.00	0.00	2.00	2.00	0.79	0.68	0.09	0.00	0.00
167.00	1.99	1.71	1.44	0.09	0.00	0.00	0.00	1.99	1.97	0.49	0.05	0.45	0.00	0.00
168.00	1.95	1.11	1.39	1.02	0.59	0.00	0.00	2.00	1.93	0.88	1.13	0.14	0.00	0.18
169.00	2.05	2.73	1.73	0.28	0.31	0.00	0.00	2.00	2.03	0.11	0.73	0.48	0.00	0.19
170.00	1.73	1.79	1.58	0.00	0.00	0.00	0.00	2.00	1.93	0.35	1.06	0.06	0.00	0.00
171.00	2.00	1.85	1.04	1.12	0.00	0.00	0.00	2.00	1.27	0.35	0.15	0.15	0.00	0.00
172.00	2.00	1.84	1.30	0.57	0.07	0.00	0.00	2.00	1.91	1.93	0.46	0.28	0.00	0.79
173.00	2.00	1.81	1.37	0.99	0.00	0.00	0.00	1.99	2.03	1.70	0.59	0.59	0.00	0.32
174.00	2.00	1.84	1.94	0.31	0.00	0.00	0.00	2.00	2.01	1.02	0.00	0.00	0.00	0.00
175.00	1.97	1.92	1.44	0.19	0.00	0.00	0.00	2.00	1.75	0.00	0.47	0.13	0.00	0.05
176.00	1.63	1.88	2.14	1.27	0.00	0.00	0.00	2.00	1.97	1.21	0.48	0.72	0.00	0.04
177.00	2.00	1.93	1.61	0.41	0.19	0.00	0.00	2.00	2.00	0.86	0.86	0.91	0.00	0.18
178.00	2.01	1.99	1.81	0.86	0.00	0.00	0.00	2.00	2.01	0.94	0.84	0.44	0.00	0.00
179.00	1.99	1.54	1.39	1.61	0.00	0.00	0.00	1.99	1.38	1.70	0.00	0.00	0.00	0.74
10.1.1.1	1.95	10950.16
10.1.1.2	1.84	21136.42
10.1.1.3	1.43	71847.85
10.1.1.4	0.58	218595.91
10.1.1.5	0.14	658096.56
10.1.1.6	0	0
10.1.1.7	0	0
10.2.1.2	2.04	8.01
10.1.1.9	1.89	16294.15
10.1.1.10	0.86	296301.89
10.1.1.11	0.46	267968.48
10.1.1.12	0.21	413018.71
10.1.1.13	0	0
10.1.1.14	0.05	556688.46
