Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.310s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
2.00	1.11	1.26	1.99	1.65	0.47
3.00	0.93	1.48	2.00	1.33	1.18
4.00	0.69	1.64	2.00	1.70	0.89
5.00	0.91	1.74	2.00	1.58	0.68
6.00	0.99	1.52	2.00	1.66	0.73
7.00	0.69	1.67	2.00	1.84	0.61
8.00	0.97	1.59	1.99	1.51	0.82
9.00	0.79	1.38	2.00	1.64	0.84
10.00	0.89	1.88	2.00	1.33	0.74
11.00	0.74	1.51	2.00	1.46	1.07
12.00	0.89	1.65	2.00	1.55	0.77
13.00	0.61	1.31	2.00	1.64	0.85
14.00	1.04	1.94	1.99	1.73	0.81
15.00	1.04	1.61	2.00	1.48	0.87
16.00	0.65	1.93	2.00	1.83	0.66
17.00	0.92	1.58	2.00	1.77	0.57
18.00	0.82	1.46	2.00	1.70	1.04
19.00	0.58	1.57	2.00	1.55	0.97
20.00	0.86	1.59	1.99	1.55	0.94
21.00	0.82	1.63	2.00	1.61	0.93
22.00	0.73	1.59	2.00	1.77	0.88
23.00	0.79	1.66	2.00	1.61	0.82
24.00	0.84	1.42	2.00	1.57	1.10
25.00	0.66	1.77	2.00	1.77	0.75
26.00	0.92	1.70	1.99	1.46	0.82
27.00	0.75	1.65	2.00	1.84	0.65
28.00	0.91	1.68	2.00	1.51	0.66
29.00	0.87	1.58	2.00	1.59	0.82
30.00	0.89	1.67	2.00	1.61	0.84
31.00	0.80	1.53	2.00	1.64	0.84
32.00	0.72	1.67	1.99	1.74	0.82
33.00	0.89	1.63	2.00	1.60	0.82
34.00	0.91	1.72	2.00	1.54	0.71
35.00	0.92	1.75	2.00	1.50	0.68
36.00	0.69	1.79	2.00	2.50	0.02
37.00	0.81	1.63	2.00	1.45	0.98
38.00	0.77	1.63	1.99	1.65	0.80
39.00	0.78	1.72	2.00	1.54	0.78
40.00	0.81	1.60	2.00	1.46	0.92
41.00	0.77	1.54	2.00	1.73	0.85
42.00	0.81	1.51	2.00	1.48	0.97
43.00	0.89	1.53	2.00	1.53	0.88
44.00	0.91	1.67	1.99	1.57	0.75
45.00	0.84	1.65	2.00	1.44	0.80
46.00	0.95	1.53	2.00	1.65	0.77
47.00	0.85	1.61	2.00	1.47	0.89
48.00	0.89	1.66	2.00	1.46	0.82
49.00	0.66	1.39	2.00	1.78	0.89
50.00	0.98	1.72	2.00	1.61	0.84
51.00	0.80	1.77	1.99	1.55	0.82
52.00	0.75	1.65	2.00	1.64	0.88
