Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.215s)
CreateVariables () DONE !!!
Creating 8 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7
80.00	2.00	1.99	2.00	0.00	2.00	1.99	2.00	2.00
81.00	1.99	2.00	2.00	0.00	1.99	1.99	2.00	2.00
82.00	2.00	2.00	1.98	0.00	2.00	2.00	2.00	2.00
83.00	2.00	2.00	1.98	0.00	2.00	1.99	2.00	2.00
84.00	2.00	2.00	1.97	0.00	2.00	2.00	2.00	1.98
85.00	2.00	2.00	1.97	0.00	2.00	1.98	1.99	2.00
86.00	2.00	1.99	1.98	0.00	2.00	2.00	2.00	2.00
87.00	1.99	2.00	1.95	0.00	1.99	2.00	2.00	2.00
88.00	2.00	2.00	1.99	0.00	2.00	1.99	2.00	2.00
89.00	2.00	2.00	1.94	0.00	2.00	2.00	2.00	2.00
90.00	2.00	2.00	1.97	0.00	2.00	2.00	2.00	1.99
91.00	2.00	1.99	1.98	0.00	2.00	2.00	1.99	2.00
92.00	2.00	1.99	1.98	0.00	2.00	2.00	2.00	2.00
93.00	1.99	2.00	1.98	0.00	1.99	1.99	2.00	1.99
94.00	2.00	2.00	1.98	0.00	2.00	1.99	2.00	2.00
95.00	1.99	2.00	1.99	0.00	2.00	2.00	2.00	2.00
96.00	2.00	2.00	1.97	0.00	2.00	2.00	2.00	1.99
97.00	2.00	2.00	1.94	0.00	2.00	1.99	1.99	2.00
98.00	2.00	1.99	1.98	0.00	2.00	1.99	2.00	2.00
99.00	1.99	2.00	1.99	0.00	2.00	2.00	2.00	2.00
100.00	2.00	2.00	2.00	0.00	1.99	2.00	2.00	2.00
101.00	2.00	2.00	1.98	0.00	2.00	1.99	2.00	1.98
102.00	2.00	2.00	1.95	0.00	2.00	2.00	1.99	1.99
103.00	2.00	2.00	1.97	0.00	2.00	2.00	2.00	2.00
104.00	1.99	1.99	1.97	0.00	2.00	2.00	2.01	1.99
105.00	2.00	2.00	2.00	0.00	2.00	1.99	1.99	2.00
106.00	1.99	2.00	1.98	0.00	1.99	2.00	2.00	2.00
107.00	2.00	2.00	1.94	0.65	2.00	2.00	1.99	2.00
108.00	2.00	1.98	1.99	1.99	2.00	1.99	2.01	1.98
109.00	2.00	1.99	1.99	2.00	2.00	1.99	2.00	2.00
110.00	1.97	1.90	1.84	1.22	2.00	1.97	1.87	1.21
111.00	1.41	1.86	1.75	0.13	2.00	1.91	1.59	0.14
112.00	1.90	1.83	1.41	0.00	1.99	1.52	1.11	0.00
113.00	1.75	1.72	1.48	0.00	2.00	1.70	1.51	0.00
114.00	2.00	1.99	1.99	0.00	2.00	2.00	1.86	0.49
115.00	2.00	1.99	2.00	0.00	2.00	1.99	2.00	0.00
116.00	2.00	0.92	1.14	0.40	2.00	1.26	1.02	0.40
117.00	2.00	2.31	1.81	0.05	2.00	1.93	1.94	0.06
118.00	1.99	2.00	2.00	0.00	1.99	2.00	2.00	0.00
119.00	2.00	1.97	1.79	0.25	2.00	2.00	1.94	0.25
120.00	1.50	1.60	1.35	0.31	2.00	1.52	1.48	0.31
121.00	1.92	1.74	1.71	0.52	2.00	1.79	1.79	0.58
122.00	1.92	1.68	1.84	0.74	2.00	1.78	1.04	0.74
123.00	2.00	2.01	1.95	0.79	2.00	1.98	1.92	0.77
124.00	2.00	1.99	1.92	0.01	1.99	2.01	2.00	0.00
125.00	1.99	1.99	1.86	0.20	2.00	1.99	1.99	0.19
126.00	2.00	2.00	2.00	0.00	2.00	2.01	2.00	1.21
127.00	2.00	2.00	2.00	0.00	2.00	2.00	2.00	0.00
128.00	2.00	1.85	0.98	0.19	2.00	2.00	1.74	0.44
129.00	1.99	2.01	0.15	0.52	2.00	1.97	2.03	0.47
130.00	2.00	1.79	1.63	0.48	1.99	1.60	1.75	0.48
131.00	2.00	2.06	1.37	0.48	2.00	2.08	0.40	0.51
132.00	2.00	2.00	2.00	0.00	2.00	2.01	2.01	0.00
133.00	2.00	2.00	1.90	0.24	2.00	1.99	1.75	0.24
134.00	1.98	1.90	1.63	0.85	2.00	1.99	1.85	0.86
135.00	2.01	1.95	1.86	0.24	2.00	2.01	1.85	0.27
136.00	1.99	1.77	1.44	0.00	1.99	1.50	1.51	0.00
137.00	1.75	1.97	2.16	0.00	2.00	2.21	1.79	0.31
138.00	2.20	1.77	0.25	0.00	2.00	1.72	0.35	0.21
139.00	2.01	1.91	1.94	0.00	2.00	2.06	2.48	1.28
140.00	2.00	1.93	1.26	0.00	2.00	2.01	1.47	1.18
141.00	2.00	1.99	1.10	0.00	2.00	1.99	1.12	0.21
142.00	1.99	2.00	1.97	0.00	2.00	2.00	1.87	0.61
143.00	1.93	1.83	1.25	0.00	1.99	1.60	1.08	0.00
144.00	2.00	1.98	1.18	0.00	2.00	2.00	1.44	0.00
145.00	2.00	2.00	1.94	0.00	2.00	2.00	1.98	0.00
146.00	2.00	1.99	2.00	0.39	2.00	1.99	2.01	0.39
147.00	2.00	1.99	1.44	0.52	2.00	2.00	1.77	0.55
148.00	1.98	2.00	1.93	0.00	2.00	1.87	2.00	0.00
149.00	2.00	1.94	1.55	0.00	1.99	2.00	1.77	0.00
150.00	2.00	2.00	1.91	0.24	2.00	1.99	1.97	0.26
151.00	1.93	1.78	1.19	0.07	2.00	1.58	1.37	0.09
152.00	1.92	1.07	1.34	0.29	2.00	1.28	0.92	0.21
153.00	2.01	1.59	1.59	0.00	2.00	1.93	1.15	0.00
154.00	1.99	2.00	1.99	0.00	2.00	1.99	1.97	0.04
155.00	1.98	1.71	1.71	0.00	1.99	2.00	1.61	0.54
156.00	2.00	1.94	1.95	0.00	2.00	2.00	1.91	0.00
157.00	2.00	1.79	1.52	0.05	2.00	1.90	1.32	0.06
158.00	2.00	1.91	1.88	0.35	2.00	2.00	1.85	0.39
159.00	1.98	1.98	1.97	0.25	2.00	1.99	1.98	0.57
160.00	1.99	1.78	1.64	0.27	2.00	1.86	1.39	0.05
161.00	1.99	1.92	1.93	0.52	1.99	1.93	1.75	0.41
162.00	2.00	2.00	1.99	0.00	2.00	2.00	1.88	0.01
163.00	2.00	2.00	2.00	0.00	2.00	2.00	2.01	0.00
164.00	2.00	2.00	0.29	0.44	2.00	2.00	1.99	0.45
165.00	1.99	1.80	0.59	0.15	2.00	1.99	1.60	0.15
166.00	2.00	1.97	1.05	0.00	2.00	1.99	1.80	0.00
167.00	1.99	1.92	1.74	0.00	1.99	2.00	1.68	0.00
168.00	1.87	1.81	0.97	0.00	2.00	2.00	1.75	0.00
169.00	1.94	1.87	1.85	0.00	2.00	1.44	1.87	0.00
170.00	2.01	1.39	1.65	0.15	2.00	1.33	1.14	0.51
171.00	2.00	1.41	1.41	0.61	2.00	2.00	1.07	0.42
172.00	2.01	1.99	1.95	0.00	2.00	2.01	2.13	0.00
173.00	1.98	1.99	1.99	0.32	1.99	1.99	1.95	0.32
174.00	2.00	1.88	1.80	0.48	2.00	1.95	1.85	0.48
175.00	2.00	2.01	2.00	0.00	2.00	2.00	2.00	0.00
176.00	1.98	1.90	1.93	0.06	2.00	2.00	1.95	0.08
177.00	2.01	2.00	2.01	0.15	2.00	1.99	1.79	0.16
178.00	1.98	1.91	1.64	0.00	2.00	1.59	1.53	0.00
179.00	1.11	1.10	0.89	0.02	1.99	1.52	0.72	0.32
10.1.1.1	1.98	5819.64
10.1.1.2	1.94	10922.73
10.1.1.3	1.78	27869.33
10.1.1.4	0.10	309871.98
10.2.1.2	2.04	8.02
10.1.1.6	1.95	11907.62
10.1.1.7	1.81	22120.37
10.1.1.8	1.18	50882.82
