Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.283s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
143.00	2.00	2.00	1.99	1.99
144.00	2.01	2.00	2.00	1.99
145.00	1.98	1.99	2.00	2.00
146.00	2.00	2.01	2.00	2.00
147.00	1.99	1.99	2.00	2.00
148.00	2.00	2.00	2.00	2.00
149.00	1.99	1.98	1.99	1.99
150.00	2.01	2.01	2.00	2.00
151.00	2.00	2.00	2.00	1.99
152.00	1.99	1.99	2.00	2.00
153.00	2.00	2.00	2.00	2.00
154.00	1.99	2.00	2.00	2.00
155.00	1.98	1.99	1.99	2.00
156.00	2.01	2.00	2.00	1.99
157.00	1.99	2.00	2.00	2.00
158.00	1.99	2.00	2.00	2.00
159.00	2.00	2.00	2.00	2.00
160.00	2.00	2.00	2.00	2.00
161.00	1.98	1.99	1.99	2.00
162.00	2.00	2.00	2.00	1.99
163.00	2.00	1.99	2.00	2.00
164.00	1.97	2.00	2.00	2.00
165.00	2.01	2.01	2.00	2.00
166.00	1.99	2.00	2.00	2.00
167.00	1.99	1.99	1.99	2.00
168.00	2.01	2.00	2.00	1.99
169.00	1.98	2.00	2.00	2.01
170.00	1.97	1.99	2.00	2.00
171.00	2.00	2.00	2.00	1.99
172.00	2.01	2.01	2.00	2.00
173.00	1.97	1.99	1.99	2.00
174.00	2.00	2.00	2.00	2.00
175.00	2.00	2.00	2.00	2.00
176.00	1.99	2.00	2.00	1.99
177.00	2.00	2.00	2.00	2.00
178.00	2.00	1.99	2.00	2.00
179.00	1.98	2.00	1.99	1.99
10.1.1.1	2.02	19394.71
10.1.1.2	2.02	8293.99
10.2.1.2	2.04	8.05
10.1.1.4	2.03	9175.53
