Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.136s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.97	1.99	1.95
3.00	2.00	2.00	2.00
4.00	2.00	2.00	2.00
5.00	1.99	2.00	2.00
6.00	2.00	2.00	2.00
7.00	2.00	2.00	1.99
8.00	2.00	1.99	2.00
9.00	1.99	2.00	2.01
10.00	2.00	2.00	2.00
11.00	2.00	2.00	1.99
12.00	2.00	2.00	2.00
13.00	2.00	2.00	1.99
14.00	1.99	1.99	2.01
15.00	2.01	2.00	1.99
16.00	1.99	2.00	2.01
17.00	2.00	2.00	1.99
18.00	2.00	2.00	2.00
19.00	1.99	2.00	2.00
20.00	2.01	1.99	1.99
21.00	1.99	2.00	2.00
22.00	2.00	2.00	2.00
23.00	2.00	2.00	2.00
24.00	2.00	2.00	1.99
25.00	2.00	2.00	2.01
26.00	2.00	1.99	1.99
27.00	2.00	2.00	2.00
28.00	1.99	2.00	2.01
29.00	1.99	2.00	1.99
30.00	2.00	2.00	2.00
31.00	1.99	2.00	2.00
32.00	2.00	1.99	2.00
33.00	2.00	2.00	1.99
34.00	2.00	2.00	2.00
35.00	1.99	2.00	1.99
36.00	2.00	2.00	2.00
37.00	1.99	2.00	2.00
38.00	2.01	1.99	1.99
39.00	1.99	2.00	2.01
40.00	2.01	2.00	1.99
41.00	1.99	2.00	2.00
42.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00
44.00	2.00	1.99	2.00
45.00	2.00	2.00	1.99
46.00	2.00	2.00	2.00
47.00	1.98	2.00	2.00
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	2.00	2.00	2.00
51.00	2.00	1.99	1.99
52.00	1.99	2.00	2.00
53.00	2.00	2.00	2.00
54.00	2.00	2.00	2.00
55.00	2.00	2.00	1.99
56.00	2.00	2.00	2.00
57.00	1.99	1.99	2.01
58.00	2.01	2.00	1.99
59.00	1.99	2.00	2.00
60.00	2.00	2.00	2.00
