Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.340s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	0.00	1.99	1.90	2.00	2.00	0.00	2.00	1.86	1.99
73.00	0.00	1.99	1.86	2.00	2.00	0.00	1.99	1.90	2.00
74.00	0.00	2.00	1.91	2.00	2.00	0.00	2.00	1.90	2.00
75.00	0.00	1.99	1.84	1.99	1.99	0.00	2.00	1.95	1.99
76.00	0.00	2.00	1.92	2.00	2.00	0.00	2.00	1.93	2.00
77.00	0.00	2.00	1.85	2.00	2.00	0.00	2.00	1.92	2.00
78.00	0.00	1.99	1.86	2.00	2.00	0.00	2.00	1.94	1.99
79.00	0.00	1.99	1.90	2.00	2.00	0.00	2.00	1.92	1.99
80.00	0.00	2.00	1.88	2.00	2.00	0.00	2.00	1.97	2.00
81.00	0.00	2.00	1.86	1.99	1.99	0.00	1.99	1.93	2.00
82.00	0.00	2.00	1.90	2.00	2.00	0.00	2.00	1.91	2.00
83.00	0.00	2.00	1.90	2.00	2.00	0.00	2.00	1.95	1.99
84.00	0.00	2.00	1.87	2.00	2.00	0.00	2.00	1.90	1.99
85.00	0.00	1.99	1.83	2.00	2.00	0.00	2.00	1.94	1.99
86.00	0.00	1.99	1.85	2.00	2.00	0.00	1.99	1.87	2.00
87.00	0.00	2.00	1.85	1.99	1.99	0.00	2.00	1.94	2.00
88.00	0.00	2.00	1.85	2.00	2.00	0.00	2.00	1.90	2.00
89.00	0.00	2.00	1.86	2.00	2.00	0.00	2.00	1.88	2.00
90.00	0.00	1.99	1.85	2.00	2.00	0.00	2.00	1.88	1.98
91.00	0.00	2.00	1.90	2.00	2.00	0.00	2.00	1.91	2.00
92.00	0.00	1.99	1.85	2.00	2.00	0.00	2.00	1.93	2.00
93.00	0.00	1.99	1.85	1.99	1.99	0.00	1.99	1.94	2.00
94.00	0.00	2.00	1.87	2.00	2.00	0.00	2.00	1.93	2.00
