Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.271s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
120.00	2.00	2.00	2.00	2.01	2.00
121.00	1.99	2.00	2.00	1.99	2.00
122.00	1.98	1.99	2.00	2.00	1.98
123.00	2.00	1.99	2.00	2.00	2.00
124.00	2.00	2.01	1.99	2.00	1.99
125.00	2.00	2.00	2.00	1.99	2.00
126.00	2.00	2.00	2.00	2.01	2.00
127.00	1.99	2.00	2.00	1.99	2.00
128.00	1.84	1.84	2.00	2.00	2.00
129.00	2.00	2.00	2.00	2.00	2.00
130.00	2.01	2.00	1.99	2.00	1.99
131.00	1.99	2.00	2.00	2.00	1.99
132.00	1.99	2.00	2.00	2.00	2.00
133.00	2.00	1.99	2.00	1.99	2.00
134.00	1.99	2.01	2.00	2.00	2.00
135.00	1.99	1.99	2.00	2.00	2.00
136.00	2.01	2.00	1.99	2.00	2.00
137.00	1.97	1.99	2.00	2.00	1.99
138.00	2.00	2.00	2.00	1.99	2.00
139.00	2.00	2.00	2.00	2.00	2.00
140.00	1.99	1.99	2.00	2.00	2.00
141.00	2.00	2.00	2.00	2.00	2.00
142.00	1.99	1.98	2.00	2.00	1.99
143.00	2.01	2.00	1.99	2.00	1.98
144.00	1.99	2.00	2.00	1.99	2.00
145.00	2.00	2.00	2.00	2.00	2.00
146.00	1.98	2.00	2.00	2.00	1.99
147.00	2.00	2.00	2.00	2.00	2.00
148.00	2.00	1.99	2.00	2.00	1.99
149.00	2.00	2.00	1.99	2.00	1.98
150.00	2.00	2.00	2.00	2.00	2.00
151.00	1.98	2.00	2.00	1.99	2.00
152.00	1.99	2.00	2.00	1.99	1.99
153.00	2.00	2.00	2.00	2.00	2.00
154.00	2.00	1.99	2.00	2.00	1.99
155.00	1.98	1.99	1.99	2.00	2.00
156.00	2.00	2.01	2.00	2.00	1.99
157.00	1.99	1.99	2.00	1.99	2.00
158.00	1.74	1.75	2.00	1.93	1.92
159.00	2.00	2.01	2.00	2.07	2.08
160.00	2.00	2.00	2.00	2.00	1.99
161.00	2.00	1.98	1.99	2.00	1.98
162.00	2.01	2.01	2.00	1.99	2.00
163.00	1.98	2.00	2.00	2.00	2.00
164.00	1.98	1.98	2.00	2.01	1.98
165.00	2.01	2.00	2.00	1.99	2.01
166.00	2.00	2.00	2.00	2.00	1.99
167.00	1.97	2.00	1.99	1.99	2.00
168.00	2.00	2.00	2.00	1.99	2.00
169.00	2.00	2.00	2.00	2.00	2.00
170.00	1.98	2.00	2.00	2.00	1.99
171.00	2.00	2.00	2.00	2.00	2.00
172.00	1.99	2.00	2.00	2.00	2.00
173.00	1.73	1.84	1.99	0.67	0.04
174.00	1.51	1.59	2.00	2.67	2.17
175.00	2.00	2.00	2.00	2.12	2.13
176.00	2.00	2.00	2.00	2.00	1.99
177.00	2.00	2.00	2.00	1.99	2.00
178.00	1.99	1.99	2.00	2.00	1.99
179.00	2.00	2.00	1.99	2.00	1.99
10.1.1.1	2.01	8417.32
10.1.1.2	2.01	6200.82
10.2.1.2	2.04	8.20
10.1.1.4	2.02	6850.80
10.1.1.5	2.01	8361.59
