Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.515s)
CreateVariables () DONE !!!
Creating 16 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
43.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
44.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	0.00	0.00	0.00	0.00	0.00
45.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
46.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
47.00	0.00	2.00	1.93	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	0.00	0.00	0.00	0.00	0.00
48.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00
49.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.95	0.00	0.00	0.00	0.00	0.00
50.00	0.00	1.99	2.00	0.00	0.00	0.00	0.00	0.00	2.00	1.99	1.97	0.00	0.00	0.00	0.00	0.00
51.00	0.00	2.00	1.92	0.00	0.00	0.00	0.00	0.00	1.99	2.00	1.98	0.00	0.00	0.00	0.00	0.00
52.00	0.00	1.95	1.75	0.00	0.00	0.00	0.00	0.00	2.00	1.94	1.86	0.00	0.00	0.04	0.00	0.00
53.00	0.00	1.86	2.17	0.00	0.00	0.00	0.00	0.00	2.00	1.87	1.84	0.00	0.00	0.02	0.00	0.00
54.00	0.00	1.99	1.88	0.00	0.00	0.00	0.00	0.00	2.00	1.99	1.65	0.00	0.00	0.00	0.00	0.00
55.00	0.00	1.83	1.85	0.00	0.00	0.00	0.00	0.00	2.00	1.71	1.54	0.00	0.00	0.00	0.00	0.00
56.00	0.00	1.99	1.93	0.00	0.00	0.00	0.00	0.00	2.00	1.94	1.77	0.00	0.00	0.00	0.00	0.00
57.00	0.00	1.99	1.83	0.00	0.00	0.00	0.00	0.00	1.99	1.92	1.85	0.00	0.00	0.00	0.00	0.00
58.00	0.00	2.01	2.01	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.90	0.00	0.00	0.00	0.00	0.00
59.00	0.00	1.44	1.40	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.39	0.00	0.00	0.00	0.00	0.00
60.00	0.00	1.54	1.31	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.61	0.00	0.00	0.00	0.00	0.00
61.00	0.00	1.93	1.92	0.00	0.00	0.00	0.00	0.00	2.00	1.93	1.88	0.00	0.00	0.00	0.00	0.00
62.00	0.00	1.93	1.86	0.00	0.00	0.00	0.00	0.00	2.00	2.01	2.01	0.00	0.00	0.00	0.00	0.00
63.00	0.00	1.99	1.87	0.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	0.00	0.00	0.00	0.00	0.00
64.00	0.00	2.00	1.91	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
65.00	0.00	1.99	1.54	0.00	0.00	0.00	0.00	0.00	2.00	1.87	1.77	0.00	0.00	0.00	0.00	0.00
66.00	0.00	1.98	1.48	0.00	0.00	0.00	0.00	0.00	2.00	2.01	1.79	0.00	0.00	0.93	0.00	0.00
67.00	0.00	1.99	1.78	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.72	0.00	0.00	0.31	0.00	0.00
68.00	0.00	1.92	1.86	0.00	0.00	0.00	0.00	0.00	2.00	1.95	1.92	0.00	0.00	0.00	0.00	0.00
69.00	0.00	2.05	1.94	0.00	0.00	0.00	0.00	0.00	1.99	2.00	1.84	0.00	0.00	0.00	0.00	0.00
70.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
71.00	0.00	2.00	1.99	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.84	0.00	0.00	0.00	0.00	0.00
72.00	0.00	1.99	1.99	0.00	0.00	0.00	0.00	0.00	2.00	1.99	1.81	0.00	0.00	0.00	0.00	0.00
73.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
74.00	0.00	2.00	1.12	0.00	0.00	0.00	0.00	0.00	2.00	1.91	1.79	0.00	0.00	0.00	0.00	0.00
75.00	0.00	1.90	1.63	0.00	0.00	0.00	0.00	0.00	1.99	1.88	1.77	0.00	0.00	0.00	0.00	0.00
76.00	0.00	1.79	0.81	0.00	0.00	0.00	0.00	0.00	2.00	2.01	1.40	0.00	0.00	0.00	0.00	0.00
77.00	0.00	1.99	1.57	0.00	0.00	0.00	0.00	0.00	2.00	1.99	0.73	0.00	0.00	0.00	0.00	0.00
78.00	0.00	1.94	1.39	0.00	0.00	0.00	0.00	0.00	2.00	2.00	1.88	0.00	0.00	0.80	0.00	0.00
