Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.245s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	0.00	0.00	0.00
3.00	0.00	1.50	0.00
4.00	0.00	2.00	0.00
5.00	0.00	2.00	1.26
6.00	1.48	2.00	2.00
7.00	2.00	2.00	1.99
8.00	1.99	1.99	2.01
9.00	2.01	2.00	1.99
10.00	1.99	2.00	2.00
11.00	2.00	2.00	2.00
12.00	2.00	2.00	2.00
13.00	2.00	2.00	2.00
14.00	2.00	1.99	1.99
15.00	1.99	2.00	2.00
16.00	2.01	2.00	1.99
17.00	1.99	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	2.00	1.99	1.99
21.00	2.00	2.00	2.00
22.00	2.00	2.00	2.00
23.00	1.99	2.00	2.00
24.00	2.00	2.00	2.00
25.00	2.00	2.00	2.00
26.00	1.99	1.99	2.00
27.00	2.01	2.00	1.99
28.00	2.00	2.00	2.00
29.00	1.99	2.00	2.00
30.00	2.00	2.00	2.00
31.00	1.99	2.00	2.00
32.00	2.01	1.99	1.99
33.00	2.00	2.00	2.00
34.00	1.99	2.00	2.00
35.00	2.00	2.00	2.00
36.00	2.00	2.00	1.99
37.00	1.99	2.00	2.00
38.00	2.01	1.99	1.99
39.00	2.00	2.00	2.00
40.00	2.00	2.00	2.00
41.00	1.99	2.00	2.00
42.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00
44.00	2.00	1.99	1.99
45.00	1.99	2.00	2.00
46.00	2.00	2.00	2.01
47.00	2.00	2.00	1.99
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	2.00	2.00	2.00
51.00	2.00	1.99	1.99
52.00	1.99	2.00	2.00
53.00	2.00	2.00	2.00
54.00	2.00	2.00	2.00
55.00	1.99	2.00	1.99
56.00	2.00	2.00	2.00
57.00	1.99	1.99	2.01
58.00	2.00	2.00	1.99
59.00	2.00	2.00	2.00
60.00	2.00	2.00	2.00
61.00	2.00	2.00	2.00
62.00	2.00	2.00	2.00
63.00	1.99	1.99	2.00
64.00	2.00	2.00	2.00
65.00	2.00	2.00	1.99
66.00	2.00	2.00	1.99
67.00	2.00	2.00	2.00
68.00	1.99	2.00	2.00
69.00	2.00	1.99	2.00
70.00	2.00	2.00	2.00
71.00	2.00	2.00	1.99
72.00	2.00	2.00	2.00
73.00	2.00	2.00	2.00
74.00	1.99	2.00	2.00
75.00	2.01	1.99	1.99
76.00	1.99	2.00	2.00
77.00	2.00	2.00	2.00
78.00	1.99	2.00	2.00
79.00	2.00	2.00	2.00
80.00	1.99	2.00	2.00
81.00	2.01	1.99	1.98
82.00	1.99	2.00	2.01
83.00	2.01	2.00	1.99
84.00	1.99	2.00	2.00
85.00	2.00	2.00	2.00
86.00	2.00	2.00	2.00
87.00	2.00	1.99	1.99
88.00	1.99	2.00	2.01
89.00	2.00	2.00	1.99
90.00	2.00	2.00	2.00
91.00	2.00	2.00	2.00
92.00	2.00	2.00	2.00
93.00	1.99	1.99	2.00
94.00	2.00	2.00	2.00
95.00	2.00	2.00	1.99
96.00	1.99	2.00	1.99
97.00	2.00	2.00	2.00
98.00	2.00	2.00	2.00
99.00	2.00	2.00	2.00
100.00	1.99	1.99	2.00
101.00	2.00	2.00	2.00
102.00	2.00	2.00	1.99
103.00	2.00	2.00	2.00
104.00	2.00	2.00	2.00
105.00	2.00	2.00	1.98
106.00	1.99	1.99	2.00
107.00	2.00	2.00	2.01
108.00	2.00	2.00	1.99
109.00	2.00	2.00	2.00
110.00	2.00	2.00	2.00
111.00	1.99	2.00	2.00
112.00	2.01	1.99	1.99
113.00	1.99	2.00	2.01
114.00	2.01	2.00	1.99
115.00	1.99	2.00	2.00
116.00	2.00	2.00	2.00
117.00	2.00	2.00	2.00
118.00	2.00	1.99	1.99
119.00	1.99	2.00	2.00
120.00	2.00	2.00	1.99
121.00	2.00	2.00	2.00
122.00	2.00	2.00	2.00
123.00	0.82	2.00	2.00
124.00	0.00	1.99	2.00
125.00	0.00	2.00	2.00
126.00	0.00	2.00	2.00
127.00	0.00	2.00	2.00
128.00	0.00	2.00	1.99
129.00	0.00	2.00	2.00
130.00	0.00	1.99	2.00
131.00	0.00	2.00	2.00
132.00	0.00	2.00	2.00
133.00	0.00	2.00	2.00
134.00	0.00	2.00	1.99
135.00	0.00	2.00	2.00
136.00	0.00	1.99	2.00
