Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.096s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.98	1.99	0.00
3.00	1.99	2.00	1.98
4.00	2.00	2.00	1.99
5.00	2.00	2.00	2.00
6.00	2.00	2.00	2.00
7.00	1.99	2.00	2.00
8.00	2.00	1.99	1.99
9.00	2.00	2.00	2.00
10.00	1.99	2.00	1.99
11.00	2.00	2.00	2.00
12.00	2.00	2.00	2.00
13.00	2.00	2.00	2.00
14.00	2.00	1.99	1.99
15.00	1.99	2.00	2.01
16.00	2.00	2.00	1.99
17.00	2.00	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	2.00	1.99	2.00
21.00	1.99	2.00	2.00
22.00	2.00	2.00	2.00
23.00	2.00	2.00	1.98
24.00	2.00	2.00	2.00
25.00	1.99	2.00	2.00
26.00	2.00	1.99	2.00
27.00	2.01	2.00	1.99
28.00	2.00	2.00	2.00
29.00	1.98	2.00	2.00
30.00	2.00	2.00	2.00
31.00	1.99	2.00	2.00
32.00	2.00	1.99	2.00
33.00	2.00	2.00	2.00
34.00	2.00	2.00	2.00
35.00	2.00	2.00	1.99
36.00	2.00	2.00	2.00
37.00	2.00	2.00	2.00
38.00	2.00	1.99	1.99
39.00	1.99	2.00	2.01
40.00	2.00	2.00	2.00
41.00	2.00	2.00	1.99
42.00	2.00	2.00	2.00
43.00	2.00	2.00	2.00
44.00	1.99	1.99	2.00
45.00	2.01	2.00	1.99
46.00	1.99	2.00	2.00
