Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.627s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.97	1.99	1.94
3.00	1.99	2.00	1.99
4.00	2.00	2.00	2.00
5.00	1.99	2.00	2.00
6.00	2.00	2.00	2.00
7.00	2.00	2.00	2.00
8.00	2.00	1.99	2.00
9.00	1.99	2.00	2.00
10.00	2.00	2.00	2.00
11.00	2.00	2.00	1.99
12.00	2.00	2.00	2.00
13.00	2.00	2.00	2.00
14.00	2.00	1.99	2.00
15.00	1.99	2.00	2.00
16.00	2.00	2.00	1.99
17.00	2.00	2.00	2.00
18.00	2.00	2.00	2.00
19.00	2.00	2.00	2.00
20.00	2.00	1.99	2.00
21.00	1.99	2.00	2.00
22.00	2.00	2.00	1.99
23.00	2.00	2.00	2.00
24.00	2.00	2.00	2.00
25.00	2.00	2.00	2.00
26.00	2.00	1.99	2.00
27.00	1.99	2.00	2.00
28.00	2.00	2.00	1.99
29.00	2.00	2.00	2.00
30.00	2.00	2.00	2.00
31.00	2.00	2.00	2.00
32.00	2.00	1.99	2.00
33.00	2.00	2.00	1.99
34.00	1.99	2.00	2.01
35.00	2.00	2.00	2.00
36.00	2.00	2.00	1.99
37.00	2.00	2.00	2.00
38.00	2.00	1.99	2.00
39.00	1.99	2.00	2.00
40.00	2.00	2.00	2.00
41.00	2.00	2.00	2.00
42.00	2.00	2.00	1.99
43.00	2.00	2.00	2.00
44.00	2.00	1.99	2.00
45.00	2.00	2.00	2.00
46.00	1.99	2.00	2.00
47.00	2.00	2.00	1.99
48.00	2.00	2.00	2.00
49.00	2.00	2.00	2.00
50.00	2.00	2.00	2.00
51.00	2.00	1.99	2.00
52.00	1.99	2.00	1.99
53.00	2.00	2.00	2.01
54.00	2.00	2.00	1.99
55.00	2.00	2.00	2.00
56.00	2.00	2.00	2.00
57.00	2.00	1.99	2.00
58.00	1.99	2.00	2.00
59.00	2.00	2.00	2.00
60.00	2.00	2.00	1.99
61.00	2.00	2.00	2.00
62.00	2.00	2.00	2.00
63.00	2.00	1.99	2.00
64.00	1.99	2.00	1.99
65.00	2.00	2.00	2.01
66.00	2.00	2.00	1.99
67.00	2.00	2.00	2.00
68.00	2.00	2.00	2.00
69.00	2.00	1.99	2.00
70.00	1.99	2.00	1.99
71.00	2.00	2.00	2.01
72.00	2.00	2.00	1.99
73.00	2.00	2.00	2.00
74.00	2.00	2.00	2.00
75.00	2.00	1.99	2.00
76.00	1.99	2.00	2.00
77.00	2.00	2.00	2.00
78.00	2.00	2.00	1.99
79.00	2.00	2.00	2.00
80.00	2.00	2.00	2.00
81.00	2.00	1.99	2.00
82.00	2.00	2.00	1.99
83.00	1.99	2.00	2.00
84.00	2.00	2.00	2.01
85.00	2.00	2.00	1.99
86.00	2.00	2.00	2.00
87.00	2.00	1.99	2.00
88.00	2.00	2.00	2.00
89.00	1.99	2.00	2.00
90.00	2.00	2.00	2.00
91.00	2.00	2.00	1.99
92.00	2.00	2.00	2.00
93.00	2.00	1.99	2.00
94.00	2.00	2.00	2.00
95.00	1.99	2.00	2.00
96.00	2.00	2.00	2.00
97.00	2.00	2.00	1.99
98.00	2.00	2.00	2.00
99.00	2.00	2.00	2.00
100.00	2.00	1.99	2.00
101.00	1.99	2.00	1.99
102.00	2.00	2.00	2.01
103.00	2.00	2.00	1.99
104.00	2.00	2.00	2.00
105.00	2.00	2.00	2.00
106.00	2.00	1.99	2.00
107.00	1.99	2.00	1.99
108.00	2.00	2.00	2.00
109.00	2.00	2.00	2.00
110.00	2.00	2.00	2.00
