Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.297s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	2.00	1.93	1.98	2.00	2.00	2.00	1.99	1.90	1.99
73.00	2.00	1.97	1.99	2.00	2.00	2.00	1.98	1.94	2.00
74.00	1.98	1.97	1.99	1.99	2.00	1.99	1.97	1.95	2.00
75.00	2.00	1.97	2.00	1.99	1.99	2.00	1.99	1.91	2.00
76.00	2.00	1.95	2.00	2.00	2.00	1.99	1.98	1.98	2.00
77.00	1.99	1.94	1.98	2.00	2.00	2.00	2.00	1.94	2.00
78.00	1.99	1.95	2.00	2.00	2.00	1.98	1.95	1.93	1.99
79.00	2.00	1.94	1.98	2.00	2.00	1.99	1.98	1.94	2.00
80.00	1.98	1.99	2.00	2.00	2.00	1.98	1.99	1.95	1.99
81.00	2.00	1.97	1.99	1.99	1.99	1.97	1.98	1.93	2.00
82.00	2.00	1.95	1.99	2.00	2.00	2.00	2.00	1.97	2.00
83.00	1.98	1.94	1.98	2.00	2.00	1.99	2.00	1.98	1.98
84.00	2.00	1.97	2.00	2.00	2.00	2.00	1.99	1.94	1.99
85.00	2.00	1.94	2.00	2.00	2.00	1.98	2.00	1.97	2.00
86.00	2.00	1.95	1.99	2.00	2.00	2.00	1.99	1.94	2.00
87.00	2.00	1.95	2.00	1.99	1.99	1.99	1.98	1.97	2.00
88.00	2.00	1.94	1.99	2.00	2.00	2.00	1.99	1.92	2.00
89.00	1.98	1.92	1.99	2.00	2.00	2.00	1.95	1.92	1.99
90.00	2.00	1.94	2.00	2.00	2.00	2.00	1.98	1.97	1.99
91.00	2.00	1.95	2.00	2.00	2.00	1.98	2.00	1.95	1.99
92.00	1.98	1.95	1.99	1.99	2.00	1.99	2.00	1.94	1.98
93.00	2.00	1.99	1.99	1.99	1.99	1.99	1.99	1.97	2.00
94.00	1.99	1.93	2.00	2.00	2.00	2.00	1.97	1.97	2.00
95.00	1.99	1.95	2.00	1.99	2.00	1.99	2.00	1.95	1.98
96.00	1.99	1.94	1.99	2.00	2.00	2.00	2.00	1.97	2.00
97.00	2.00	1.98	1.99	2.00	2.00	2.00	1.99	1.93	1.99
98.00	1.99	1.94	1.99	2.00	2.00	1.99	2.00	1.93	1.99
99.00	2.00	1.97	1.99	1.99	2.00	2.00	1.99	1.92	2.00
100.00	1.99	1.95	1.99	2.00	1.99	2.00	1.99	1.95	2.00
101.00	1.99	1.95	1.99	2.00	2.00	2.00	2.00	1.97	1.99
102.00	1.99	1.95	1.99	2.00	2.00	1.99	2.00	1.99	2.00
103.00	2.00	1.91	1.97	2.00	2.00	2.00	1.99	1.97	1.98
104.00	1.99	1.93	1.97	2.00	2.00	2.00	2.00	1.95	2.00
105.00	1.99	1.95	2.00	2.00	2.00	1.99	1.99	1.95	2.00
106.00	1.99	1.97	1.99	1.99	1.99	2.00	1.99	1.95	2.00
107.00	1.98	1.95	2.00	2.00	2.00	1.98	2.00	1.98	2.00
108.00	1.99	1.95	1.99	2.00	2.00	1.99	1.98	1.93	1.99
109.00	2.00	1.94	1.99	2.00	2.00	1.99	2.00	1.95	2.00
110.00	1.99	1.94	1.98	2.00	2.00	2.00	1.99	1.94	1.99
111.00	2.00	1.93	1.99	2.00	2.00	2.00	2.00	1.94	2.00
