Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.687s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
2.00	0.79	1.54	1.98	1.58
3.00	0.35	1.98	2.00	1.86
4.00	0.74	1.58	2.00	1.81
5.00	0.52	1.59	2.00	1.71
6.00	0.69	2.00	2.00	2.07
7.00	0.22	1.99	2.00	1.94
8.00	0.54	1.94	1.99	2.11
9.00	0.57	1.88	2.00	2.26
10.00	0.32	1.91	2.00	1.71
11.00	0.15	2.06	2.00	1.14
12.00	0.15	2.01	2.00	2.52
13.00	0.37	2.01	2.00	2.04
14.00	0.65	1.85	1.99	1.90
15.00	0.61	1.85	2.00	2.05
16.00	0.48	1.75	2.00	2.05
17.00	0.32	2.03	2.00	1.98
18.00	0.26	2.19	2.00	2.21
19.00	0.00	2.18	2.00	1.92
20.00	0.92	1.59	1.99	1.78
21.00	0.39	1.42	2.00	2.14
22.00	0.21	2.58	2.00	2.08
23.00	0.37	1.97	2.00	2.06
24.00	0.58	1.65	2.00	2.00
25.00	0.15	1.45	2.00	1.97
26.00	0.32	2.32	1.99	2.20
27.00	0.00	2.23	2.00	2.19
28.00	0.57	1.66	2.00	1.64
29.00	0.00	2.52	2.00	2.30
30.00	1.27	1.33	2.00	2.07
31.00	0.52	1.79	2.00	1.87
32.00	0.28	2.00	1.99	2.14
33.00	0.40	2.14	2.00	1.85
34.00	0.44	1.11	2.00	2.16
35.00	0.46	2.74	2.00	1.92
36.00	0.66	1.86	2.00	1.86
37.00	0.48	1.83	2.00	2.13
38.00	0.66	1.91	1.99	1.73
39.00	0.54	1.84	2.00	2.07
40.00	0.35	1.72	2.00	1.84
41.00	0.59	1.97	2.00	1.74
42.00	0.38	1.99	2.00	2.00
43.00	0.40	1.98	2.00	2.00
44.00	0.42	1.94	1.99	2.28
45.00	0.22	1.90	2.00	1.93
46.00	0.46	2.03	2.00	1.73
47.00	0.64	2.01	2.00	2.11
48.00	0.16	2.19	2.00	2.05
49.00	0.74	1.41	2.00	2.06
50.00	0.35	1.71	2.00	1.98
51.00	0.57	1.88	1.99	1.94
52.00	0.24	2.11	2.00	1.91
53.00	0.00	2.32	2.00	1.53
54.00	0.91	1.61	2.00	1.84
55.00	0.00	2.23	2.00	2.16
56.00	0.58	1.47	2.00	2.03
57.00	0.31	2.01	1.99	1.75
58.00	0.52	1.59	2.00	1.99
59.00	0.38	1.93	2.00	2.08
60.00	0.55	1.90	2.00	1.81
61.00	0.21	1.97	2.00	1.97
62.00	0.29	1.94	2.00	1.68
63.00	0.26	2.08	1.99	2.37
64.00	0.34	1.97	2.00	1.78
65.00	0.33	2.01	2.00	2.12
66.00	0.42	1.85	2.00	1.98
67.00	0.47	2.00	2.00	2.30
68.00	0.48	1.98	2.00	1.94
69.00	0.19	2.45	1.99	2.14
70.00	0.85	1.52	2.00	1.71
71.00	0.40	1.97	2.00	2.28
72.00	0.08	2.06	2.00	2.04
73.00	0.46	1.55	2.00	2.01
74.00	0.55	1.88	2.00	1.54
75.00	0.49	1.95	1.99	1.70
76.00	0.38	1.81	2.00	1.95
77.00	0.31	2.06	2.00	2.01
78.00	0.32	1.72	2.00	1.85
79.00	0.52	1.73	2.00	1.47
80.00	0.27	1.72	2.00	1.88
81.00	0.45	1.98	1.99	2.19
82.00	0.58	1.79	2.00	1.59
83.00	0.24	2.20	2.00	2.27
84.00	0.53	1.83	2.00	1.94
85.00	0.35	1.97	2.00	2.19
86.00	0.52	1.61	2.00	2.06
87.00	0.29	2.10	1.99	2.21
88.00	0.21	2.19	2.00	1.80
89.00	0.00	2.31	2.00	2.08
90.00	0.94	1.52	2.00	1.93
91.00	0.39	1.63	2.00	2.08
92.00	0.27	1.86	2.00	1.92
93.00	0.22	2.23	1.99	2.11
94.00	0.73	1.68	2.00	2.14
95.00	0.21	1.99	2.00	1.90
96.00	0.69	1.71	2.00	2.14
97.00	0.22	2.10	2.00	2.01
98.00	0.53	1.91	2.00	1.90
99.00	0.44	1.73	2.00	2.06
100.00	0.41	2.12	1.99	1.79
101.00	0.62	1.58	2.00	1.59
102.00	0.52	1.72	2.00	2.60
103.00	0.18	2.10	2.00	1.93
104.00	0.19	1.95	2.00	2.04
105.00	0.15	1.90	2.00	1.98
106.00	0.42	1.88	1.99	1.88
107.00	0.29	1.87	2.00	1.88
108.00	0.66	1.71	2.00	2.24
109.00	0.25	2.03	2.00	1.64
110.00	0.60	1.86	2.00	1.87
111.00	0.44	1.92	2.00	1.98
112.00	0.49	1.74	1.99	2.06
113.00	0.35	2.12	2.00	1.90
114.00	0.57	1.61	2.00	2.12
115.00	0.05	2.32	2.00	1.86
116.00	0.72	1.70	2.00	2.21
117.00	0.26	1.92	2.00	2.26
118.00	0.26	2.10	1.99	2.16
119.00	0.52	1.99	2.00	2.01
120.00	0.52	1.98	2.00	2.00
121.00	0.42	2.13	2.00	1.91
122.00	0.00	2.51	2.00	2.07
123.00	0.00	2.12	2.00	2.01
124.00	0.00	1.99	1.99	2.01
125.00	0.00	2.01	2.00	1.98
126.00	0.00	1.99	2.00	2.00
127.00	0.00	2.00	2.00	2.00
128.00	0.00	2.00	2.00	2.00
129.00	0.00	1.99	2.00	2.00
130.00	0.00	2.01	1.99	1.99
131.00	0.00	2.00	2.00	2.00
132.00	0.00	2.00	2.00	2.00
133.00	0.00	1.99	2.00	1.99
134.00	0.00	1.99	2.00	2.01
135.00	0.00	2.00	2.00	2.00
136.00	0.00	1.99	1.99	2.00
137.00	0.00	2.01	2.00	1.98
138.00	0.00	1.99	2.00	2.00
139.00	0.00	2.00	2.00	2.00
140.00	0.00	2.00	2.00	2.00
141.00	0.00	2.00	2.00	2.00
142.00	0.00	2.00	2.00	1.99
143.00	0.00	1.99	1.99	2.00
144.00	0.00	1.99	2.00	2.00
145.00	0.00	2.00	2.00	2.00
146.00	0.00	2.00	2.00	2.00
147.00	0.00	2.00	2.00	2.00
148.00	0.00	2.00	2.00	2.00
149.00	0.00	2.00	1.99	1.99
150.00	0.00	2.00	2.00	2.00
151.00	0.00	1.99	2.00	2.00
152.00	0.00	2.00	2.00	2.00
153.00	0.00	2.00	2.00	2.00
154.00	0.00	2.00	2.00	1.99
155.00	0.00	2.00	1.99	2.00
156.00	0.00	1.99	2.00	2.00
157.00	0.00	2.00	2.00	2.00
158.00	1.01	1.99	2.00	1.99
159.00	0.00	2.00	2.00	2.00
