Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 4 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3
143.00	0.60	2.32	1.99	1.95
144.00	1.51	1.47	2.00	2.05
145.00	0.91	2.17	2.00	1.99
146.00	1.33	1.59	2.00	1.99
147.00	1.14	1.84	2.00	2.00
148.00	1.30	1.86	2.00	2.00
149.00	1.20	1.75	1.99	1.91
150.00	1.18	1.79	2.00	2.08
151.00	1.17	1.81	2.00	2.01
152.00	1.15	1.81	2.00	2.00
153.00	1.27	1.79	2.00	2.00
154.00	1.26	1.83	2.00	2.00
155.00	0.94	1.97	1.99	1.99
156.00	1.21	1.75	2.00	1.95
157.00	1.15	1.78	2.00	1.98
158.00	1.15	1.86	2.00	2.03
159.00	1.13	1.93	2.00	2.01
160.00	1.25	1.71	2.00	1.95
161.00	1.18	1.73	1.99	2.04
162.00	1.30	1.83	2.00	1.99
163.00	1.10	1.97	2.00	2.00
164.00	1.10	1.86	2.00	2.00
165.00	1.15	1.79	2.00	2.00
166.00	0.66	2.39	2.00	1.98
167.00	1.52	1.44	1.99	2.00
168.00	1.20	1.78	2.00	1.98
169.00	1.13	1.78	2.00	2.01
170.00	1.24	1.86	2.00	1.97
171.00	1.15	1.84	2.00	2.03
172.00	1.18	1.85	2.00	2.00
173.00	1.08	2.03	1.99	1.92
174.00	1.08	1.85	2.00	2.07
175.00	1.25	1.86	2.00	2.00
176.00	1.25	1.75	2.00	2.00
177.00	1.12	1.83	2.00	1.98
178.00	1.15	1.78	2.00	1.99
179.00	1.27	1.75	1.99	2.00
10.1.1.1	1.18	465380.04
10.1.1.2	1.87	349892.72
10.2.1.2	2.04	7.89
10.1.1.4	2.03	12805.16
