Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.431s)
CreateVariables () DONE !!!
Creating 5 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4
120.00	2.00	2.00	2.00	2.00	1.99
121.00	1.99	1.99	2.00	1.98	2.00
122.00	1.98	1.99	2.00	2.01	2.01
123.00	2.00	2.00	2.00	2.00	1.99
124.00	2.00	1.99	1.99	1.99	1.99
125.00	2.00	2.00	2.00	1.99	1.99
126.00	1.99	2.00	2.00	2.01	2.01
127.00	2.00	1.99	2.00	2.00	2.00
128.00	2.00	2.00	2.00	1.78	1.77
129.00	2.00	2.00	2.00	2.16	2.16
130.00	2.00	1.99	1.99	2.00	2.00
131.00	1.99	1.99	2.00	1.99	1.98
132.00	2.00	2.00	2.00	2.00	2.00
133.00	2.00	2.00	2.00	1.98	1.99
134.00	1.97	1.95	2.00	0.95	0.93
135.00	2.03	2.03	2.00	0.07	0.06
136.00	2.00	2.00	1.99	0.49	0.49
137.00	1.98	1.95	2.00	0.72	0.72
138.00	2.01	2.03	2.00	2.00	2.00
139.00	2.00	1.99	2.00	2.00	2.01
140.00	2.00	2.00	2.00	1.98	1.98
141.00	2.00	2.00	2.00	1.99	2.00
142.00	2.00	1.99	2.00	2.00	2.00
143.00	2.00	1.99	1.99	1.95	1.93
144.00	2.00	2.00	2.00	2.00	1.99
145.00	1.99	2.00	2.00	1.99	2.00
146.00	2.00	2.00	2.00	2.01	1.99
147.00	2.00	2.00	2.00	2.00	1.99
148.00	2.00	1.99	2.00	1.99	2.00
149.00	1.99	1.99	1.99	1.99	1.97
150.00	2.01	2.00	2.00	1.99	2.00
151.00	1.99	1.98	2.00	2.00	2.00
152.00	2.00	2.01	2.00	2.00	2.01
153.00	2.00	2.00	2.00	2.00	2.00
154.00	1.99	1.99	2.00	1.99	1.99
155.00	2.00	1.98	1.99	1.84	1.83
156.00	1.99	2.00	2.00	2.13	2.12
157.00	2.00	1.99	2.00	1.99	1.99
158.00	2.00	1.99	2.00	2.00	1.99
159.00	2.00	2.00	2.00	2.01	2.00
160.00	2.00	1.99	2.00	1.98	1.99
161.00	2.00	1.98	1.99	1.99	2.00
162.00	2.00	1.99	2.00	2.01	2.00
163.00	1.99	1.99	2.00	1.99	2.00
164.00	1.99	2.00	2.00	1.99	2.00
165.00	2.00	2.00	2.00	2.01	2.00
166.00	1.99	1.99	2.00	1.99	1.99
167.00	2.00	1.98	1.99	1.99	2.00
168.00	2.00	2.00	2.00	2.00	2.00
169.00	2.00	2.00	2.00	1.98	1.99
170.00	1.99	2.00	2.00	2.00	1.97
171.00	2.00	1.99	2.00	2.00	1.99
172.00	2.00	2.01	2.00	2.00	2.00
173.00	2.00	1.98	1.99	1.99	1.98
174.00	2.00	2.00	2.00	1.99	2.00
175.00	1.99	1.99	2.00	1.99	1.99
176.00	2.00	1.98	2.00	2.01	1.99
177.00	2.00	1.99	2.00	2.00	2.01
178.00	2.00	2.01	2.00	2.00	2.00
179.00	2.00	1.98	1.99	1.99	1.99
10.1.1.1	1.09	81944.71
10.1.1.2	1.09	145715.94
10.2.1.2	2.04	8.21
10.1.1.4	1.72	160317.21
10.1.1.5	1.39	105228.81
