Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.320s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
103.00	0.54	1.80	1.93	2.00	2.00	3.07
104.00	0.27	0.49	2.31	2.00	2.00	2.03
105.00	0.51	2.32	1.39	2.00	2.00	1.98
106.00	0.32	1.41	1.98	1.99	1.84	1.80
107.00	0.67	1.42	2.23	2.00	1.90	1.84
108.00	0.87	1.83	1.55	2.00	1.99	1.99
109.00	0.79	1.60	1.95	2.00	1.90	1.22
110.00	0.99	1.46	1.92	2.00	1.99	2.17
111.00	1.00	1.48	1.88	2.00	2.00	1.99
112.00	0.93	1.52	1.90	1.99	1.99	1.99
113.00	0.86	1.55	1.90	2.00	2.01	1.99
114.00	0.87	1.47	1.80	2.00	1.79	1.77
115.00	0.81	1.54	1.77	2.00	1.80	1.39
116.00	0.80	1.57	1.92	2.00	2.00	2.33
117.00	0.95	1.53	1.86	2.00	1.99	2.01
118.00	0.87	1.57	1.91	1.99	2.01	1.95
119.00	0.89	1.48	1.85	2.00	2.00	2.05
120.00	0.98	1.45	1.90	2.00	1.99	2.00
121.00	0.98	1.42	1.95	2.00	2.00	1.98
122.00	0.93	1.51	1.92	2.00	2.00	1.98
123.00	0.91	1.48	1.75	2.00	1.83	1.75
124.00	0.82	1.71	2.00	1.99	1.67	1.50
125.00	0.98	1.46	1.86	2.00	2.00	2.00
126.00	0.92	1.53	1.91	2.00	2.00	2.00
127.00	0.29	0.87	2.21	2.00	1.99	2.00
128.00	0.65	1.95	1.54	2.00	2.00	1.95
129.00	0.98	1.50	1.91	2.00	2.00	1.98
130.00	0.91	1.53	1.92	1.99	2.00	2.00
131.00	0.89	1.51	1.87	2.00	2.00	2.00
132.00	0.33	0.75	2.25	2.00	2.00	1.99
133.00	0.79	2.01	1.54	2.00	2.00	2.03
134.00	0.82	1.58	1.87	2.00	1.99	2.00
135.00	0.55	1.70	2.07	2.00	2.00	1.98
136.00	0.00	2.17	2.33	1.99	2.00	2.01
137.00	0.00	2.05	2.04	2.00	1.99	1.97
138.00	0.31	2.00	2.00	2.00	2.01	2.03
139.00	0.49	1.87	1.91	2.00	1.70	1.61
140.00	0.14	1.84	2.06	2.00	2.17	2.05
141.00	1.27	1.42	1.51	2.00	1.98	1.99
142.00	0.92	1.60	1.86	2.00	2.00	1.93
143.00	0.84	1.63	1.87	1.99	2.00	2.00
144.00	0.91	1.59	1.86	2.00	1.99	2.00
145.00	0.87	1.50	1.88	2.00	2.00	2.00
146.00	0.24	0.94	2.20	2.00	2.00	1.98
147.00	0.69	1.97	1.67	2.00	2.00	1.99
148.00	0.87	1.46	1.91	2.00	1.99	2.00
149.00	0.80	1.53	1.86	1.99	1.99	2.00
150.00	0.79	1.61	1.78	2.00	1.99	2.00
151.00	0.93	1.51	1.85	2.00	2.00	1.98
152.00	0.92	1.50	1.93	2.00	2.00	2.03
153.00	0.91	1.51	1.90	2.00	2.00	1.98
154.00	0.91	1.50	1.91	2.00	2.00	2.00
155.00	0.69	1.33	1.64	1.99	1.75	1.73
156.00	0.91	1.41	1.97	2.00	2.00	2.01
157.00	0.82	1.57	1.87	2.00	2.00	2.00
158.00	0.27	0.84	2.26	2.00	1.99	1.92
159.00	0.20	2.38	1.68	2.00	2.00	2.06
160.00	1.13	1.45	1.85	2.00	1.99	1.99
161.00	0.80	1.47	2.00	1.99	0.92	0.89
162.00	0.16	1.65	2.23	2.00	2.57	0.00
163.00	0.06	1.33	2.14	2.00	2.00	0.00
164.00	0.01	2.05	1.63	2.00	1.83	0.48
165.00	0.31	2.08	2.06	2.00	1.99	2.41
166.00	0.00	2.26	2.26	2.00	1.99	2.00
167.00	1.27	1.50	1.48	1.99	1.94	1.87
168.00	0.99	1.44	1.86	2.00	2.00	2.03
169.00	0.87	1.50	1.84	2.00	2.00	1.99
170.00	0.80	1.51	1.86	2.00	2.00	2.00
171.00	0.86	1.55	1.95	2.00	1.99	2.00
172.00	0.98	1.50	1.92	2.00	2.00	1.95
173.00	0.98	1.47	1.88	1.99	1.99	2.01
174.00	0.98	1.48	1.94	2.00	2.00	1.99
175.00	0.91	1.53	1.83	2.00	1.83	1.46
176.00	0.99	1.35	1.88	2.00	2.00	1.88
177.00	0.95	1.52	1.95	2.00	2.00	2.00
178.00	0.93	1.55	1.91	2.00	2.00	1.99
179.00	0.24	0.84	2.34	1.99	1.98	2.00
10.1.1.1	0.64	337174.34
10.1.1.2	1.52	310812.42
10.1.1.3	1.94	193463.93
10.2.1.2	2.04	7.87
10.1.1.5	1.98	21810.90
10.1.1.6	1.89	44298.09
