Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.739s)
CreateVariables () DONE !!!
Creating 3 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2
2.00	1.04	1.99	1.66
3.00	1.07	2.00	1.61
4.00	1.10	2.00	1.53
5.00	0.77	2.00	1.47
6.00	1.06	2.00	1.75
7.00	0.93	2.00	1.57
8.00	0.85	1.99	1.63
9.00	0.98	2.00	1.85
10.00	0.93	2.00	1.77
11.00	0.62	2.00	1.11
12.00	0.62	2.00	1.51
13.00	0.46	2.00	1.34
14.00	0.71	1.99	1.57
15.00	0.58	2.00	1.33
16.00	0.35	2.00	1.70
17.00	0.54	2.00	1.04
18.00	1.40	2.00	1.42
19.00	0.48	2.00	0.88
20.00	0.29	1.99	1.74
21.00	0.67	2.00	1.52
22.00	0.79	2.00	1.54
23.00	0.82	2.00	1.85
24.00	0.94	2.00	1.79
25.00	1.01	2.00	1.73
26.00	0.15	1.99	0.22
27.00	0.29	2.00	1.77
28.00	0.97	2.00	1.99
29.00	0.95	2.00	1.65
30.00	1.01	2.00	1.90
31.00	0.68	2.00	1.51
32.00	0.75	1.99	1.54
33.00	0.86	2.00	1.78
34.00	0.94	2.00	1.65
35.00	1.00	2.00	1.77
36.00	1.07	2.00	1.74
37.00	1.02	2.00	2.01
38.00	1.07	1.99	1.74
39.00	0.58	2.00	2.01
40.00	1.05	2.00	1.54
41.00	1.31	2.00	1.55
42.00	0.97	2.00	1.75
43.00	1.12	2.00	1.83
44.00	1.10	1.99	1.75
45.00	1.06	2.00	1.81
46.00	0.87	2.00	1.67
47.00	0.80	2.00	1.80
48.00	0.46	2.00	1.18
49.00	1.08	2.00	1.75
50.00	1.02	2.00	1.72
51.00	0.73	1.99	1.80
52.00	1.25	2.00	2.24
53.00	0.55	2.00	2.23
54.00	1.14	2.00	1.14
55.00	0.59	2.00	1.32
56.00	0.00	2.00	1.34
57.00	0.53	1.99	1.73
58.00	1.12	2.00	1.87
59.00	0.79	2.00	1.45
60.00	0.86	2.00	1.87
61.00	0.60	2.00	1.66
62.00	0.59	2.00	1.75
63.00	1.01	1.99	1.78
64.00	1.20	2.00	1.68
65.00	0.52	2.00	1.44
66.00	0.00	2.00	0.84
67.00	0.66	2.00	1.85
68.00	0.95	2.00	1.54
69.00	0.75	1.99	1.53
70.00	0.95	2.00	1.65
71.00	1.04	2.00	1.75
72.00	0.75	2.00	1.70
73.00	0.64	2.00	1.28
74.00	0.59	2.00	2.57
75.00	0.92	1.99	1.54
76.00	1.31	2.00	1.50
77.00	1.01	2.00	1.85
78.00	1.02	2.00	1.73
79.00	0.91	2.00	1.75
80.00	0.72	2.00	1.75
81.00	0.84	1.99	1.66
82.00	1.00	2.00	1.80
83.00	0.91	2.00	1.74
84.00	0.53	2.00	0.95
85.00	0.08	2.00	0.72
86.00	0.37	2.00	1.91
87.00	1.04	1.99	1.88
88.00	0.84	2.00	1.66
89.00	0.88	2.00	1.79
90.00	0.85	2.00	1.44
91.00	0.86	2.00	1.81
92.00	0.95	2.00	1.73
93.00	0.84	1.99	1.65
94.00	0.51	2.00	1.01
95.00	0.64	2.00	1.97
96.00	1.10	2.00	1.87
97.00	0.21	2.00	0.87
