Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (3.480s)
CreateVariables () DONE !!!
Creating 9 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8
72.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.98	2.00
73.00	0.00	0.00	0.00	0.00	2.00	2.00	2.01	1.98	2.00
74.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.98	1.99
75.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	2.00
76.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	1.99
77.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.97
78.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
79.00	0.00	0.00	0.00	0.00	2.00	2.00	1.98	1.97	1.99
80.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
81.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	2.00
82.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	2.00
83.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
84.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	1.99
85.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	2.00
86.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	1.99
87.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	2.00
88.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
89.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.93	2.00
90.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
91.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.98	2.00
92.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
93.00	0.00	0.00	0.00	0.00	1.99	1.99	2.00	1.95	2.00
94.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	1.99
95.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
96.00	0.00	0.00	0.00	0.00	2.00	2.00	1.99	1.97	1.99
97.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.95	2.00
98.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	1.99
99.00	0.00	0.00	0.00	0.00	2.00	1.99	2.00	1.95	2.00
100.00	0.00	0.00	0.00	0.00	1.99	2.00	2.00	1.97	2.00
101.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.97	2.00
102.00	0.71	0.58	1.52	0.00	2.00	2.00	2.00	1.93	1.99
103.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	2.00
104.00	1.20	0.08	0.00	0.00	2.00	2.00	1.99	1.93	1.99
105.00	0.49	0.00	0.00	0.00	2.00	1.99	1.99	2.00	2.00
106.00	0.42	0.04	0.04	0.00	1.99	2.00	1.99	1.99	2.00
107.00	0.00	0.00	0.00	1.90	2.00	2.00	2.00	1.87	1.98
108.00	0.41	0.40	0.55	2.00	2.00	1.99	1.99	1.86	1.99
109.00	0.16	0.16	0.16	0.93	2.00	1.87	1.85	1.71	1.80
110.00	0.71	0.68	0.68	0.00	2.00	2.00	1.97	1.88	1.99
111.00	0.41	0.29	0.28	0.00	2.00	2.00	1.97	1.94	2.00
112.00	0.78	0.79	0.22	0.49	1.99	1.99	0.47	0.42	0.42
113.00	0.01	0.01	0.01	0.00	2.00	1.99	3.00	0.58	0.00
114.00	0.00	0.00	0.00	0.26	2.00	2.00	1.81	0.31	0.00
115.00	0.73	0.69	0.19	2.03	2.00	2.01	2.03	0.49	0.00
116.00	0.88	0.75	1.68	0.75	2.00	1.87	0.95	0.54	0.00
117.00	0.48	0.47	0.15	1.72	2.00	2.00	2.77	0.67	0.62
118.00	1.08	1.07	0.01	0.49	1.99	1.44	1.42	0.42	0.16
119.00	0.00	0.00	0.00	0.00	2.00	2.04	1.26	1.19	0.00
120.00	1.83	1.80	2.38	0.51	2.00	1.12	1.07	0.00	0.00
121.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	0.00	0.00
122.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	0.00	0.00
123.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	0.97	0.94
124.00	0.00	0.00	0.00	2.00	1.99	1.99	2.00	1.87	2.00
125.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.86	1.99
126.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.90	1.99
127.00	0.00	0.00	0.00	2.00	2.00	1.99	1.99	1.90	2.00
128.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.90	2.00
129.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.90	2.00
130.00	0.00	0.00	0.00	2.00	1.99	2.00	2.00	1.83	2.00
131.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.88	1.99
132.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.85	1.99
133.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.86	2.00
134.00	0.00	0.00	0.00	2.00	2.00	2.00	1.98	1.86	1.99
135.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	1.94	2.00
136.00	0.00	0.00	0.00	2.00	1.99	2.00	1.99	1.88	2.00
137.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.86	1.99
138.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.84	2.00
139.00	0.00	0.00	0.00	1.99	2.00	1.99	1.99	1.85	1.99
140.00	0.00	0.00	0.00	2.00	2.00	2.01	1.99	1.92	1.99
141.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.88	2.00
142.00	0.00	0.00	0.00	2.00	2.00	1.99	2.00	1.90	2.00
143.00	0.00	0.00	0.00	2.00	1.99	2.00	2.00	1.90	1.98
144.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.88	1.99
145.00	0.00	0.00	0.00	2.00	2.00	2.00	1.99	1.85	2.00
146.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.92	1.99
147.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.87	2.00
148.00	0.00	0.00	0.00	1.99	2.00	1.99	2.00	1.91	2.00
149.00	0.00	0.00	0.00	1.99	1.99	2.00	1.98	1.88	1.99
150.00	0.00	0.00	0.00	1.99	2.00	2.00	2.00	1.93	2.00
151.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.87	2.00
152.00	0.00	0.00	0.00	2.00	2.00	1.99	1.99	1.85	1.98
153.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.83	2.00
154.00	0.00	0.00	0.00	2.00	2.00	2.00	2.00	1.87	2.00
155.00	0.00	0.00	0.00	1.33	1.99	2.00	1.99	1.87	1.99
156.00	0.00	0.00	0.00	0.00	2.00	1.99	1.99	1.87	2.00
157.00	0.00	0.00	0.00	0.00	2.00	1.98	2.00	1.93	2.00
158.00	0.00	0.00	0.00	0.00	2.00	1.99	1.97	1.90	1.98
