Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.576s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
2.00	4.99	4.99	4.99	0.00	0.07	0.00	0.00	0.07	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.40
3.00	5.00	5.00	5.00	0.00	0.67	0.00	0.00	0.05	0.00	0.35	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.93
4.00	4.99	4.99	4.99	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.18
5.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.34	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.41	0.00	0.04	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.60
6.00	4.99	4.99	4.99	0.00	0.35	0.00	0.00	1.32	0.22	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	1.57	1.00	0.00	0.00	4.72	0.00	0.00	0.00	1.42
7.00	5.00	5.00	5.00	0.00	0.94	0.00	0.00	2.27	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.74	0.00	0.74	0.07	0.00	0.00	1.85	0.00	0.00	0.00	0.00
8.00	5.00	5.00	5.00	0.00	0.14	0.00	0.00	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	1.07	0.74	0.00	0.00	0.49	0.00	0.00	0.00	0.75
9.00	4.99	4.99	4.99	0.00	2.93	0.00	0.00	1.59	0.81	0.39	0.00	0.00	0.44	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	5.19	0.00	0.00	0.00	0.40
10.00	5.00	5.00	5.00	0.00	3.69	0.00	0.00	0.16	0.16	0.48	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.02	0.08	0.00	0.00	4.98	0.00	0.00	0.00	0.48
11.00	4.99	4.99	4.99	0.00	0.14	0.00	0.00	3.64	0.00	2.79	0.00	0.00	0.00	0.00	0.00	3.71	0.00	2.19	3.27	0.00	0.00	4.62	0.00	0.00	0.00	2.77
12.00	5.00	5.00	5.00	0.00	0.05	0.00	0.00	0.92	0.01	0.27	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.47	0.02	0.00	0.00	2.51	0.00	0.00	0.00	0.31
13.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.65	0.34	0.00	0.00	0.00	0.00	0.00	0.00	1.85	0.00	1.65	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00
14.00	4.99	4.99	4.99	0.00	0.12	0.00	0.00	0.22	0.07	0.00	0.00	0.00	0.00	0.00	0.00	3.49	0.00	0.00	0.12	0.00	0.00	2.10	0.00	0.00	0.00	0.93
15.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	4.09	0.53	0.11	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.01	0.07	0.00	0.00	5.64	0.00	0.00	0.00	5.17
16.00	4.99	4.99	4.99	0.00	1.71	0.00	0.00	3.39	1.11	2.41	0.00	0.00	0.00	0.00	0.00	1.14	0.00	1.17	0.18	0.00	0.00	2.61	0.00	0.00	0.00	2.60
17.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	1.51	0.93	1.42	0.00	0.00	0.00	0.00	0.00	2.77	0.00	2.52	0.94	0.00	0.00	5.72	0.00	0.00	0.00	1.38
18.00	5.00	5.00	5.00	0.00	0.00	0.00	0.00	0.61	0.59	1.14	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.49	0.85	0.00	0.00	4.93	0.00	0.00	0.00	1.18
