Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.671s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
27.00	2.50	2.50	2.50	0.00	0.14	0.05	0.00	0.00	0.51	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	2.21
28.00	2.49	2.49	2.49	0.00	0.58	0.00	0.00	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.00	0.24	0.35
29.00	2.50	2.50	2.50	0.00	0.00	0.33	0.11	0.32	0.51	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.25	0.37	0.00	0.00	0.00	0.00	0.00	0.07	0.10
30.00	2.50	2.50	2.50	0.00	0.27	0.00	1.43	0.92	1.36	0.11	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.12
31.00	2.50	2.50	2.50	0.00	1.35	0.22	0.65	0.14	0.00	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
32.00	2.50	2.50	2.50	0.00	0.10	0.00	1.95	0.06	0.00	2.21	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00
33.00	2.50	2.50	2.50	0.00	0.25	0.00	0.32	0.00	0.93	0.04	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.06	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.62
34.00	2.49	2.49	2.49	0.00	0.00	0.00	2.26	3.09	0.42	0.17	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.67	0.00	0.00
35.00	2.50	2.50	2.50	0.00	0.38	0.00	0.00	2.50	0.67	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.02	2.30	0.00
36.00	2.50	2.50	2.50	0.00	0.04	0.00	1.03	1.08	1.18	0.41	0.00	0.04	0.00	0.00	0.00	0.86	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.01	0.27	0.15
37.00	2.50	2.50	2.50	0.00	1.54	0.11	0.00	1.27	1.76	0.48	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.06	0.27	0.00	0.00	0.00	0.00	0.00	0.23	0.28
38.00	2.50	2.50	2.50	0.00	1.18	0.00	0.38	0.00	1.15	0.63	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.31	0.93	0.00	0.00	0.00	0.00	0.00	0.18	0.18
39.00	2.49	2.49	2.49	0.00	2.34	0.00	0.10	1.28	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.19	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.01	1.54	0.00
40.00	2.50	2.50	2.50	0.00	1.05	0.00	0.92	0.68	0.32	0.93	0.00	0.00	0.00	0.00	0.00	1.05	0.00	0.00	1.96	0.00	0.00	0.00	0.00	0.00	0.00	1.79
41.00	2.50	2.50	2.50	0.00	0.00	0.53	0.00	0.08	0.00	0.04	0.00	0.64	0.00	0.00	0.00	0.03	0.00	0.01	2.50	0.00	0.00	0.00	0.00	0.00	0.13	0.36
42.00	2.50	2.50	2.50	0.00	0.00	0.00	0.00	1.80	0.00	0.23	0.00	0.03	0.00	0.00	0.00	0.08	0.00	0.78	0.75	0.00	0.00	0.00	0.00	1.86	0.01	0.97
43.00	2.50	2.50	2.50	0.00	0.00	0.11	1.11	0.22	0.19	1.05	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.00	0.28	0.00	0.04
44.00	2.50	2.49	2.50	0.00	0.00	0.01	0.00	0.55	0.07	2.08	0.00	0.20	0.00	0.00	0.00	0.15	0.00	2.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13
45.00	2.49	2.50	2.49	0.00	0.63	0.16	0.00	0.00	0.08	0.00	0.00	0.96	0.00	0.00	0.00	0.36	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.13	0.03
46.00	2.50	2.50	2.50	0.00	0.00	0.00	0.15	2.73	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.08
47.00	2.50	2.50	2.50	0.00	0.00	0.00	2.59	0.00	0.38	0.00	0.00	1.43	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
48.00	2.50	2.50	2.50	0.00	0.00	0.00	1.21	0.22	0.04	0.28	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.69	0.10	0.00	0.00	0.00	0.00	0.00	0.27	0.26
