Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.835s)
CreateVariables () DONE !!!
Creating 27 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25	ap-26
21.00	9.53	9.53	9.53	0.00	3.41	4.47	0.00	0.00	5.64	7.02	3.48	1.33	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.44	0.00	0.00	0.00	0.00	0.00
22.00	9.53	9.53	9.53	0.00	3.02	4.18	0.00	0.00	4.41	5.86	3.07	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.94	0.00	0.00	0.00	0.00	0.00
23.00	9.55	9.55	9.55	0.42	1.35	3.58	0.00	0.00	2.63	1.40	1.46	0.61	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.66	0.00	0.00	0.00	0.00	0.00
24.00	9.53	9.53	9.53	1.26	1.49	4.07	0.00	0.00	1.54	1.62	1.49	0.46	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.65	0.00	0.00	0.00	0.00	0.00
25.00	9.53	9.53	9.53	1.09	1.47	3.12	0.00	0.00	2.46	7.05	1.83	0.28	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00
26.00	9.53	9.53	9.53	1.16	1.73	2.84	0.00	0.00	2.54	4.73	1.26	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
27.00	9.53	9.53	9.53	1.74	2.39	4.99	0.00	0.00	1.74	4.59	0.92	0.10	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	9.53	9.53	9.53	1.64	2.12	4.67	0.00	0.00	2.48	5.59	2.44	0.45	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	0.00
29.00	9.55	9.55	9.55	1.25	2.85	4.87	0.00	0.00	0.99	7.25	2.35	0.43	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.56	0.00	0.00	0.00	0.00	0.00
30.00	9.53	9.53	9.53	1.38	3.53	4.77	0.00	0.00	1.18	6.93	2.11	0.62	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00
31.00	9.53	9.53	9.53	2.45	1.94	5.19	0.00	0.00	4.91	9.34	3.96	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
