Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.633s)
CreateVariables () DONE !!!
Creating 26 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24	ap-25
27.00	5.00	5.00	5.00	0.00	0.01	2.11	0.00	0.60	0.00	0.00	0.00	0.00	0.32	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	2.89	0.00	0.00	0.77	0.92
28.00	4.99	4.99	4.99	0.00	0.00	1.87	0.00	1.58	0.00	0.00	0.00	0.00	0.58	0.00	0.00	2.99	0.00	0.00	0.00	0.00	0.00	3.65	0.00	0.00	0.00	0.04
29.00	5.00	5.00	5.00	0.00	1.55	0.33	0.00	1.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.00	0.00	0.00	2.39	0.00	0.00	0.00	0.01
30.00	5.00	5.00	5.00	0.00	1.60	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31
31.00	4.99	4.99	4.99	0.00	4.99	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
32.00	5.00	5.00	5.00	0.00	2.36	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.45	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.59
33.00	4.99	4.99	4.99	0.00	1.81	0.00	0.00	1.68	0.00	0.00	0.00	0.00	0.01	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	1.40
34.00	5.00	5.00	5.00	0.00	0.28	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.49
35.00	5.00	5.00	5.00	0.00	1.55	0.00	0.00	0.02	0.00	0.00	0.00	0.00	1.35	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	4.99	0.00	0.00	0.00	0.05
36.00	4.99	4.99	4.99	0.00	0.09	0.00	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	0.00	2.41
