Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.111s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
40.00	7.81	7.21	6.61	0.49	0.32	0.00	0.00	1.19	0.00	1.14	0.00	0.12	0.29	0.32	0.92	0.42	1.46
41.00	7.80	7.20	6.59	1.83	0.00	0.00	0.00	0.49	0.00	0.89	1.70	1.21	0.05	0.21	0.89	0.33	2.61
42.00	7.80	7.20	6.59	1.31	0.97	0.00	1.60	0.99	0.00	0.73	0.00	1.37	0.49	0.06	0.09	0.59	0.12
43.00	7.81	7.21	6.61	3.19	0.06	0.05	0.49	0.00	0.00	1.08	2.07	0.72	0.68	0.18	0.00	1.00	1.80
44.00	7.80	7.20	6.59	2.98	0.00	0.49	1.68	2.18	0.00	1.71	0.00	1.42	1.06	0.16	0.00	0.61	2.44
45.00	7.81	7.21	6.61	0.00	1.39	0.00	0.72	0.99	0.00	1.73	1.48	0.00	0.35	0.42	0.00	1.26	0.73
46.00	7.80	7.20	6.59	2.06	1.83	0.00	0.52	0.49	0.00	1.05	0.49	0.00	1.48	0.34	0.00	1.24	2.81
47.00	7.80	7.21	6.61	0.38	1.18	0.00	1.24	0.00	0.00	0.69	1.15	0.49	0.99	0.52	0.00	0.74	1.08
48.00	7.81	7.20	6.59	1.34	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.07	0.00	0.45	1.64	0.66	2.18
49.00	7.80	7.20	6.61	0.06	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.99	0.00	0.07	0.85	0.16	0.00
50.00	7.80	7.21	6.59	1.38	0.00	0.00	0.00	0.00	0.00	1.07	0.00	0.99	0.00	0.31	1.05	1.00	0.99
51.00	7.81	7.20	6.61	1.32	0.00	0.00	0.00	0.05	0.00	0.65	0.01	0.00	0.00	0.42	1.18	0.00	0.20
52.00	7.80	7.21	6.59	0.99	0.00	0.00	1.85	0.45	0.00	0.89	1.57	0.00	0.80	0.62	1.10	0.00	1.42
53.00	7.80	7.20	6.61	2.87	0.16	0.00	0.00	1.77	0.00	0.94	0.49	1.80	0.53	0.00	0.82	0.86	1.51
54.00	7.81	7.20	6.59	1.14	0.49	0.00	0.00	1.72	0.00	1.15	0.00	0.28	1.18	0.00	1.25	1.51	0.00
55.00	7.80	7.21	6.59	1.44	0.00	0.00	0.99	0.49	0.00	1.47	1.27	0.00	0.07	0.09	1.70	0.51	2.00
56.00	7.81	7.20	6.61	0.02	0.00	0.00	0.85	0.00	0.00	0.33	0.49	0.00	0.99	0.00	0.82	0.58	0.00
57.00	7.80	7.21	6.59	3.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	1.30	1.38	4.06
58.00	7.80	7.20	6.61	0.00	0.00	0.00	1.55	0.06	0.00	0.48	0.00	0.73	0.51	0.61	0.92	0.65	0.11
59.00	7.81	7.20	6.59	2.36	0.01	0.00	0.33	0.00	0.00	0.52	0.99	0.49	0.00	0.24	1.20	0.00	1.34
60.00	7.80	7.21	6.61	2.51	0.00	0.00	0.00	2.50	0.00	0.21	0.00	1.53	1.90	0.49	1.24	0.00	1.67
61.00	7.80	7.20	6.59	0.00	0.05	0.00	0.00	1.87	0.00	0.00	0.00	0.71	0.00	0.52	1.01	0.00	0.89
62.00	7.81	7.21	6.61	1.04	0.15	0.00	0.00	0.00	0.00	0.89	0.00	0.48	0.49	0.31	1.81	1.91	1.88
63.00	7.80	7.20	6.59	0.19	0.00	0.19	0.00	2.04	0.00	0.39	0.09	2.26	1.37	0.38	1.37	0.00	2.39
64.00	7.80	7.21	6.61	1.73	0.16	0.00	0.13	4.90	0.00	0.24	1.80	0.12	0.00	0.24	1.58	0.59	2.19
65.00	7.81	7.20	6.59	4.39	0.00	0.46	2.72	0.49	0.00	2.79	0.46	2.52	0.98	0.31	1.70	0.86	1.73
66.00	7.80	7.20	6.61	1.44	0.00	0.01	0.00	0.49	0.00	0.49	0.00	0.57	1.50	0.35	1.06	0.32	0.61
67.00	7.81	7.21	6.59	1.42	0.52	0.38	0.00	0.75	0.00	0.00	0.49	0.21	0.98	0.57	1.20	0.75	0.49
