Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.164s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
33.00	8.09	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.13	0.79	0.00	0.00	0.00
34.00	8.10	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.72	0.59	0.24	0.00	0.33
35.00	8.10	0.00	0.00	0.00	0.20	0.11	0.00	0.00	0.00	0.00	0.75	0.00	0.54	0.00	0.00	0.00	0.14	0.12	1.05	0.00	0.00
36.00	8.10	0.00	0.00	0.00	0.00	0.05	0.00	0.99	0.00	0.00	0.18	0.00	0.00	0.00	0.00	1.07	0.26	0.14	0.75	0.00	0.00
37.00	8.10	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.52	0.08	1.01	0.13	0.08	2.40	0.00	0.00
38.00	8.10	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.01	0.11	0.00	0.00	1.42	0.00	0.00
39.00	8.09	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	1.01	0.00	0.09	0.49	0.00	1.33	0.07	0.80	0.02	0.00	0.00
40.00	8.10	0.00	0.00	0.00	0.00	0.47	0.00	0.61	0.00	0.00	0.75	0.00	0.00	0.49	0.34	0.24	0.00	0.21	0.60	0.00	0.92
41.00	8.10	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.41	0.00	1.57	0.00	1.28
42.00	8.10	0.00	0.00	0.00	0.32	0.00	0.26	0.07	0.22	0.00	0.22	0.00	0.00	2.44	0.00	0.42	0.24	0.20	0.24	0.00	0.26
