Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.039s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
51.00	7.50	0.00	0.00	1.26	0.00	0.00	0.00	0.00	2.28	0.00	0.00	0.00	0.72
52.00	7.50	0.00	0.00	0.51	0.52	1.38	0.00	0.00	0.97	2.80	0.00	0.72	0.22
53.00	7.50	0.00	3.27	2.21	0.00	1.60	0.00	0.44	1.08	0.60	0.00	0.35	0.00
54.00	7.50	0.00	0.66	0.46	0.01	1.25	0.00	0.21	1.30	0.49	0.00	0.02	0.00
55.00	7.49	0.00	0.00	0.00	0.00	0.12	0.00	0.11	1.18	0.00	0.00	0.32	0.32
56.00	7.50	0.00	1.05	0.29	0.00	0.67	0.00	0.00	0.82	1.94	0.00	0.33	0.05
57.00	7.50	0.00	1.01	0.00	4.82	1.12	1.02	0.01	1.34	0.80	0.00	0.49	2.48
58.00	7.50	0.00	0.92	1.50	0.00	0.00	0.00	0.32	1.08	0.81	0.00	0.66	0.52
59.00	7.50	0.00	0.00	0.00	1.27	0.00	0.00	0.66	0.95	2.53	0.00	0.85	0.49
60.00	7.50	0.00	0.00	0.00	0.00	0.14	0.05	1.22	1.74	1.88	0.00	0.00	0.28
61.00	7.50	0.00	0.00	0.00	0.67	0.00	0.00	0.05	1.27	1.38	0.00	0.07	0.02
62.00	7.50	0.00	0.00	0.99	0.00	0.80	0.00	0.12	0.92	0.00	0.00	0.66	0.04
63.00	7.50	0.00	4.88	0.00	0.18	0.00	0.00	0.00	1.06	0.11	0.00	0.49	0.18
64.00	7.49	0.00	2.20	0.00	0.00	2.07	1.58	0.59	2.24	0.95	0.00	0.35	0.58
65.00	7.50	0.00	0.52	0.00	1.27	0.00	0.24	0.26	0.99	0.00	0.00	0.02	0.52
66.00	7.50	0.00	0.00	0.00	0.00	0.46	0.00	0.38	1.41	0.00	0.00	0.40	0.00
67.00	7.50	0.00	2.28	0.34	0.19	0.95	0.00	0.09	1.05	0.00	0.00	0.40	0.00
68.00	7.50	0.00	0.00	0.49	0.00	0.86	0.00	0.45	0.87	0.00	0.00	0.38	0.34
69.00	7.50	0.00	0.54	0.00	0.91	0.72	0.11	0.07	1.04	0.52	0.02	0.34	1.21
70.00	7.50	0.00	1.15	0.73	0.28	0.00	0.00	0.33	1.72	1.11	0.00	0.40	0.00
71.00	7.50	0.00	0.00	0.29	1.65	0.00	1.21	0.26	0.80	1.39	0.57	0.00	0.49
72.00	7.50	0.00	0.00	0.52	0.00	0.25	0.00	0.31	1.67	0.39	0.00	0.00	0.00
73.00	7.49	0.00	1.14	0.00	1.74	1.84	0.24	0.00	0.97	0.00	0.28	0.00	0.04
74.00	7.50	0.00	1.66	0.00	0.00	0.74	0.00	0.00	1.25	3.60	0.00	0.32	0.00
75.00	7.50	0.00	1.64	0.13	0.00	0.64	1.10	0.33	1.39	1.61	0.00	0.33	0.00
76.00	7.50	0.00	2.14	1.53	0.00	0.28	0.00	0.13	1.44	0.00	0.00	0.14	0.00
77.00	7.50	0.00	0.05	0.00	1.68	0.00	0.09	0.00	1.14	1.65	0.05	0.00	0.00
78.00	7.50	0.00	1.35	0.04	0.00	0.00	0.14	0.00	0.72	0.00	0.00	0.00	0.00
79.00	7.50	0.00	2.85	1.83	1.59	0.00	0.05	0.00	0.26	0.13	0.00	0.34	0.65
80.00	7.50	0.00	0.00	0.00	0.99	0.85	1.42	0.00	0.65	0.41	0.00	0.68	0.05
81.00	7.50	0.00	0.00	0.85	0.05	0.14	0.09	0.00	0.93	0.06	0.00	0.07	0.19
82.00	7.49	0.00	0.00	0.00	0.95	0.00	0.37	0.00	0.93	1.73	0.00	0.26	0.39
83.00	7.50	0.00	2.11	0.00	0.00	0.00	0.18	0.00	1.14	0.00	0.00	0.42	0.19
84.00	7.50	0.00	1.61	0.29	0.00	0.00	0.35	0.16	1.37	0.31	0.00	0.35	0.04
85.00	7.50	0.00	0.99	0.00	0.00	0.00	0.00	0.00	1.53	0.52	0.00	0.66	0.00
86.00	7.50	0.00	0.01	0.00	0.14	0.00	0.12	0.00	0.78	0.99	0.00	0.52	0.60
87.00	7.50	0.00	0.00	1.66	0.00	0.00	0.00	0.78	2.14	0.00	0.00	0.22	0.00
88.00	7.50	0.00	3.06	0.01	0.05	1.60	0.00	0.18	3.91	1.27	0.00	0.00	0.00
89.00	7.50	0.00	1.55	0.11	0.00	0.68	0.00	0.97	1.71	1.33	0.00	0.00	0.00
90.00	7.50	0.00	1.61	2.53	0.05	0.77	0.00	0.92	0.66	1.41	0.00	0.02	0.00
91.00	7.49	0.00	2.37	0.16	0.09	0.11	0.00	0.00	2.28	0.00	0.00	0.00	0.00
92.00	7.50	0.00	1.77	0.00	0.00	0.49	0.00	0.59	1.20	2.98	0.00	0.16	0.00
93.00	7.50	0.00	1.83	0.00	3.13	0.00	0.00	0.75	1.02	0.00	0.00	0.02	0.73
94.00	7.50	0.00	0.93	1.53	0.00	0.32	0.49	0.78	1.72	0.98	0.00	0.02	0.00
95.00	7.50	0.00	3.71	0.01	0.00	0.00	0.00	0.00	1.83	1.78	0.00	0.00	0.00
96.00	7.50	0.00	0.49	0.00	0.45	0.02	0.00	0.00	1.00	0.00	0.00	0.00	0.00
97.00	7.50	0.00	0.80	1.88	0.00	2.10	0.00	0.74	1.14	0.98	0.00	0.02	0.00
