Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.289s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
34.00	7.81	7.20	0.31	0.00	0.00	0.00	1.58	1.27	1.77	0.00	4.05	0.00	0.80	0.37	0.00	0.00	0.00	0.00	0.00	0.04
35.00	7.80	7.21	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	1.42	0.00	0.44	0.08	0.00	0.00	0.00	0.00	0.00	0.04
36.00	7.80	7.20	0.00	0.00	0.00	0.00	1.01	0.00	1.08	0.00	1.66	0.00	0.00	0.89	0.20	0.00	0.00	0.00	0.00	0.14
37.00	7.81	7.20	2.64	0.00	0.00	0.00	0.58	0.00	3.34	0.00	4.31	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.37
38.00	7.80	7.21	0.35	0.00	0.00	0.00	0.29	0.22	1.83	0.00	3.09	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.20
39.00	7.80	7.20	0.38	0.00	0.00	0.00	1.38	0.02	1.54	0.00	2.70	0.00	0.00	0.26	0.55	0.00	0.00	0.00	0.00	1.11
40.00	7.81	7.21	1.27	0.00	0.00	0.00	0.00	0.05	0.40	0.00	2.78	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.04
41.00	7.80	7.20	0.00	0.00	0.00	0.00	1.97	0.01	5.97	0.00	3.74	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	1.27
42.00	7.80	7.20	4.35	0.00	0.00	0.00	0.15	0.00	1.60	0.00	0.49	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00
43.00	7.81	7.21	3.79	0.00	0.00	0.00	0.01	0.93	0.77	0.00	4.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37
44.00	7.80	7.20	0.84	0.00	0.00	0.00	0.86	0.16	1.77	0.00	2.61	0.00	0.00	0.81	0.72	0.00	0.00	0.00	0.00	0.05
45.00	7.81	7.21	0.00	0.00	0.00	0.00	0.31	0.00	2.39	0.00	3.98	0.00	0.00	0.28	0.01	0.00	0.00	0.00	0.00	0.37
46.00	7.80	7.20	0.33	0.00	0.00	0.00	0.31	0.00	4.11	0.01	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.48
47.00	7.80	7.21	2.30	0.00	0.00	0.00	0.35	0.00	3.71	0.00	1.71	0.00	0.00	0.71	0.54	0.00	0.00	0.00	0.00	0.00
48.00	7.81	7.20	1.95	0.00	0.00	0.00	0.05	0.00	1.84	0.00	2.54	0.00	4.23	0.60	0.00	0.00	0.00	0.00	0.00	0.12
