Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.076s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
38.00	9.61	7.50	7.50	0.49	0.00	1.39	0.00	1.14	0.99	0.38	0.02	0.00	0.00	0.00	0.00	0.49	1.25	0.00
39.00	9.60	7.50	7.50	1.31	0.21	0.00	2.06	0.54	1.59	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40.00	9.60	7.50	7.50	1.35	0.00	0.07	0.28	1.48	0.49	0.99	1.00	0.00	0.00	0.00	0.00	0.00	0.73	0.26
41.00	9.60	7.50	7.50	0.00	0.00	0.97	1.86	1.07	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	1.84	0.00
42.00	9.60	7.50	7.50	1.92	0.00	1.14	1.52	1.66	1.70	0.77	0.28	0.00	0.00	0.00	0.00	0.22	0.99	0.00
43.00	9.61	7.50	7.50	1.57	0.79	4.80	0.00	1.07	0.89	0.60	1.54	0.00	0.00	0.00	0.00	0.39	2.11	0.00
44.00	9.60	7.50	7.50	3.14	4.05	3.11	3.46	0.34	3.30	1.72	2.56	0.00	0.00	0.00	0.00	0.77	2.66	0.34
45.00	9.60	7.50	7.50	1.25	0.61	1.67	0.00	1.37	1.47	0.00	0.99	0.00	0.00	0.00	0.00	0.00	1.07	0.79
46.00	9.60	7.49	7.49	1.24	0.59	2.41	1.47	1.02	1.78	1.22	1.50	0.00	0.00	0.00	0.00	0.00	3.03	0.33
47.00	9.61	7.50	7.50	1.79	1.37	0.51	4.51	1.40	1.42	0.02	0.54	0.00	0.00	0.00	0.00	0.47	1.94	0.00
48.00	9.60	7.50	7.50	1.98	0.13	1.77	0.75	3.79	2.32	0.73	0.81	0.00	0.00	0.00	0.00	0.02	2.52	0.00
49.00	9.60	7.50	7.50	0.59	0.48	1.38	2.14	0.49	0.01	0.00	2.06	0.00	0.00	0.00	0.00	0.00	0.49	0.49
