Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.355s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	7.20	0.00	0.00	0.29	0.00	0.00	2.91	0.31	0.49	0.00	0.00	3.94	0.00	0.00	0.04	0.31
43.00	7.21	0.00	0.00	0.00	0.00	0.00	4.03	0.00	0.51	0.00	0.00	3.82	0.00	0.00	0.04	0.62
44.00	7.20	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.00	3.63	0.00	0.00	0.00	0.14
45.00	7.21	0.00	0.00	0.00	0.00	0.00	2.37	0.82	1.92	0.00	0.00	1.81	0.00	0.00	0.00	0.39
46.00	7.20	0.00	0.00	0.00	0.00	0.00	4.19	0.00	0.00	0.00	0.00	4.39	0.00	0.00	0.00	0.67
47.00	7.21	0.00	0.00	0.00	0.00	0.00	1.64	0.97	2.74	0.00	0.00	3.05	0.00	0.00	0.00	0.24
48.00	7.20	0.00	0.00	0.00	0.00	0.00	4.29	0.61	0.33	0.00	0.00	3.42	0.00	0.00	0.00	0.65
49.00	7.20	0.00	0.00	0.00	0.00	0.00	2.61	0.00	0.92	0.00	0.00	1.53	0.00	0.00	0.00	0.41
50.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	3.56	0.00	0.00	0.00	0.00
51.00	7.20	0.00	0.00	0.00	0.00	0.00	3.50	0.04	0.00	0.00	0.00	2.27	0.00	0.00	0.00	0.52
52.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.24	0.00	0.00	0.00	0.00
53.00	7.20	0.00	0.00	0.24	0.00	0.00	5.20	0.00	0.00	0.00	0.00	1.87	0.00	0.00	0.32	0.82
54.00	7.20	0.00	0.00	0.24	0.00	0.00	1.71	1.98	0.00	0.00	0.00	2.65	0.00	0.00	0.00	0.27
55.00	7.21	0.00	0.00	0.00	0.00	0.00	0.85	0.34	0.00	0.00	0.00	3.80	0.00	0.00	0.00	0.14
56.00	7.20	0.00	0.00	0.00	0.00	0.00	0.42	0.35	3.26	0.00	0.00	1.98	0.00	0.00	0.00	0.07
57.00	7.21	0.00	0.00	0.00	0.00	0.00	1.53	0.61	0.71	0.00	0.00	2.05	0.00	0.00	0.00	0.25
58.00	7.20	0.00	0.00	0.00	0.00	0.00	1.21	0.01	0.00	0.00	0.00	2.68	0.00	0.00	0.13	0.19
59.00	7.20	0.00	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.00	0.00	2.90	0.00	0.00	0.22	0.26
60.00	7.21	0.00	0.00	0.00	0.00	0.00	2.14	0.00	0.77	0.00	0.00	3.14	0.00	0.00	0.05	0.32
61.00	7.20	0.00	0.00	0.00	0.00	0.00	3.27	0.29	0.00	0.00	0.00	3.65	0.00	0.00	0.01	0.52
62.00	7.21	0.00	0.00	0.60	0.00	0.00	2.64	0.00	0.00	0.00	0.00	3.30	0.00	0.00	0.00	0.41
63.00	7.20	0.00	0.00	0.59	0.00	0.00	2.51	0.00	2.60	0.00	0.00	3.76	0.00	0.00	0.00	0.39
64.00	7.21	0.00	0.00	0.00	0.00	0.00	3.29	1.18	1.80	0.00	0.00	3.05	0.00	0.00	0.02	0.52
65.00	7.20	0.00	0.00	0.00	0.00	0.00	2.92	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.45
66.00	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00
67.00	7.21	0.00	0.00	0.00	0.00	0.00	2.31	0.00	0.00	0.00	0.00	2.97	0.00	0.00	0.00	0.35
68.00	7.20	0.00	0.00	0.00	0.00	0.00	3.79	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.61
69.00	7.21	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.14
70.00	7.20	0.00	0.00	0.00	0.00	0.00	2.33	0.00	0.49	0.00	0.00	2.33	0.00	0.00	0.00	0.37
71.00	7.20	0.00	0.00	0.00	0.00	0.00	1.18	0.31	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.19
