Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.108s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
42.00	9.90	8.70	7.80	1.47	0.68	0.00	0.00	0.00	3.12	0.00	1.90	1.41	0.26	1.98	1.14	0.49
43.00	9.90	8.70	7.81	1.40	0.21	0.00	0.00	0.00	0.99	2.46	0.06	0.00	0.02	2.71	0.64	0.35
44.00	9.89	8.70	7.80	2.20	2.30	0.00	0.24	0.00	0.00	1.38	2.07	0.00	0.00	3.59	1.52	0.92
45.00	9.90	8.69	7.81	0.99	2.14	0.00	0.52	0.00	0.19	0.59	0.69	0.00	0.22	1.92	0.05	1.22
46.00	9.90	8.70	7.80	1.74	2.79	0.00	0.12	0.00	0.00	0.19	0.00	0.11	0.35	2.52	0.02	0.61
47.00	9.89	8.70	7.80	4.71	0.73	0.77	0.40	0.00	1.95	1.53	2.43	0.84	0.00	0.79	0.55	0.59
48.00	9.90	8.70	7.81	1.90	1.48	0.00	0.73	0.00	0.49	1.13	1.97	0.00	1.11	2.97	0.19	0.64
49.00	9.90	8.69	7.80	3.00	2.77	0.00	0.29	0.00	1.48	1.15	2.14	0.00	0.57	1.73	0.22	0.88
50.00	9.89	8.70	7.80	0.07	0.99	0.00	0.00	0.00	1.85	0.12	0.00	0.54	0.51	0.91	0.00	0.00
51.00	9.90	8.70	7.81	1.45	1.06	0.00	0.07	0.00	1.48	0.57	0.11	0.02	0.28	3.54	0.73	0.00
52.00	9.90	8.70	7.80	1.72	2.74	0.16	1.02	0.21	0.00	1.46	0.00	2.13	0.84	3.25	0.88	0.00
53.00	9.90	8.70	7.80	0.00	2.96	0.44	1.25	0.00	0.99	0.61	1.55	0.75	0.64	2.40	0.00	0.49
54.00	9.89	8.69	7.81	1.28	2.46	0.00	1.78	0.95	1.28	2.44	1.87	2.38	0.82	3.49	1.48	0.00
55.00	9.90	8.70	7.80	0.00	2.96	0.40	1.20	0.49	3.25	0.00	1.14	1.94	1.48	2.98	0.51	0.99
56.00	9.90	8.70	7.81	0.00	4.16	0.00	1.12	0.00	1.13	1.53	1.10	0.26	0.38	3.34	1.92	0.99
57.00	9.89	8.70	7.80	2.80	2.84	0.00	0.38	0.00	3.77	0.09	2.20	0.07	1.00	3.18	0.00	0.60
58.00	9.90	8.70	7.80	1.98	1.79	0.00	0.00	0.02	1.35	2.51	2.20	0.68	0.88	1.79	2.32	0.00
59.00	9.90	8.69	7.81	1.22	3.92	0.54	0.00	0.39	1.92	2.56	1.38	2.33	1.72	3.14	1.85	0.00
