Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
36.00	8.41	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	3.04	1.28	0.42	0.00	0.00	0.00	0.00	0.00	0.00	1.45
37.00	8.40	0.00	0.00	0.45	0.00	0.00	0.22	0.00	0.00	0.27	0.79	0.11	0.00	0.00	0.00	0.00	0.00	0.00	3.19
38.00	8.40	0.00	0.12	0.00	0.00	0.00	0.04	0.00	0.00	0.00	3.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81
39.00	8.40	0.00	0.00	1.02	0.00	0.00	1.33	0.00	0.00	1.20	0.08	0.00	0.00	0.00	0.00	0.33	0.00	0.00	1.72
40.00	8.41	0.00	0.00	0.02	0.00	0.00	1.42	0.00	0.00	0.51	3.69	0.00	0.00	0.00	0.00	0.21	0.00	0.00	3.21
41.00	8.40	0.00	0.00	0.92	0.00	0.00	2.20	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.48
42.00	8.40	0.00	0.00	0.99	0.00	0.00	0.80	0.00	0.00	2.97	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71
43.00	8.41	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.87	0.00	0.12	0.00	0.00	0.00	0.00	0.08	0.00	1.15
44.00	8.40	0.00	0.00	0.61	0.00	0.00	4.40	0.00	0.00	1.63	2.65	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.80
45.00	8.40	0.00	0.00	0.01	0.00	0.00	1.13	0.00	0.00	0.47	1.40	0.65	0.00	0.00	0.00	0.00	0.00	0.00	2.07
