Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.072s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	6.61	6.30	6.30	0.00	0.00	1.91	0.00	0.00	0.00	0.00	1.68	1.66	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	1.25	0.59	0.09
31.00	6.59	6.30	6.30	1.86	0.00	0.99	0.00	0.00	0.19	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.00	2.98	0.24
32.00	6.61	6.30	6.30	0.00	0.00	1.46	0.88	0.00	1.74	0.00	0.49	1.54	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	1.81	0.47
33.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.47
34.00	6.61	6.30	6.30	1.90	0.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	1.98	1.07	0.75
35.00	6.59	6.30	6.30	1.85	0.00	1.37	0.00	0.00	0.00	0.00	1.32	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.99	0.21	0.47
36.00	6.61	6.30	6.30	0.24	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.11	0.35
37.00	6.59	6.30	6.30	2.83	0.00	1.20	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.31	0.24
38.00	6.61	6.30	6.30	0.99	0.00	1.54	0.00	0.00	0.42	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.53	0.11
39.00	6.59	6.30	6.30	0.49	0.00	0.89	0.00	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.47	0.05
40.00	6.61	6.30	6.30	1.75	0.00	0.00	0.00	0.00	0.00	0.08	1.47	0.32	0.00	0.00	0.00	0.09	0.05	0.00	0.00	2.54	0.00	0.61	0.19
41.00	6.59	6.30	6.30	1.25	0.00	0.37	0.00	0.00	0.07	0.00	0.00	0.04	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.25	0.49	0.28	0.07
42.00	6.59	6.30	6.30	3.67	0.00	0.52	0.00	0.00	0.13	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.14	0.35
43.00	6.61	6.30	6.30	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.12
44.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.46	0.02	0.05
45.00	6.61	6.30	6.30	1.37	0.00	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.14
46.00	6.59	6.30	6.30	2.24	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.13	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	2.43	0.47	0.16
47.00	6.61	6.30	6.30	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.04	0.00	0.33
48.00	6.59	6.30	6.30	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.52
49.00	6.61	6.30	6.30	1.51	0.00	0.02	0.00	0.00	0.00	0.00	0.42	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.57	0.45
50.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.12	0.00	1.67	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.65	0.37
51.00	6.61	6.30	6.30	0.49	0.00	2.47	0.00	0.00	0.00	0.16	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12
52.00	6.59	6.30	6.30	1.04	0.00	0.00	0.06	0.00	1.39	0.00	0.00	0.57	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.99	0.34	0.16
53.00	6.61	6.30	6.30	0.00	0.00	0.00	0.00	0.00	1.88	0.00	2.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	2.26	0.61
54.00	6.59	6.30	6.30	1.66	0.00	1.18	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.51
55.00	6.59	6.30	6.30	1.55	0.00	0.00	0.00	0.00	0.09	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55
56.00	6.61	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.85	0.52
57.00	6.59	6.30	6.30	0.00	0.00	0.53	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
58.00	6.61	6.30	6.30	0.99	0.00	0.00	0.09	0.00	0.07	0.07	0.49	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.26	0.99	0.00	0.33
59.00	6.59	6.30	6.30	1.37	0.00	0.77	0.00	0.00	0.48	0.00	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.07
60.00	6.61	6.30	6.30	0.00	0.00	1.35	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.99	0.54
61.00	6.59	6.30	6.30	0.00	0.00	1.81	0.49	0.00	0.52	0.11	3.91	0.99	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.75	0.07
62.00	6.61	6.30	6.30	0.00	0.00	2.28	0.00	0.00	0.00	0.00	2.23	0.51	0.00	0.00	0.00	0.01	0.00	0.00	0.00	1.32	0.00	0.49	0.28
63.00	6.59	6.30	6.30	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00
64.00	6.61	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.49	0.00	0.40
65.00	6.59	6.30	6.30	0.00	0.00	1.47	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.86
66.00	6.61	6.30	6.30	0.00	0.00	2.63	0.00	0.00	1.10	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.26	0.66
67.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.37	1.48	2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.68
68.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.99	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.15	0.00	0.54
69.00	6.61	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.49	0.00	2.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	1.21	0.59
70.00	6.59	6.30	6.30	0.18	0.00	1.45	0.00	0.00	0.33	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.24	0.49
71.00	6.61	6.30	6.30	2.41	0.00	0.00	0.00	0.00	0.68	0.00	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.47
72.00	6.59	6.30	6.30	2.08	0.00	1.11	0.00	0.00	0.65	0.00	3.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.00	1.34	0.15
73.00	6.61	6.30	6.30	2.27	0.00	0.00	0.39	0.00	0.00	0.15	0.61	1.28	0.00	0.00	0.00	0.59	0.00	0.00	0.00	1.98	0.00	0.99	0.97
74.00	6.59	6.30	6.30	2.31	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.28	0.00	0.99	0.66
75.00	6.61	6.29	6.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.72
76.00	6.59	6.30	6.30	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.11	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
77.00	6.61	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.99	0.00	2.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.24
78.00	6.59	6.30	6.30	0.00	0.00	1.55	0.15	0.00	0.00	0.16	2.84	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.64	0.26
79.00	6.61	6.30	6.30	0.00	0.00	0.49	0.00	0.00	0.55	0.38	2.53	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.46	1.90
