Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.060s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
34.00	8.10	6.89	0.00	0.13	0.34	0.00	0.00	2.14	0.00	0.00	0.26	0.40	0.25	0.08	0.00	0.00	0.11	0.80	0.00	0.00
35.00	8.10	6.90	0.00	0.00	0.73	0.12	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.71	0.49	0.00	0.00
36.00	8.10	6.90	0.00	0.00	0.57	0.14	0.00	2.54	0.00	0.00	0.00	0.00	0.09	0.49	0.00	0.16	1.01	0.42	0.00	2.26
37.00	8.10	6.90	0.00	0.00	0.08	0.35	0.00	1.50	0.00	0.00	0.00	0.26	0.74	0.49	0.00	2.78	0.02	0.08	0.99	0.32
38.00	8.10	6.90	0.00	0.00	0.49	0.00	0.00	1.08	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.49	0.44	0.00	0.11
39.00	8.09	6.90	0.09	0.49	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.45	0.38	0.00	0.49	0.00	0.19	0.00	0.82
40.00	8.10	6.90	0.00	2.24	1.78	0.00	0.00	1.97	0.00	0.00	0.00	0.00	1.00	0.75	0.00	1.81	0.75	0.80	0.00	0.00
41.00	8.10	6.90	0.00	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.28	0.00	0.00	0.00	1.41	0.34	0.00	0.00	0.00
42.00	8.10	6.90	0.00	0.00	0.79	0.00	0.00	1.86	0.00	0.00	0.00	0.05	1.19	0.01	0.00	0.00	0.00	0.24	0.00	0.00
43.00	8.10	6.90	0.00	0.00	0.51	0.06	0.00	1.30	0.00	0.00	0.94	0.09	1.81	1.74	0.00	0.49	0.32	0.46	0.51	0.00
44.00	8.10	6.90	0.08	0.49	0.00	0.31	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	1.04	0.00	3.11
45.00	8.09	6.90	0.00	0.00	0.35	0.85	0.00	2.21	0.00	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.48	0.00	2.13
46.00	8.10	6.90	0.00	0.00	0.69	0.12	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.27	1.05	0.00	0.00
47.00	8.10	6.90	0.00	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.00	0.12	1.01	0.00	0.00	0.00	0.85	0.88	1.33	0.00
48.00	8.10	6.90	0.00	0.00	1.35	0.00	0.00	1.86	0.00	0.00	1.11	0.02	0.85	0.88	0.00	0.00	0.00	0.31	0.99	0.00
49.00	8.10	6.90	0.04	2.61	0.00	0.00	0.00	1.77	0.00	0.00	0.28	0.26	0.25	0.95	0.00	0.00	0.12	0.00	1.22	0.02
50.00	8.10	6.89	0.35	0.02	0.00	0.00	0.00	2.01	0.00	0.00	0.69	0.00	0.73	0.20	0.00	1.37	0.35	0.00	0.49	0.00
51.00	8.09	6.90	0.92	0.09	0.00	0.00	0.00	1.30	0.00	0.00	0.00	0.31	1.75	0.24	0.00	0.09	0.00	0.00	0.00	0.00
52.00	8.10	6.90	0.57	1.95	0.00	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.25	0.00	0.00	0.49
53.00	8.10	6.90	0.54	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.59	0.11	0.00
54.00	8.10	6.90	0.35	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.58	0.26	0.00
55.00	8.10	6.90	0.45	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.38	0.00	0.00	0.00	1.98	0.00	0.40	0.33	0.00
56.00	8.10	6.90	0.09	0.00	0.18	0.00	0.00	1.39	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.82	0.00	0.35	0.07	1.41
57.00	8.10	6.90	0.28	0.49	0.35	0.01	0.00	0.92	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.06	0.12	0.01	0.25	0.00
58.00	8.09	6.90	0.15	0.00	0.00	0.02	0.00	0.26	0.00	0.00	0.00	0.15	0.00	1.30	0.00	0.41	0.00	0.00	1.11	0.33
59.00	8.10	6.90	0.19	0.49	1.92	0.12	0.00	1.94	0.00	0.00	0.00	0.21	0.49	0.00	0.00	1.41	0.00	0.00	0.00	0.38
60.00	8.10	6.90	0.25	0.00	0.32	0.00	0.00	1.30	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.26	0.00	0.00	0.00	1.18
61.00	8.10	6.90	0.00	0.00	0.59	0.22	0.00	1.06	0.00	0.00	0.00	0.00	1.64	0.49	0.00	0.91	0.49	0.49	0.00	0.01
62.00	8.10	6.90	0.00	1.38	1.44	0.57	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.49	0.00	0.14
63.00	8.10	6.90	0.00	2.32	0.05	0.21	0.00	2.47	0.00	0.00	0.79	0.00	2.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00
64.00	8.09	6.90	0.44	3.01	0.00	0.00	0.00	2.46	0.00	0.00	0.12	0.00	1.12	0.00	0.00	1.21	0.47	0.00	0.00	1.93
65.00	8.10	6.90	0.02	1.83	0.39	0.00	0.00	1.95	0.00	0.00	0.00	0.40	1.93	0.99	0.00	0.95	0.44	0.00	0.00	0.00
66.00	8.10	6.89	0.47	0.00	0.08	0.00	0.00	2.26	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.39
67.00	8.10	6.90	0.05	1.34	1.88	0.00	0.00	0.92	0.00	0.00	0.00	0.69	0.95	0.00	0.00	0.00	0.00	0.38	0.00	0.60
68.00	8.10	6.90	0.47	0.00	2.58	0.00	0.00	1.33	0.00	0.00	0.00	0.89	1.48	0.00	0.00	1.13	0.00	2.05	0.00	2.03
69.00	8.10	6.90	0.78	0.99	3.06	0.00	0.00	0.99	0.00	0.00	0.00	0.57	0.93	0.00	0.00	1.13	0.00	0.00	0.00	0.39
70.00	8.09	6.90	0.29	3.16	1.86	0.00	0.00	2.50	0.00	0.00	0.00	0.26	0.00	0.00	0.00	2.77	1.39	0.00	0.00	0.21
71.00	8.10	6.90	0.27	0.02	0.25	0.48	0.00	0.01	0.00	0.00	0.00	0.00	0.49	1.24	0.00	0.45	0.12	0.00	1.07	1.60
72.00	8.10	6.90	0.54	1.79	0.08	0.40	0.00	0.99	0.00	0.00	0.07	0.34	1.28	0.48	0.00	1.41	0.00	1.95	0.00	0.09
73.00	8.10	6.90	0.09	0.99	0.33	0.02	0.00	1.44	0.00	0.00	0.49	0.05	0.47	1.37	0.00	0.49	0.00	0.72	0.07	0.75
74.00	8.10	6.90	0.12	0.00	1.26	0.25	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.14	0.14	0.13	1.50
75.00	8.10	6.90	0.09	2.19	1.95	0.19	0.00	1.98	0.00	0.00	0.00	0.11	0.49	0.95	0.00	0.77	0.00	0.00	0.35	0.00
76.00	8.09	6.90	0.05	1.33	0.07	0.14	0.00	2.00	0.00	0.00	0.00	0.02	0.19	0.45	0.00	0.49	0.99	2.40	0.00	0.75
77.00	8.10	6.90	0.02	0.00	3.34	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.07	0.00	0.00	1.68	0.05	0.00	0.09	0.00
78.00	8.10	6.90	0.01	1.78	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.38	0.00	0.00	0.52	0.71	0.00	0.32	0.49
79.00	8.10	6.90	0.22	2.10	1.73	0.00	0.00	1.63	0.00	0.00	0.00	0.08	1.02	1.22	0.00	0.00	0.00	0.29	0.95	0.66
80.00	8.10	6.90	0.21	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.85	0.73	0.00
81.00	8.10	6.90	0.11	1.19	0.00	0.00	0.00	1.02	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.57	0.00	1.17	0.04	0.00
82.00	8.10	6.89	0.65	1.51	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.07
83.00	8.09	6.90	0.42	1.01	2.48	0.02	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	1.79	0.60	0.00	1.01
84.00	8.10	6.90	0.04	0.66	0.00	0.01	0.00	1.78	0.00	0.00	0.00	0.05	0.00	0.40	0.00	0.97	1.35	2.77	0.37	0.00
85.00	8.10	6.90	0.60	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.00	0.00	0.12	0.04	0.53	0.00	0.00
86.00	8.10	6.90	0.08	1.97	0.00	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	2.14	0.00	1.20	0.01	0.38	0.00	0.00
87.00	8.10	6.90	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.05	0.00	0.00	2.67	0.00	1.77	0.77	1.70
88.00	8.10	6.90	0.09	0.99	0.00	0.11	0.00	0.95	0.00	0.00	0.00	0.35	0.00	0.49	0.00	0.99	0.75	0.00	2.10	0.24
89.00	8.09	6.90	0.01	0.00	0.00	0.87	0.00	2.26	0.00	0.00	0.00	0.01	0.00	0.99	0.00	0.41	0.00	2.41	1.18	0.07
90.00	8.10	6.90	0.16	0.00	1.11	0.12	0.00	2.94	0.00	0.00	0.00	0.18	2.32	2.60	0.00	0.33	0.49	1.24	0.26	1.47
91.00	8.10	6.90	0.57	1.45	0.00	0.38	0.00	0.51	0.00	0.00	0.00	0.26	1.42	2.68	0.00	1.73	0.00	0.00	1.32	2.16
92.00	8.10	6.90	0.48	0.49	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.07	0.51	1.87	0.00	0.00	1.39	1.73	0.84	0.00
93.00	8.10	6.90	0.09	0.00	0.72	0.42	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.49	0.00	1.27	0.00	0.72	0.13	0.24
94.00	8.10	6.90	0.00	0.00	0.35	0.52	0.00	0.01	0.00	0.00	0.00	0.00	2.04	1.75	0.00	0.35	0.00	0.00	0.00	0.02
95.00	8.09	6.90	0.53	0.00	2.66	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.35	0.00	0.00	1.06	0.46
96.00	8.10	6.90	1.32	1.40	2.00	0.00	0.00	0.49	0.00	0.00	0.24	0.00	1.72	0.00	0.00	0.64	0.00	0.00	1.02	0.02
97.00	8.10	6.90	0.48	0.00	0.72	0.29	0.00	0.99	0.00	0.00	0.00	0.00	0.15	2.46	0.00	0.00	0.00	0.00	0.13	0.84
98.00	8.10	6.89	0.54	0.00	0.05	0.05	0.00	0.37	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.59	0.01	0.49	2.04	0.00
99.00	8.10	6.90	0.24	0.00	0.00	0.05	0.00	0.49	0.00	0.00	0.00	0.12	0.00	0.00	0.00	1.04	0.85	0.91	2.06	0.01
100.00	8.10	6.90	0.00	1.42	2.65	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.81	0.00	1.51	1.46	0.68
101.00	8.09	6.90	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.05	0.75	1.78	0.00	0.00	0.00	0.09	2.37	0.00
102.00	8.10	6.90	0.24	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	2.38	1.02	1.86	0.00
103.00	8.10	6.90	0.35	3.19	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.49	0.00	0.00	2.11	1.81
104.00	8.10	6.90	0.07	1.38	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.64	0.57	1.58	0.00	0.20	1.21	1.30	1.08	0.19
105.00	8.10	6.90	0.00	1.99	0.00	0.00	0.00	1.27	0.00	0.00	0.00	0.68	0.99	0.00	0.00	0.49	0.00	0.00	0.52	0.02
106.00	8.10	6.90	0.02	0.00	0.00	0.21	0.38	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.15	0.00	0.00	0.68	0.35	0.40
107.00	8.10	6.90	0.00	0.00	0.00	0.00	0.42	1.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	2.56	0.99
108.00	8.09	6.90	0.00	0.00	0.33	0.00	0.37	1.25	0.00	0.00	0.00	0.07	0.00	1.41	0.00	1.27	0.00	0.92	1.34	1.42
109.00	8.10	6.90	0.14	0.49	1.54	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.49	0.00	1.39	1.60	2.33	0.00
110.00	8.10	6.90	0.00	0.49	0.00	0.00	0.01	1.28	0.00	0.00	0.00	0.02	0.00	0.02	0.00	1.83	0.00	0.09	0.15	0.00
111.00	8.10	6.90	0.05	1.64	2.24	0.00	0.00	0.28	0.00	0.00	0.00	0.29	0.01	0.01	0.00	0.00	0.00	0.00	1.98	0.00
112.00	8.10	6.90	0.51	1.07	1.42	0.00	0.99	2.33	0.00	0.00	0.47	0.00	0.54	0.00	0.00	2.92	1.44	0.49	0.00	0.00
113.00	8.10	6.90	0.14	0.00	0.69	0.00	0.00	2.84	0.00	0.00	0.00	0.00	0.37	0.00	0.00	1.22	0.99	0.00	0.00	0.00
114.00	8.09	6.89	0.00	2.23	4.06	0.00	2.20	0.38	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.44	0.45	2.80	0.00	0.00
115.00	8.10	6.90	0.00	0.00	0.00	0.00	0.75	0.47	0.00	0.00	0.26	0.00	0.09	0.99	0.00	0.49	0.41	0.00	0.00	0.15
