Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.340s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
30.00	6.61	6.61	3.50	0.52	4.23	0.00	0.00	0.00	3.53	1.94	0.05	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.05	0.00	1.38	0.00
31.00	6.59	6.59	0.00	0.00	0.51	0.00	0.00	0.00	5.48	1.77	1.18	0.00	0.00	0.00	0.78	0.00	0.00	0.00	0.00	0.53	0.00	0.49	0.00
32.00	6.61	6.61	0.00	0.11	0.00	0.00	0.00	0.00	5.39	4.30	2.97	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	1.73	0.00	0.52	0.00
33.00	6.59	6.59	0.00	0.49	0.68	0.00	0.00	0.00	5.41	2.34	3.49	0.00	0.00	0.04	1.63	0.00	0.00	0.00	0.00	0.08	0.00	2.23	0.00
34.00	6.61	6.61	0.00	0.00	0.75	0.00	0.00	0.00	4.79	2.70	2.04	0.00	0.00	0.00	1.19	0.00	0.00	0.00	0.00	0.80	0.00	0.53	0.00
35.00	6.59	6.59	0.66	0.00	0.00	0.00	0.00	0.00	0.00	1.86	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	1.11	0.00
36.00	6.61	6.61	0.99	0.00	0.00	0.00	0.00	0.00	1.88	2.59	0.48	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00
37.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.67	5.56	2.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	6.61	6.61	1.30	0.00	2.40	0.00	0.00	0.00	0.00	3.78	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00
39.00	6.59	6.59	3.94	0.00	0.49	0.00	0.00	0.00	4.88	3.10	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.36	0.00
40.00	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.00
41.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	3.16	0.54	1.54	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00
42.00	6.59	6.59	1.35	0.00	0.00	0.00	0.00	0.00	2.28	0.00	2.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	0.00	0.62	0.00
43.00	6.61	6.61	1.25	0.00	1.42	0.00	0.00	0.00	2.25	0.00	3.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.92	0.00
44.00	6.59	6.59	3.39	0.00	0.14	0.00	0.00	0.00	3.78	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.60	0.00
45.00	6.61	6.61	0.18	0.00	0.00	0.00	0.00	0.00	1.64	0.00	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.00	1.26	0.00
46.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.00	1.41	0.00
47.00	6.61	6.61	0.91	0.00	0.00	0.00	0.00	0.00	0.99	0.49	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	1.73	0.00
48.00	6.59	6.59	0.00	0.00	2.46	0.00	0.00	0.00	0.00	3.82	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	0.00
49.00	6.61	6.61	0.00	0.41	0.00	0.00	0.00	0.00	4.12	1.39	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.00
50.00	6.59	6.59	0.00	0.75	0.00	0.00	0.00	0.00	1.33	3.21	1.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00
51.00	6.61	6.61	0.33	0.00	1.66	0.00	0.00	0.00	0.00	1.22	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.51	0.00
52.00	6.59	6.59	2.26	0.00	0.94	0.00	0.00	0.00	0.00	0.47	3.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.22	0.00
53.00	6.61	6.61	1.27	0.00	0.00	0.00	0.00	0.00	0.00	1.70	3.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.00	1.91	0.00
54.00	6.59	6.59	2.23	0.00	0.00	0.00	0.00	0.00	0.49	3.29	3.90	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.54	0.00	0.34	0.00
55.00	6.59	6.59	0.00	1.51	0.00	0.00	0.00	0.00	0.00	2.65	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.96	0.00
56.00	6.61	6.61	0.94	0.00	0.00	0.00	0.00	0.00	1.42	2.25	2.27	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	1.47	0.00
57.00	6.59	6.59	1.30	0.00	4.26	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.31	0.00
58.00	6.61	6.61	0.00	0.00	1.61	0.00	0.00	0.00	1.28	0.00	2.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	0.00
59.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.66	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.00
60.00	6.61	6.61	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	4.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00
61.00	6.59	6.59	0.64	0.00	0.00	0.00	0.00	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.93	0.00
62.00	6.61	6.61	1.59	0.00	2.64	0.00	0.00	0.00	0.79	0.00	4.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00
63.00	6.59	6.59	3.44	0.00	0.68	0.00	0.00	0.00	3.04	1.45	4.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.92	0.00
64.00	6.61	6.61	0.00	0.55	0.31	0.00	0.00	0.00	0.00	2.45	1.71	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.37	0.00
65.00	6.59	6.59	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00
66.00	6.61	6.61	0.02	0.51	3.44	0.00	0.00	0.00	0.00	1.14	5.63	0.00	0.00	0.24	0.00	0.00	0.00	0.01	0.00	0.92	0.00	1.40	0.00
67.00	6.59	6.59	0.00	0.44	0.00	0.00	0.00	0.00	0.00	1.54	2.46	0.00	0.00	0.25	1.31	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00
68.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	2.21	3.23	2.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.31	0.00
69.00	6.61	6.61	0.00	0.00	0.69	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
70.00	6.59	6.59	0.00	0.00	1.48	0.00	0.00	0.00	4.20	0.09	4.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
71.00	6.61	6.61	0.00	1.90	1.27	0.00	0.00	0.00	2.33	2.14	0.99	0.00	0.00	1.45	0.00	0.00	0.00	0.32	0.00	0.00	0.00	2.21	0.00
72.00	6.59	6.59	2.61	0.08	0.00	0.00	0.00	0.00	0.66	1.40	3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00
73.00	6.61	6.61	0.64	0.00	0.49	0.00	0.00	0.00	4.23	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00
74.00	6.59	6.59	0.00	0.37	0.00	0.00	0.00	0.00	3.40	1.25	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.89	0.00
75.00	6.61	6.61	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.12	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.07	0.00	1.24	0.00
76.00	6.59	6.59	1.53	0.00	0.00	0.00	0.00	0.00	1.34	0.88	2.81	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.61	0.00	3.24	0.00
77.00	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.49	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00
78.00	6.59	6.59	0.00	0.00	1.85	0.00	0.00	0.00	2.73	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00
79.00	6.61	6.61	0.31	0.00	0.00	0.00	0.00	0.00	1.24	0.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	0.00
80.00	6.59	6.59	3.62	0.00	0.00	0.00	0.00	0.00	2.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	0.00
81.00	6.59	6.59	0.98	0.00	2.27	0.00	0.00	0.00	0.00	2.33	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00
82.00	6.61	6.61	1.64	0.06	0.00	0.00	0.00	0.00	3.44	0.00	4.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	0.00	2.17	0.00
83.00	6.59	6.59	0.02	1.21	3.18	0.00	0.00	0.00	1.83	2.53	3.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.32	0.00
84.00	6.61	6.61	0.51	0.25	0.00	0.00	0.00	0.00	0.00	3.92	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.00
85.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	1.15	0.00
86.00	6.61	6.61	0.60	1.81	0.00	0.00	0.00	0.00	0.00	2.36	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	2.05	0.00
87.00	6.59	6.59	0.00	0.41	0.00	0.00	0.00	0.00	0.00	3.71	0.31	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.99	0.00
88.00	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.49	5.10	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	1.95	0.00
89.00	6.59	6.59	1.27	0.00	0.00	0.00	0.00	0.00	3.37	0.91	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00
90.00	6.61	6.61	0.97	0.89	1.79	0.00	0.00	0.00	5.43	2.26	3.52	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.67	0.00	1.14	0.00
91.00	6.59	6.59	0.31	0.73	0.99	0.00	0.00	0.00	2.72	2.98	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.39	0.00	3.32	0.00
92.00	6.61	6.61	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.59	4.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	2.39	0.00
93.00	6.59	6.59	0.00	0.21	2.92	0.00	0.00	0.00	3.66	2.31	2.78	0.00	0.00	0.07	0.28	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00
94.00	6.59	6.59	0.33	0.00	1.39	0.00	0.00	0.00	5.26	2.36	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00
95.00	6.61	6.61	0.31	0.00	1.48	0.00	0.00	0.00	1.40	0.00	2.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	0.00	1.42	0.00
96.00	6.59	6.59	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.78	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	1.06	0.00
97.00	6.61	6.61	0.33	0.00	2.47	0.00	0.00	0.00	1.48	3.10	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
98.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.36	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
99.00	6.61	6.61	0.00	3.05	1.46	0.00	0.00	0.00	0.00	4.13	2.21	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.35	0.00	1.98	0.00
