Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.033s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
65.00	8.70	8.10	0.31	0.69	0.00	2.04	0.00	3.44	0.00	2.08
66.00	8.70	8.10	0.60	0.02	0.00	0.66	0.00	4.04	0.00	4.09
67.00	8.70	8.10	5.52	0.24	0.00	1.70	0.95	1.12	0.00	0.65
68.00	8.69	8.10	2.46	0.00	0.00	0.00	0.00	3.24	0.00	4.19
69.00	8.70	8.10	2.99	0.00	0.00	2.06	0.00	3.93	0.00	2.25
70.00	8.70	8.09	7.90	0.00	0.00	4.17	0.47	0.00	0.00	2.63
71.00	8.70	8.10	5.59	0.21	0.00	0.37	0.31	0.42	0.00	1.18
72.00	8.70	8.10	5.58	0.00	0.00	0.02	0.00	0.42	0.00	3.39
73.00	8.69	8.10	7.80	0.00	0.00	4.06	0.28	1.50	0.00	4.00
74.00	8.70	8.10	7.75	0.49	0.00	1.95	0.65	0.84	0.00	3.23
75.00	8.70	8.10	7.83	0.00	0.00	4.26	0.02	0.00	0.00	1.94
76.00	8.70	8.09	1.53	0.52	0.00	1.90	0.39	1.60	0.00	0.33
77.00	8.70	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.26
78.00	8.69	8.10	0.49	0.00	0.00	0.00	0.00	0.64	0.00	0.00
79.00	8.70	8.10	7.07	0.00	0.00	0.00	0.00	0.00	0.00	2.19
80.00	8.70	8.10	5.82	0.00	0.00	0.00	0.00	0.31	0.00	4.25
81.00	8.70	8.10	6.15	0.00	0.00	0.00	0.00	2.23	0.00	3.26
82.00	8.70	8.10	0.67	0.00	0.00	0.86	0.44	1.58	0.00	4.05
83.00	8.69	8.09	8.43	0.26	0.00	1.32	0.00	0.05	0.00	3.57
84.00	8.70	8.10	5.39	0.52	0.00	1.34	0.02	0.53	0.00	4.19
85.00	8.70	8.10	0.32	0.00	0.00	0.04	0.00	1.01	0.00	4.16
86.00	8.70	8.10	1.31	0.13	0.00	0.66	0.07	0.87	0.00	1.68
87.00	8.70	8.10	4.16	0.13	0.00	1.65	0.00	0.18	0.00	2.56
88.00	8.69	8.10	1.84	0.00	0.00	2.43	0.11	0.00	0.00	0.00
89.00	8.70	8.09	0.21	0.01	0.00	1.40	0.45	0.02	0.00	2.87
90.00	8.70	8.10	4.77	0.00	0.00	0.87	0.00	0.39	0.00	2.19
91.00	8.70	8.10	6.09	0.04	0.00	0.44	0.00	2.03	0.00	1.46
92.00	8.69	8.10	7.77	0.00	0.00	0.00	0.00	2.24	0.00	2.23
93.00	8.70	8.10	7.81	0.60	0.00	1.45	0.00	4.82	0.00	2.87
94.00	8.70	8.10	7.78	3.40	0.00	0.00	0.00	3.19	0.00	1.40
95.00	8.70	8.09	7.82	1.80	0.00	0.00	0.00	4.18	0.00	4.92
96.00	8.70	8.10	4.99	3.57	0.00	2.66	0.00	2.51	0.00	1.71
97.00	8.69	8.10	0.00	0.27	0.00	2.80	0.00	3.18	0.00	3.91
98.00	8.70	8.10	0.00	0.00	0.00	3.44	1.64	2.92	0.00	3.23
99.00	8.70	8.10	7.67	0.60	0.00	0.00	0.00	3.06	0.00	1.59
100.00	8.70	8.10	7.81	0.40	0.00	0.00	0.00	5.08	0.00	0.61
101.00	8.70	8.09	7.80	1.11	0.00	0.00	0.00	4.72	0.00	1.25
102.00	8.69	8.10	5.58	0.34	0.00	0.00	0.00	0.32	0.00	3.74
103.00	8.70	8.10	0.00	1.12	0.00	0.00	0.00	4.55	0.00	4.36
104.00	8.70	8.10	0.00	0.37	0.00	0.28	0.00	2.56	0.00	4.17
105.00	8.70	8.10	0.00	0.72	0.00	2.38	0.62	1.64	0.00	3.51
106.00	8.70	8.10	0.00	0.00	0.00	3.54	3.03	3.57	0.00	4.23
107.00	8.69	8.10	5.33	0.06	0.00	0.35	0.01	2.21	0.00	3.52
108.00	8.70	8.09	7.73	2.51	0.00	1.34	0.00	3.33	0.00	1.46
109.00	8.70	8.10	7.76	0.00	0.00	0.00	0.00	0.81	0.00	1.24
110.00	8.70	8.10	7.80	0.00	0.00	0.00	0.00	1.31	0.00	4.15
111.00	8.69	8.10	7.73	1.24	0.00	0.48	0.00	4.68	0.00	3.06
112.00	8.70	8.10	7.81	0.34	0.00	0.98	0.00	1.79	0.00	0.00
113.00	8.70	8.10	7.18	0.26	0.00	1.32	0.00	1.35	0.00	2.11
114.00	8.70	8.09	4.45	2.94	0.00	3.97	0.00	2.72	0.00	1.39
115.00	8.70	8.10	3.63	0.00	0.00	0.86	0.00	0.89	0.07	1.06
116.00	8.69	8.10	7.81	1.72	0.00	1.34	0.00	1.80	0.19	0.79
117.00	8.70	8.10	4.56	0.00	0.00	0.00	0.00	0.00	0.00	3.25
118.00	8.70	8.10	7.85	0.02	0.00	0.00	0.00	0.00	0.04	4.02
119.00	8.70	8.10	7.80	1.74	0.00	0.00	0.00	1.78	0.07	1.77
10.2.1.2	8.87	8.33
10.2.1.3	8.25	7.98
10.1.1.3	4.70	76901.72
10.1.1.4	0.46	497695.55
10.1.1.5	0	0
10.1.1.6	1.31	206868.86
10.1.1.7	0.23	587631.65
10.1.1.8	1.59	181266.00
10.1.1.9	0.01	271160.83
10.1.1.10	2.54	97227.33
