Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.085s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
48.00	7.20	6.90	6.30	0.33	0.82	0.00	1.13	0.73	0.49	0.33	0.45	0.07	0.00	0.00
49.00	7.20	6.90	6.30	0.07	2.67	0.00	0.01	3.44	1.07	0.72	1.11	0.49	0.00	0.00
50.00	7.21	6.89	6.30	0.53	0.00	0.00	0.00	3.16	0.00	0.89	0.47	0.49	0.00	0.00
51.00	7.20	6.90	6.30	0.52	0.00	0.64	0.37	2.61	0.02	0.80	0.09	1.58	0.00	0.00
52.00	7.21	6.90	6.30	0.97	1.32	0.49	0.49	1.42	0.37	0.38	0.78	1.81	0.00	0.00
53.00	7.20	6.90	6.30	0.57	1.26	0.16	0.00	4.07	0.40	0.45	0.94	1.47	0.00	0.00
54.00	7.20	6.90	6.30	0.41	0.05	0.00	0.00	0.75	0.99	0.29	0.52	0.26	0.00	0.00
55.00	7.21	6.90	6.30	0.55	1.73	0.00	0.85	1.61	1.31	0.00	1.04	1.67	0.00	0.00
56.00	7.20	6.90	6.30	0.61	3.80	0.00	1.31	3.46	1.12	1.34	0.73	1.13	0.00	0.00
57.00	7.21	6.90	6.30	0.67	1.45	1.95	0.00	3.14	0.14	0.25	0.57	1.93	0.00	0.00
58.00	7.20	6.90	6.30	0.12	0.00	1.20	0.71	1.67	0.31	0.66	0.82	1.98	0.00	0.00
59.00	7.20	6.90	6.30	2.01	2.18	0.86	0.00	2.54	0.00	0.00	0.12	1.39	0.00	0.00
60.00	7.21	6.90	6.30	0.49	2.64	0.33	0.80	1.57	0.81	0.75	0.31	0.31	0.00	0.00
61.00	7.20	6.90	6.30	0.38	2.58	0.00	0.00	2.56	0.74	0.85	1.17	1.53	0.00	0.00
62.00	7.21	6.90	6.30	1.12	0.15	0.00	0.00	0.68	0.78	0.49	0.73	0.87	0.00	0.00
63.00	7.20	6.90	6.30	0.79	0.99	0.00	1.90	1.37	1.21	0.78	0.54	3.37	0.00	0.00
64.00	7.21	6.90	6.30	1.25	3.09	0.00	0.12	2.61	1.01	1.07	0.00	0.55	0.00	0.00
65.00	7.20	6.90	6.30	0.31	0.64	0.00	0.00	3.29	1.98	0.61	0.25	0.08	0.00	0.00
66.00	7.20	6.89	6.30	0.45	0.00	1.13	0.99	1.20	1.12	0.80	0.37	0.61	0.00	0.00
67.00	7.21	6.90	6.30	0.42	0.00	0.15	0.00	4.92	1.07	0.91	0.73	0.51	0.00	0.00
68.00	7.20	6.90	6.30	0.71	0.00	0.00	0.49	4.82	0.64	0.47	0.27	1.73	0.00	0.00
69.00	7.21	6.90	6.30	0.37	0.86	0.01	0.00	3.31	0.35	0.00	1.21	1.64	0.00	0.00
70.00	7.20	6.90	6.30	0.00	1.83	0.34	0.52	1.07	0.52	0.00	0.00	2.60	0.00	0.00
71.00	7.20	6.90	6.30	0.00	2.39	1.27	2.46	2.24	0.05	2.01	1.01	2.80	0.00	0.00
72.00	7.21	6.90	6.30	0.62	2.31	1.48	0.00	2.30	0.00	2.14	0.86	1.99	0.00	0.00
73.00	7.20	6.90	6.30	0.69	0.02	0.07	0.00	5.32	0.00	1.22	1.67	0.00	0.00	0.00
74.00	7.21	6.90	6.30	0.38	2.70	0.79	1.18	2.11	0.00	0.71	0.35	1.31	0.00	0.00
75.00	7.20	6.90	6.29	0.51	5.64	0.92	0.26	3.74	0.00	0.59	0.71	0.00	0.00	0.00
76.00	7.20	6.90	6.30	0.00	1.63	0.00	0.44	5.19	0.01	0.97	1.01	2.50	0.00	0.00
77.00	7.21	6.90	6.30	0.02	1.84	0.35	0.00	4.27	0.05	0.21	1.34	0.99	0.00	0.00
78.00	7.20	6.90	6.30	0.28	0.13	0.00	0.00	0.99	0.35	1.98	0.51	1.98	0.00	0.00
79.00	7.21	6.90	6.30	0.00	2.30	1.11	0.00	0.00	0.00	0.33	0.09	0.00	0.00	0.00
80.00	7.20	6.90	6.30	0.22	1.57	1.41	0.39	1.46	0.05	0.16	0.24	2.39	0.00	0.00
81.00	7.21	6.90	6.30	0.60	3.03	0.37	0.37	2.19	0.01	0.69	0.94	1.31	0.00	0.00
82.00	7.20	6.89	6.30	1.12	2.78	2.39	0.00	3.03	0.07	0.93	0.26	0.45	0.00	0.00
83.00	7.20	6.90	6.30	0.00	1.45	2.03	0.00	1.83	0.49	0.59	0.35	1.32	0.00	0.00
84.00	7.21	6.90	6.30	0.00	1.55	0.62	0.00	0.00	0.09	0.31	0.14	1.46	0.00	0.00
85.00	7.20	6.90	6.30	0.29	1.44	0.25	0.72	3.87	0.00	0.05	0.71	1.31	0.00	0.00
86.00	7.21	6.90	6.30	0.80	2.70	1.42	0.00	2.92	1.15	0.29	0.00	0.00	0.00	0.00
87.00	7.20	6.90	6.30	0.71	1.65	0.48	2.28	1.55	0.40	1.70	0.00	2.56	0.00	0.00
88.00	7.20	6.90	6.30	0.05	0.67	0.38	0.00	1.88	2.03	0.85	0.94	1.18	0.00	0.00
89.00	7.21	6.90	6.30	0.81	0.99	0.71	0.00	2.01	0.48	0.45	0.42	0.68	0.00	0.00
90.00	7.20	6.90	6.30	0.33	1.85	0.93	0.37	2.56	1.37	1.44	1.51	0.00	0.00	0.00
91.00	7.21	6.90	6.30	0.02	1.65	0.60	0.00	2.38	3.71	1.24	0.57	0.04	0.00	0.00
92.00	7.20	6.90	6.30	0.07	0.15	0.00	1.24	2.03	0.12	0.40	0.80	0.11	0.00	0.00
93.00	7.21	6.90	6.30	0.00	0.00	0.78	0.00	1.86	0.85	1.41	0.28	2.31	0.00	0.00
94.00	7.20	6.90	6.30	0.95	0.00	0.51	0.00	0.20	0.99	0.64	1.42	2.50	0.00	0.00
95.00	7.20	6.90	6.30	1.06	0.00	2.81	1.32	1.05	0.00	0.39	0.77	3.23	0.00	0.00
96.00	7.21	6.90	6.30	0.68	4.95	0.91	0.00	1.65	0.00	0.00	0.42	2.32	0.00	0.00
97.00	7.20	6.90	6.30	1.60	0.80	0.00	0.07	1.46	0.00	1.00	1.02	0.41	0.00	0.00
98.00	7.21	6.89	6.30	0.28	3.63	0.00	0.14	1.60	1.58	0.71	0.49	0.87	0.00	0.00
99.00	7.20	6.90	6.30	1.65	2.89	0.58	0.00	1.81	0.00	1.90	0.62	0.06	0.00	0.00
100.00	7.20	6.90	6.30	0.91	2.66	0.00	0.00	0.00	0.26	0.00	2.67	0.38	0.00	0.00
101.00	7.21	6.90	6.30	0.46	1.61	1.74	0.00	1.75	0.40	1.34	0.14	1.87	0.00	0.00
102.00	7.20	6.90	6.30	0.80	1.30	0.00	0.89	0.00	0.58	0.78	1.39	0.80	0.00	0.00
103.00	7.21	6.90	6.30	0.01	2.78	0.00	0.00	3.64	2.03	0.92	0.13	0.19	0.00	0.00
104.00	7.20	6.90	6.30	0.46	2.40	0.00	0.25	3.03	1.72	1.46	0.68	1.15	0.00	0.00
105.00	7.20	6.90	6.30	0.24	2.92	2.57	0.00	0.00	0.51	0.80	0.77	1.72	0.00	0.00
106.00	7.21	6.90	6.30	0.51	2.85	0.00	0.00	1.42	0.00	0.62	1.47	0.00	0.00	1.15
107.00	7.20	6.90	6.30	0.65	0.49	0.00	0.00	0.00	0.46	0.06	0.00	0.00	0.00	0.04
108.00	7.21	6.90	6.30	0.65	2.26	0.00	0.97	0.00	0.02	0.20	1.95	1.40	0.00	1.45
109.00	7.20	6.90	6.30	0.25	1.48	0.00	0.28	1.18	0.31	0.14	0.00	1.18	0.00	0.13
110.00	7.21	6.90	6.30	0.02	4.51	0.00	0.00	0.00	1.41	1.14	1.11	0.00	0.54	1.78
111.00	7.20	6.90	6.30	0.53	0.00	0.00	0.00	0.00	1.85	1.13	0.99	0.00	0.00	2.31
112.00	7.20	6.90	6.30	0.00	3.70	0.00	1.07	0.00	0.99	0.37	0.00	0.00	0.00	0.28
113.00	7.21	6.90	6.30	1.33	4.73	0.00	0.00	0.00	0.05	1.00	0.04	0.00	0.00	1.97
114.00	7.20	6.89	6.30	0.98	3.53	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	3.59
115.00	7.21	6.90	6.30	0.49	2.38	0.00	0.69	0.00	1.64	1.54	2.07	0.31	0.84	2.37
116.00	7.20	6.90	6.30	0.42	2.38	1.42	0.00	0.99	0.87	0.72	1.57	3.13	0.94	0.00
117.00	7.20	6.90	6.30	1.46	1.65	0.99	0.04	0.00	1.14	0.74	1.64	0.00	0.35	0.42
118.00	7.21	6.90	6.30	0.08	0.00	1.07	0.00	0.89	0.02	0.33	0.49	0.49	0.00	0.06
119.00	7.20	6.90	6.30	0.97	0.28	0.00	0.49	0.00	2.72	0.16	0.00	0.00	0.00	0.00
10.2.1.2	7.34	9.09
10.2.1.3	7.03	8.02
10.2.1.4	6.42	8.56
10.1.1.4	0.47	667271.75
10.1.1.5	1.77	242377.68
10.1.1.6	0.63	315302.36
10.1.1.7	0.42	206259.69
10.1.1.8	1.90	129393.51
10.1.1.9	0.60	388774.61
10.1.1.10	0.68	541457.32
10.1.1.11	0.71	464683.27
10.1.1.12	1.23	230998.78
10.1.1.13	0.35	67398.98
10.1.1.14	1.22	67005.46
