Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
33.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	1.30	0.00	0.00	3.13	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	1.35
34.00	8.10	8.10	0.00	0.00	0.00	0.07	0.00	0.00	2.78	0.00	3.43	0.00	0.00	0.00	0.00	0.00	0.25	0.31	0.02	0.00	0.58
35.00	8.10	8.10	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	1.87	0.00	1.83	0.00	0.00	0.77	0.00	0.00	0.00	0.14	0.08	0.00	1.47
37.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	3.56	2.73	0.00	4.75	0.00	0.00	0.92	0.00	0.00	0.00	0.68	0.00	0.00	0.95
38.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.60	1.14	0.00	2.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00	2.58	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.48	0.00	1.14
40.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.99	1.38	0.00	2.28	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.09	0.00	1.38
41.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	3.19	2.11	0.00	3.49	0.00	0.00	0.00	0.00	0.00	0.05	1.01	0.07	0.00	0.71
42.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.51	2.24	0.00	5.56	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.16	0.00	0.95
43.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.34	3.18	0.00	3.50	0.00	0.00	0.00	0.00	0.00	0.80	0.92	0.00	0.19	2.51
44.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	3.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	1.19
45.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	2.59	0.11	0.01	2.54	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	1.87
46.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	2.84	0.00	3.78	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.42	0.00	0.98
47.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	4.12	3.66	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.74
48.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.86	2.94	0.00	1.61	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.40	0.00	1.83
49.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.73	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59
50.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.89	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	1.02
51.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	2.26	2.18	0.00	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52
52.00	8.10	8.10	0.00	0.00	0.00	0.80	0.00	1.74	1.37	0.00	3.36	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.06	0.00	1.05
53.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.30	1.41	0.00	2.81	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	2.12
54.00	8.10	8.10	0.00	0.00	0.00	0.14	0.00	2.85	1.70	0.00	1.15	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.25
55.00	8.10	8.10	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	3.16	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	1.17
56.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.58	2.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58
57.00	8.10	8.10	0.00	0.00	0.00	0.29	0.00	2.24	3.19	0.00	3.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80
58.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	1.80	2.41	0.00	3.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	2.21
59.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.28	1.53	0.00	2.76	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	1.19
60.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.48	4.10	0.00	1.45	0.00	0.00	0.33	0.00	0.00	0.00	0.75	0.00	0.00	0.74
61.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.80
62.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.13	0.35	0.00	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.31
63.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.27	1.51	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.92
64.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	2.00	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	1.26
65.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	3.77	0.00	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.68	0.00	1.21
66.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.00	4.75	0.00	0.00	0.24	0.00	0.00	0.00	0.00	1.12	0.00	0.87
67.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	4.47	0.00	0.00	0.91	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.22
68.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	2.43	0.00	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	1.30
69.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	3.98	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.06
70.00	8.09	8.09	0.00	0.00	0.00	1.44	0.00	4.03	2.11	0.00	4.85	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	1.41
71.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.41	3.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.19
72.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	3.66	2.37	0.00	2.98	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	1.27
73.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.27	3.32	0.00	1.79	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.02	0.00	0.44
74.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.19	2.52	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.71
75.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.53	2.21	0.00	0.65	0.00	0.00	1.53	0.00	0.00	0.00	1.06	0.20	0.00	1.53
76.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	2.06	2.71	0.00	1.51	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.94	0.00	0.82
77.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	1.90	1.17	0.00	0.92	0.00	0.00	0.31	0.00	0.00	0.00	0.28	0.00	0.00	0.84
