Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
60.00	6.90	6.90	6.90	0.00	6.01	0.00	0.00	5.70	0.00	5.08	0.00
61.00	6.90	6.90	6.90	0.02	5.99	0.00	0.00	1.65	0.00	5.11	0.00
62.00	6.90	6.90	6.90	0.20	6.01	0.00	0.00	0.00	0.00	5.09	0.00
63.00	6.90	6.90	6.90	1.93	4.83	0.00	0.00	4.35	0.00	3.54	0.00
64.00	6.90	6.90	6.90	0.00	2.14	0.00	0.00	2.81	0.00	3.86	0.00
65.00	6.90	6.90	6.89	0.00	0.00	0.00	0.00	5.70	0.00	5.09	0.00
66.00	6.89	6.89	6.90	0.00	3.40	0.00	0.00	5.70	0.00	5.10	0.00
67.00	6.90	6.90	6.90	0.00	5.99	0.00	0.00	5.70	0.00	5.10	0.00
68.00	6.90	6.90	6.90	0.61	1.47	0.00	0.00	5.70	0.00	4.91	0.00
69.00	6.90	6.90	6.90	0.00	0.00	0.00	0.00	5.70	0.00	4.95	0.00
70.00	6.90	6.90	6.90	0.00	0.00	0.00	0.00	5.70	0.00	5.10	0.00
71.00	6.90	6.90	6.90	0.00	1.37	0.00	0.00	5.32	0.00	5.00	0.00
72.00	6.90	6.90	6.90	3.71	3.42	0.00	0.00	1.92	0.00	4.23	0.00
73.00	6.90	6.90	6.90	6.29	0.00	0.00	0.00	5.69	0.00	5.11	0.00
74.00	6.90	6.90	6.90	1.59	0.49	0.00	0.00	5.09	0.00	4.79	0.00
