Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.953s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
59.00	8.10	8.10	6.30	0.00	5.70	5.41	5.41	5.41	5.41	3.59	0.00
60.00	8.10	8.10	6.30	0.00	5.71	5.39	5.39	5.39	5.39	3.60	0.00
61.00	8.10	8.10	6.30	0.00	5.69	5.41	5.41	5.39	5.41	3.60	0.00
62.00	8.10	8.10	6.30	0.00	5.71	5.39	0.01	5.41	5.39	3.59	0.00
63.00	8.10	8.10	6.30	0.00	5.70	5.41	0.00	5.41	5.41	3.60	0.00
64.00	8.09	8.09	6.30	0.00	5.69	5.41	0.00	5.39	5.41	3.60	0.00
65.00	8.10	8.10	6.30	0.00	5.71	5.39	0.00	5.41	5.39	3.60	0.00
66.00	8.10	8.10	6.30	0.00	5.70	5.41	0.00	5.41	5.41	3.59	0.00
67.00	8.10	8.10	6.30	0.00	5.70	5.39	0.00	5.39	5.39	3.60	0.00
68.00	8.10	8.10	6.30	0.00	5.70	5.41	0.00	5.41	5.41	3.60	0.00
69.00	8.10	8.10	6.30	0.00	5.70	5.41	0.00	5.39	5.41	3.59	0.00
70.00	8.09	8.09	6.30	0.00	5.70	5.39	0.00	5.41	5.39	3.60	0.00
71.00	8.10	8.10	6.30	0.00	5.70	5.41	0.00	5.39	5.41	3.60	0.00
72.00	8.10	8.10	6.30	0.00	5.70	5.39	0.00	5.41	5.39	3.60	0.00
73.00	8.10	8.10	6.30	0.00	5.26	4.99	0.00	4.77	4.62	3.37	0.00
74.00	8.10	8.10	6.30	3.38	0.00	0.00	1.12	1.78	0.99	0.26	0.00
75.00	8.10	8.10	6.29	0.40	1.30	0.00	0.95	0.75	0.35	0.72	0.00
76.00	8.09	8.09	6.30	1.15	0.38	0.06	0.91	2.36	1.40	0.02	0.00
77.00	8.10	8.10	6.30	3.27	0.00	0.46	1.57	4.88	4.90	2.92	0.00
78.00	8.10	8.10	6.30	6.01	0.00	5.39	0.00	5.39	5.39	3.60	0.00
79.00	8.10	8.10	6.30	5.99	0.00	5.41	0.00	5.41	5.41	3.60	0.00
80.00	8.10	8.10	6.30	6.01	0.00	5.41	0.00	5.39	5.41	3.59	0.00
81.00	8.10	8.10	6.30	5.99	0.00	5.39	0.00	5.41	5.39	3.60	0.00
82.00	8.10	8.10	6.30	5.99	0.00	5.38	0.00	5.41	5.39	3.59	0.00
83.00	8.09	8.09	6.30	6.01	0.00	5.42	0.00	5.39	5.41	3.60	0.00
84.00	8.10	8.10	6.30	6.01	0.00	5.41	0.00	5.39	5.41	3.60	0.00
85.00	8.10	8.10	6.30	5.99	0.00	5.39	0.00	5.41	5.39	3.60	0.00
86.00	8.10	8.10	6.30	5.99	0.00	5.41	0.00	5.41	5.41	3.59	0.00
87.00	8.10	8.10	6.30	6.01	0.00	5.39	0.00	5.39	5.41	3.60	0.00
88.00	8.10	8.10	6.30	6.01	0.00	5.41	0.00	5.41	5.39	3.59	0.00
89.00	8.09	8.09	6.30	5.99	0.00	5.41	0.00	5.41	5.41	3.60	0.00
90.00	8.10	8.10	6.30	6.01	0.00	5.39	0.00	5.39	5.39	3.60	0.00
91.00	8.10	8.10	6.30	5.99	0.00	5.41	0.00	5.41	5.41	3.60	0.00
92.00	8.10	8.10	6.30	5.99	0.00	5.39	0.00	5.39	5.39	3.60	0.00
93.00	8.10	8.10	6.30	6.01	0.00	5.41	0.00	5.41	5.41	3.59	0.00
94.00	8.10	8.10	6.30	6.01	0.00	5.39	0.00	5.39	5.41	3.60	0.00
95.00	8.09	8.09	6.30	5.99	0.00	0.02	0.00	5.41	5.39	3.60	0.00
96.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.39	5.41	3.59	0.00
97.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.41	5.39	3.60	0.00
98.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.41	3.60	0.00
99.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.39	5.39	3.60	0.00
100.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.41	3.59	0.00
101.00	8.09	8.09	6.30	5.99	0.00	0.00	0.00	5.39	5.39	3.60	0.00
102.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.41	5.41	3.60	0.00
103.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.39	5.39	3.59	0.00
104.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.41	3.60	0.00
105.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.39	5.41	3.60	0.00
106.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.39	3.59	3.42
107.00	8.10	8.09	6.30	5.99	0.00	0.00	0.00	5.39	5.41	3.60	3.59
108.00	8.09	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.39	3.60	3.60
109.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.39	5.41	3.60	3.60
110.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.39	3.59	3.59
111.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.41	5.41	3.60	3.60
112.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.39	5.41	3.60	3.60
113.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.41	5.39	3.59	3.59
114.00	8.09	8.09	6.30	6.01	0.00	0.00	0.00	5.41	5.41	3.60	3.60
115.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.39	5.39	3.60	3.60
116.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.39	5.41	3.60	3.60
117.00	8.10	8.10	6.30	6.01	0.00	0.00	0.00	5.41	5.39	3.59	3.59
118.00	8.10	8.10	6.30	5.99	0.00	0.00	0.00	5.41	5.41	3.60	3.60
