Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.086s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
36.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.28	0.73	0.00	0.00	0.11	0.00	1.41	0.00	0.00	1.40	0.38	0.24
37.00	7.49	7.20	0.00	0.00	0.00	0.00	0.00	0.95	1.61	0.00	0.00	0.57	0.00	0.49	0.00	0.00	1.34	0.00	0.26
38.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.40
39.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.89	0.00	0.28
40.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.28	0.24
41.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.28
42.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.40	0.24
43.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.71	0.49	0.00	0.00	0.49	0.00	0.68	0.00	0.00	1.41	0.47	0.42
44.00	7.50	7.20	0.00	0.00	0.00	0.00	0.59	0.47	2.18	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	0.14	0.24
45.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
46.00	7.49	7.20	0.00	0.00	0.00	0.00	0.53	2.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47.00	7.50	7.21	0.00	0.00	0.00	0.05	0.89	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.07
48.00	7.50	7.20	0.00	0.00	0.00	0.00	0.55	0.09	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.71	0.99	0.00	0.16
49.00	7.50	7.20	0.00	0.00	0.00	0.00	0.01	3.64	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.99	0.00	0.28
50.00	7.50	7.21	0.00	0.00	0.00	0.00	2.28	1.10	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.39	1.93	0.00	0.00
51.00	7.50	7.20	0.00	0.00	0.00	0.19	0.00	1.25	0.21	0.00	0.00	0.00	0.00	3.56	0.00	0.34	0.49	0.00	0.33
52.00	7.50	7.21	0.00	0.00	0.00	0.00	0.49	2.38	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.73	0.49	1.01	0.38
53.00	7.50	7.20	0.00	0.00	0.00	0.00	0.99	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	2.51	0.69	0.68
54.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.97	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.33
55.00	7.49	7.21	0.00	0.00	0.00	0.00	0.00	1.05	0.99	0.00	0.00	2.24	0.00	0.99	0.00	0.85	0.19	0.00	0.42
56.00	7.50	7.20	0.00	0.00	0.00	0.00	0.12	0.37	0.49	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.99	2.41	0.40
57.00	7.50	7.21	0.00	0.00	0.00	0.01	0.80	0.04	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.22	2.04	0.00	0.24
58.00	7.50	7.20	0.00	0.00	0.00	0.01	0.01	0.78	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.34	0.00	0.35
59.00	7.50	7.20	0.00	0.00	0.00	0.00	0.24	1.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.22	0.09
60.00	7.50	7.21	0.00	0.00	0.00	0.00	2.96	1.78	0.00	0.00	0.00	0.00	0.00	1.81	0.00	0.00	1.35	0.91	0.55
61.00	7.50	7.20	0.00	0.00	0.00	0.02	0.58	0.71	0.00	0.00	0.00	0.49	0.00	0.01	0.00	0.07	0.41	0.86	0.67
62.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.55	0.00	1.50
63.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.54	0.00	0.00	0.00
64.00	7.49	7.21	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.26	0.74	1.68
65.00	7.50	7.20	0.00	0.00	0.00	0.01	4.49	0.18	0.71	0.00	0.00	0.00	0.00	1.37	0.00	0.57	1.53	0.08	0.47
66.00	7.50	7.20	0.00	0.00	0.00	0.02	1.53	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.06	1.85	0.57
67.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.95	0.07
68.00	7.50	7.20	0.00	0.00	0.00	0.00	0.64	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	1.24	0.00	0.00
69.00	7.50	7.21	0.00	0.00	0.00	0.04	0.16	0.40	0.21	0.00	0.00	0.00	0.00	1.45	0.00	0.99	1.35	0.28	0.44
70.00	7.50	7.20	0.00	0.00	0.00	0.07	0.00	0.78	3.90	0.00	0.00	0.49	0.00	2.39	0.00	0.97	0.69	0.41	0.14
71.00	7.50	7.20	0.00	0.00	0.00	0.02	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	3.11	1.51	0.21
72.00	7.50	7.21	0.00	0.00	0.00	0.05	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	2.03	1.10	0.52
73.00	7.49	7.20	0.00	0.00	0.00	0.14	0.00	1.63	0.49	0.00	0.00	0.00	0.88	1.80	0.00	1.94	0.04	0.28	0.42
74.00	7.50	7.21	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.11	0.85	0.92
75.00	7.50	7.20	0.00	0.00	0.00	0.00	0.57	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.46	1.72	0.59
76.00	7.50	7.20	0.00	0.00	0.00	0.00	3.79	2.56	0.00	0.00	0.00	0.00	0.00	2.56	0.00	0.00	1.72	0.98	1.52
77.00	7.50	7.21	0.00	0.00	0.00	0.40	1.99	0.00	0.49	0.00	0.00	0.49	0.00	1.90	0.00	0.42	3.64	0.49	1.07
78.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	1.22	0.99	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.53	2.25	0.29
79.00	7.50	7.21	0.00	0.00	0.00	0.01	0.33	0.00	1.38	0.00	0.00	1.18	0.46	1.24	0.00	1.72	0.67	0.00	1.27
80.00	7.50	7.20	0.00	0.00	0.00	0.00	3.91	2.81	0.00	0.00	0.00	0.99	0.47	0.00	0.00	0.80	2.92	3.25	0.18
81.00	7.50	7.21	0.00	0.00	0.00	0.05	3.52	2.77	0.99	0.00	0.00	1.48	0.00	0.00	0.00	0.54	1.84	1.57	0.60
82.00	7.49	7.20	0.00	0.00	0.00	0.34	1.71	0.66	0.00	0.00	0.00	0.00	0.00	1.47	0.00	1.22	1.50	0.67	0.52
83.00	7.50	7.20	0.00	0.00	0.00	0.62	0.00	0.64	1.84	0.00	0.00	0.49	1.08	0.21	0.00	0.22	0.77	0.00	0.02
84.00	7.50	7.21	0.00	0.00	0.00	0.00	0.41	1.31	0.77	0.00	0.00	1.41	0.40	3.56	0.00	0.40	0.00	1.44	1.32
85.00	7.50	7.20	0.00	0.00	0.00	0.00	3.12	1.65	2.20	0.00	0.00	0.00	0.21	0.00	0.00	1.55	0.80	0.89	0.74
86.00	7.50	7.21	0.00	0.00	0.00	0.00	1.22	0.00	1.71	0.00	0.00	0.00	0.27	1.35	0.00	0.71	4.42	2.14	0.72
87.00	7.50	7.20	0.00	0.00	0.00	0.00	1.50	0.99	0.49	0.00	0.00	0.00	1.47	2.27	0.00	2.14	3.73	2.85	1.12
88.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	1.45	0.00	0.24	1.87	0.72	0.51
89.00	7.50	7.21	0.00	0.00	0.00	0.00	0.19	0.37	1.90	0.00	0.00	1.38	0.00	0.00	0.00	0.40	0.73	0.73	1.15
90.00	7.50	7.20	0.00	0.00	0.00	0.95	2.24	1.95	0.99	0.00	0.00	0.98	0.00	1.51	0.00	0.99	1.04	2.54	0.79
91.00	7.49	7.21	0.00	0.00	0.00	0.00	1.83	0.44	1.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.87
92.00	7.50	7.20	0.00	0.00	0.00	0.00	0.84	2.85	1.45	0.00	0.00	0.00	0.00	0.99	0.00	1.27	0.00	0.53	0.37
93.00	7.50	7.21	0.00	0.00	0.00	0.00	0.45	0.42	1.25	0.00	0.00	0.00	0.00	0.00	0.00	1.51	1.65	3.04	1.21
94.00	7.50	7.20	0.00	0.00	0.00	1.20	2.66	0.64	3.40	0.00	0.00	0.46	2.28	1.92	0.00	1.13	1.33	0.07	0.46
95.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.59	0.40	0.00	0.00	0.00	0.48	1.67	0.00	1.51	3.12	1.12	0.25
96.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.94	0.00	0.84	0.00	0.00	1.51	0.24	0.00
97.00	7.50	7.20	0.00	0.00	0.00	0.00	0.49	1.20	2.01	0.00	0.00	1.38	0.00	2.17	0.00	0.00	2.27	1.41	0.29
98.00	7.50	7.21	0.00	0.00	0.00	0.00	0.97	0.42	4.23	0.00	0.00	0.00	0.99	0.49	0.00	3.93	0.81	0.00	0.28
99.00	7.50	7.20	0.00	0.00	0.00	0.05	2.24	0.31	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.97	0.00	0.00	0.25
100.00	7.49	7.20	0.00	0.00	0.00	0.05	0.59	2.17	0.00	0.00	0.00	0.00	0.00	1.31	0.00	1.74	0.44	0.99	0.00
101.00	7.50	7.21	0.00	0.00	0.00	0.00	2.86	1.08	0.00	0.00	0.00	0.49	0.00	1.66	0.00	1.14	1.26	2.01	0.98
102.00	7.50	7.20	0.00	0.00	0.00	0.07	0.45	2.80	1.85	0.00	0.00	0.00	0.00	0.69	0.00	1.93	0.22	2.84	0.54
103.00	7.50	7.21	0.00	0.00	0.00	0.00	1.13	0.65	1.35	0.00	0.00	0.00	0.00	1.35	0.00	0.49	0.33	0.09	0.68
104.00	7.50	7.20	0.00	0.00	0.00	0.00	2.14	0.52	1.54	0.00	0.00	0.00	0.00	0.06	0.00	0.00	2.66	1.31	0.25
105.00	7.50	7.20	0.00	0.00	0.00	0.00	1.11	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.79	0.21
106.00	7.50	7.21	0.00	0.00	0.00	0.16	0.00	4.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	0.92	2.45	0.54
107.00	7.50	7.20	0.00	0.00	0.00	1.18	0.00	3.21	1.22	0.00	0.00	0.00	0.00	1.68	0.00	1.04	0.00	0.41	1.11
108.00	7.50	7.21	0.00	0.00	0.00	0.00	0.39	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	1.65	0.20	0.80
109.00	7.49	7.20	0.00	0.00	0.00	0.58	0.99	0.65	0.49	0.00	0.00	0.00	0.00	1.53	0.00	0.07	0.80	1.44	0.84
110.00	7.50	7.21	0.00	0.00	0.00	0.47	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.06	2.00	1.63	0.71
