Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.258s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
45.00	9.60	8.09	6.90	3.97	0.19	0.31	0.84	0.00	0.00	0.00	0.86	0.73	0.00	0.00	1.60
46.00	9.60	8.10	6.90	2.70	0.00	0.64	3.56	0.00	0.00	0.00	1.19	1.00	1.60	0.00	2.24
47.00	9.61	8.10	6.90	2.64	0.06	0.00	0.04	0.00	0.00	0.49	0.54	1.60	0.05	0.00	1.25
48.00	9.60	8.10	6.90	0.33	0.74	0.78	0.39	0.00	0.00	0.00	0.00	0.35	3.93	0.00	1.87
49.00	9.60	8.10	6.90	0.21	0.09	0.73	0.66	0.00	0.00	0.14	0.27	0.15	1.66	0.00	1.80
50.00	9.60	8.10	6.89	1.71	0.15	1.10	1.75	0.31	0.00	0.02	0.00	1.14	0.55	0.00	1.63
51.00	9.60	8.09	6.90	1.32	1.44	0.33	0.06	0.00	0.00	0.00	0.61	0.52	0.00	0.00	0.80
52.00	9.61	8.10	6.90	1.86	0.00	0.33	0.94	0.00	0.00	1.18	1.25	0.52	0.49	0.00	1.20
53.00	9.60	8.10	6.90	2.41	0.05	0.00	0.00	0.00	0.00	0.00	0.79	1.06	0.99	0.00	1.28
54.00	9.60	8.10	6.90	0.64	0.00	0.00	0.66	0.00	0.26	1.27	0.40	0.49	2.24	0.00	0.60
55.00	9.60	8.10	6.90	2.16	7.55	0.00	0.80	0.00	0.57	0.49	0.22	1.06	1.60	0.00	1.91
56.00	9.60	8.10	6.90	1.42	1.94	0.58	0.57	0.00	0.28	0.00	0.22	0.19	0.24	0.00	2.64
57.00	9.61	8.10	6.90	1.60	2.27	1.26	0.00	0.67	0.00	0.00	1.08	0.28	0.00	0.00	2.94
58.00	9.60	8.09	6.90	0.00	0.00	1.00	0.39	0.13	0.00	0.00	1.18	0.00	1.58	0.00	0.14
59.00	9.60	8.10	6.90	0.00	0.21	0.07	1.22	0.00	0.00	3.86	0.34	0.19	0.00	0.00	2.14
60.00	9.60	8.10	6.90	1.31	3.16	0.00	0.00	0.00	0.65	0.86	0.41	1.12	2.65	0.00	1.98
61.00	9.61	8.10	6.90	2.28	0.59	0.00	1.17	0.00	0.00	1.30	0.78	0.67	1.57	0.00	0.99
62.00	9.60	8.10	6.90	0.54	0.47	0.00	2.06	0.29	0.52	0.49	0.80	0.99	2.52	0.00	2.08
63.00	9.60	8.10	6.90	3.89	4.72	0.00	1.00	0.00	0.31	1.33	1.88	0.07	0.49	0.00	1.15
64.00	9.60	8.09	6.90	0.02	2.59	0.47	2.26	0.00	0.99	0.00	0.15	1.01	1.65	0.00	1.54
65.00	9.60	8.10	6.90	0.46	1.52	0.38	0.51	0.19	0.54	0.00	0.00	0.00	1.06	0.00	1.98
66.00	9.61	8.10	6.89	2.34	0.00	0.33	0.52	0.11	0.59	0.00	0.72	1.12	1.21	0.00	2.20
67.00	9.60	8.10	6.90	0.99	2.90	0.68	0.99	0.00	0.75	0.00	0.21	0.14	1.26	0.00	2.19
68.00	9.60	8.10	6.90	2.78	3.69	0.33	0.62	0.00	0.51	0.99	0.31	1.05	0.00	0.00	0.75
69.00	9.60	8.10	6.90	0.73	0.00	0.40	1.35	0.00	0.61	1.85	0.84	1.02	0.99	0.00	2.10
70.00	9.61	8.09	6.90	0.80	2.57	0.00	0.00	0.00	1.01	0.99	0.09	0.66	2.70	0.00	1.24
71.00	9.60	8.10	6.90	3.42	1.98	0.00	3.86	0.00	1.44	0.00	0.00	2.17	0.00	0.00	1.92
72.00	9.60	8.10	6.90	2.14	0.26	0.00	1.18	0.09	0.52	0.00	0.00	2.60	0.00	0.00	1.21
73.00	9.60	8.10	6.90	4.91	0.19	0.00	1.68	0.00	0.07	0.00	1.00	0.31	0.99	0.00	1.93
74.00	9.60	8.10	6.90	0.95	0.00	0.00	0.00	0.00	0.87	0.49	0.73	1.58	0.00	0.00	1.95
75.00	9.61	8.10	6.90	1.37	0.00	0.00	0.24	1.20	0.12	0.00	0.34	0.97	0.00	0.00	0.49
76.00	9.60	8.09	6.90	3.06	0.69	0.00	0.00	0.26	0.00	0.49	1.14	0.24	0.99	0.00	2.26
77.00	9.60	8.10	6.90	1.45	0.99	0.22	1.35	0.00	0.00	0.49	0.92	0.79	1.18	0.00	0.55
78.00	9.60	8.10	6.90	1.34	0.00	0.14	2.46	0.00	0.00	1.53	1.08	0.82	0.00	0.00	2.28
79.00	9.60	8.10	6.90	0.82	0.19	0.98	1.22	0.00	0.00	0.05	0.95	1.90	0.00	0.00	0.00
80.00	9.61	8.10	6.90	2.17	1.87	0.60	1.38	0.00	0.00	0.02	0.60	1.95	1.40	0.00	0.49
81.00	9.60	8.10	6.90	4.80	0.00	0.14	0.00	0.00	0.00	0.00	0.89	2.13	2.90	0.00	0.49
82.00	9.60	8.10	6.89	5.75	3.59	0.00	0.49	0.80	0.04	1.85	1.37	0.49	1.41	0.00	2.14
83.00	9.60	8.09	6.90	2.37	1.38	0.00	0.00	0.00	0.71	0.00	1.42	0.00	0.00	0.00	1.98
84.00	9.61	8.10	6.90	0.00	1.67	0.00	0.54	0.46	1.06	0.00	1.26	0.69	2.77	0.00	1.30
85.00	9.60	8.10	6.90	4.92	3.78	0.00	1.04	0.31	0.80	0.99	1.22	0.20	1.98	0.00	0.29
86.00	9.60	8.10	6.90	1.12	0.00	0.00	0.49	0.00	0.02	0.00	0.66	0.20	0.99	0.00	1.57
87.00	9.60	8.10	6.90	5.45	0.00	0.18	0.48	0.00	0.60	0.32	0.07	3.64	0.49	0.00	0.00
88.00	9.60	8.10	6.90	1.06	0.00	0.55	1.86	0.49	0.05	0.00	0.19	0.72	0.00	0.00	3.78
89.00	9.61	8.09	6.90	1.04	4.86	0.16	2.99	0.00	0.65	0.04	1.20	0.34	0.99	0.00	1.07
90.00	9.60	8.10	6.90	2.20	1.97	0.00	1.46	0.11	0.80	0.00	1.41	0.00	1.85	0.00	0.59
91.00	9.60	8.10	6.90	0.81	3.32	0.00	0.00	0.00	0.87	0.16	0.51	1.99	0.00	0.00	0.00
92.00	9.60	8.10	6.90	1.81	0.19	0.00	0.00	0.15	1.13	0.00	0.05	1.63	0.00	0.00	1.87
93.00	9.61	8.10	6.90	0.18	2.98	0.81	0.31	0.93	0.00	0.99	0.00	2.30	0.00	0.00	0.45
94.00	9.60	8.10	6.90	3.03	0.13	0.32	0.12	0.07	0.16	1.85	0.79	0.44	1.11	0.00	1.32
95.00	9.60	8.09	6.90	0.87	0.87	0.00	0.00	0.00	1.04	0.00	0.45	0.00	0.00	0.00	1.45
96.00	9.60	8.10	6.90	1.70	2.25	0.00	0.00	0.00	0.27	0.49	1.47	0.00	4.23	0.00	2.41
97.00	9.60	8.10	6.90	0.75	1.31	0.00	0.33	0.00	0.71	0.00	0.21	0.29	1.48	0.00	1.75
98.00	9.61	8.10	6.89	1.53	0.84	0.00	1.25	0.00	0.46	0.00	0.59	1.06	0.99	0.00	0.13
99.00	9.60	8.10	6.90	3.98	0.06	0.21	1.48	0.04	0.68	0.00	0.68	0.00	1.32	0.00	1.20
100.00	9.60	8.10	6.90	0.27	1.79	0.02	2.50	0.00	0.40	0.00	0.19	0.14	3.00	0.00	0.01
101.00	9.60	8.09	6.90	0.19	2.96	2.25	1.37	0.00	0.02	0.00	0.00	0.79	1.54	0.00	0.65
102.00	9.60	8.10	6.90	1.53	1.98	0.48	1.90	0.01	0.00	0.00	0.00	1.35	2.80	0.00	0.00
103.00	9.61	8.10	6.90	1.67	0.26	0.61	1.24	0.00	0.00	0.00	0.00	0.11	2.11	0.00	1.01
104.00	9.60	8.10	6.90	3.05	0.00	0.99	0.97	0.00	0.00	0.00	0.00	0.33	0.99	0.00	2.72
105.00	9.60	8.10	6.90	1.74	1.19	0.49	3.91	0.00	0.00	0.00	0.00	2.51	1.26	0.00	3.39
106.00	9.60	8.10	6.90	1.80	0.00	1.17	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.16	2.78
107.00	9.61	8.10	6.90	0.00	0.35	0.45	0.00	0.00	0.00	0.00	0.00	0.19	0.99	0.45	2.51
108.00	9.60	8.09	6.90	2.80	1.88	0.12	0.99	1.78	0.00	0.00	0.00	0.65	0.00	0.75	0.00
109.00	9.60	8.10	6.90	3.20	1.84	0.00	0.14	0.08	0.06	0.00	0.00	0.57	0.95	1.14	2.64
110.00	9.60	8.10	6.90	1.90	0.87	0.00	1.66	0.00	2.07	0.00	0.00	0.00	0.00	1.58	2.81
111.00	9.60	8.10	6.90	3.27	3.24	0.00	0.74	0.13	0.97	0.00	0.00	0.22	0.34	1.47	1.79
112.00	9.61	8.10	6.90	0.97	2.31	0.00	0.00	0.00	0.89	0.99	0.00	0.00	0.49	0.42	0.49
113.00	9.60	8.10	6.90	2.07	3.96	0.29	0.52	0.99	1.37	0.00	0.18	0.49	2.43	0.31	1.91
114.00	9.60	8.09	6.89	0.92	5.00	0.31	0.69	0.00	0.99	0.00	0.00	0.06	0.00	0.78	0.00
115.00	9.60	8.10	6.90	2.45	1.57	0.21	0.99	0.86	0.45	0.00	0.38	2.94	1.99	0.05	1.59
116.00	9.61	8.10	6.90	2.28	2.01	0.13	0.73	0.00	0.00	0.00	0.32	2.60	1.64	0.08	0.00
117.00	9.60	8.10	6.90	2.79	0.99	0.49	0.25	0.49	0.00	0.00	0.14	2.53	0.00	0.84	0.00
118.00	9.60	8.10	6.90	0.80	0.78	0.54	0.29	0.00	0.27	0.00	0.35	0.00	1.91	1.21	0.00
119.00	9.60	8.10	6.90	2.28	0.00	0.53	0.00	0.22	0.45	0.52	0.26	0.09	1.64	0.12	0.77
10.2.1.2	9.78	8.09
10.2.1.3	8.25	8.24
10.2.1.4	7.03	8.32
10.1.1.4	1.90	190557.11
10.1.1.5	1.24	215038.90
10.1.1.6	0.27	856108.11
10.1.1.7	0.85	309419.01
10.1.1.8	0.16	885655.49
10.1.1.9	0.31	622099.87
10.1.1.10	0.32	686220.36
10.1.1.11	0.52	585908.73
10.1.1.12	0.80	274320.27
10.1.1.13	0.92	439515.13
10.1.1.14	0.74	527301.49
10.1.1.15	1.30	263775.86
